#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\German_Frontend.bin
#	File created on: 2025-05-24 11:14:08
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	FE_STATS_TOTAL_REPAIR_COST	REPARATURKOSTEN INSGESAMT
0	AUTO	MODE_ALL	Alle Wagen
0	AUTO	CUST_VINYL_MOVE_LAYER	Schicht nach oben/unten
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	CUST_SLOT_ENGINE_BLOCK	MOTORBLOCK
0	AUTO	CAR_SELECT_MUSTANGGT	Mit seinem 4,6-Liter-V8 ist der Mustang der 4. Generation der Inbegriff eines 'Pony-Cars'.
0	AUTO	CUST_CAT_SPEED_INTERNALS	Bei diesem Upgrade werden bestimmte Motorbauteile durch robustere Bauteile ersetzt. Dadurch kann der Motor höhere Drehzahlen verkraften und mehr Leistung erzeugen.
0	AUTO	CUST_VISUAL_DECALS	DECALS
0	AUTO	CUST_CUSTOMIZE	Blaupause anpassen
0	AUTO	CODE_ENTRY_VALID	Glückwunsch! Der Code wurde akzeptiert und deine Belohnung wurde freigeschaltet!
0	AUTO	CUST_SLOT_BRAKE_CALIPERS	BREMSSÄTTEL
0	AUTO	FE_MARKERMAN_EXIT_CONFIRM	Du hast Gutscheine in deinem Einkaufswagen, die noch nicht gekauft wurden. Trotzdem beenden?
0	AUTO	CUST_SLOT_ANTI_ROLL_BARS	STABILISATOREN
0	AUTO	CUST_QUICK_HANDLING_D3	Bei diesem Upgrade wird das Fahrwerk durch härtere Komponenten ergänzt, so dass der Wagen auf der Geraden auf dem Asphalt klebt. ^
0	AUTO	CUST_QUICK_HANDLING_G3	Bei diesem Upgrade wird das Fahrwerk durch härtere Komponenten ergänzt, so dass der Wagen auf der Geraden und in Kurven auf dem Asphalt klebt. ^
0	AUTO	CUST_QUICK_HANDLING_S3	Bei diesem Upgrade wird das Fahrwerk durch härtere Komponenten ergänzt, so dass der Wagen bei hohem Tempo in Kurven und auf der Geraden auf dem Asphalt klebt.^
0	AUTO	CUST_REGION_REAR_TIRE	HINTERREIFEN
0	AUTO	FE_STATS_BEST_SECTOR	BESTER SEKTOR
0	AUTO	CL_FREE_CAR_MARKER	WAGEN-GUTSCHEIN
0	AUTO	RACEDAY_DEFINE_RACE_EVENTS_TITLE	RENN-EVENTS FESTLEGEN
0	AUTO	CUST_QUICK_BRAKE_DI3	Mit diesem Upgrade wird der Bremsweg auf ein Minimum verkürzt, die Räder blockieren jedoch beim Bremsen.^^
0	AUTO	CUST_BP_APPLY_CONFIRM	Es kostet dich {0:d}, alle Teile zu kaufen, die du benötigst, um diese Blaupause auf deinen Wagen anzuwenden. Möchtest du fortfahren?
0	AUTO	CUST_SLOT_BUSHING_KIT	LAGER-KIT
0	AUTO	FE_STATS_GAMES_PLAYED	GESPIELTE PARTIEN
0	AUTO	FE_CAR_SELECT_FILTER__BONUS_CARS	BONUSWAGEN
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	CUST_VINYL_LAYER_HEADER	SCHICHT {0:d}
0	AUTO	CUST_PACKAGE_INFORMATION	PAKET-INFORMATIONEN
0	AUTO	CUST_SLOT_NITROUS_DESC	Nitro ist ein leicht entflammbares Gas, das in die Zylinder eingespritzt werden kann, um die Motorleistung vorübergehend zu erhöhen.
0	AUTO	CUST_QUICK_MANAGEMENT_1	Mit diesem Upgrade wird das Motorsteuergerät neu programmiert, um die Leistung zu erhöhen.^
0	AUTO	CUST_QUICK_MANAGEMENT_2	Mit diesem Upgrade wird das Motorsteuergerät neu programmiert, um die Leistung zu erhöhen.^
0	AUTO	CS_HEADER_SPEED_EVENT	SPEED-CHALLENGE-EVENTS
0	AUTO	CUST_SLOT_HEADS_DESC	Durch Polieren der Ventile und Kanäle des Zylinderkopfs wird die Luftzufuhr in den Motor und die Abgasableitung aus dem Motor verbessert. Dies steigert die Motorleistung.
0	AUTO	CUST_VINYL_ADDLAYER	NEUE SCHICHT HINZUFÜGEN
0	AUTO	CUST_CAT_SPEED_FORCED	Ein kleiner, schnell ansprechender Turbolader verbessert die Leistungscharakteristik und verschafft dir auf Rennstrecken und Straßen einen enormen Vorteil.
0	AUTO	FE_STATS_HIGHEST_MULTIPLIER	HÖCHSTER MULTIPLIKATOR
0	AUTO	RACE_MODE_GRIP_MODE	GRIP-^MODUS
0	AUTO	RACEDAY_DESC_DEFINE_RACE_EVENTS	Im nächsten Schritt legst du die Renn-Events für deinen Renntag fest.
0	AUTO	FE_STATS_NUMBER_OF_RACES	ANZAHL RENNEN
0	AUTO	CUST_CAT_DRIFT_DRIVETRAIN	Dieses Upgrade stärkt die Antriebswelle, das Differential, die Achsen und alle anderen Komponenten, die die Kraft des Motors auf die Räder übertragen.
0	AUTO	FE_STATS_NUMBER_CAREER_GAMES	KARRIERE-SPIELE
0	AUTO	RACE_DAY_ADD_EVENT	EVENT HINZUFÜGEN
0	AUTO	BLUEPRINT_NO_DLC_CONTENT	Diese Blaupause ist mit deiner Version von Need for Speed™ ProStreet nicht kompatibel und kann daher nicht verwendet werden. Unter NeedforSpeed.com findest du Informationen zu Updates und neuen Spielinhalten.
0	AUTO	LANG_POLISH_NO_TRANSLATION	POLSKI
0	AUTO	CUST_PAINT_WHEELS	FELGENFARBE
0	AUTO	CUST_BLUEPRINT_SET_ACTIVE	Blaupause aktivieren
0	AUTO	LANG_GERMAN_NO_TRANSLATION	DEUTSCH
0	AUTO	CUST_ENGINE_MANAGEMENT_TITLE	MOTORSTEUERUNG
0	AUTO	HUBMAP_HEADING_WIN_REWARD	SIEG-BELOHNUNG
0	AUTO	CUST_PAINT_BODY	LACK
0	AUTO	CUST_PAINT_RIMS	FELGEN
0	AUTO	CUST_PAINT_TINT	SCHEIBENFOLIEN
0	AUTO	FE_MATCHMAKING_ERROR_NONE	Kein Fehler aufgetreten.
0	AUTO	RACEDAY_CONFIRM_DELETE	Möchtest du diesen Renntag löschen? Deine eigenen Einstellungen und Rekorde für diesen Renntag gehen verloren.
0	AUTO	MENU_TITLE_LANGUAGE_SELECT	SPRACHAUSWAHL
0	AUTO	CUST_SLOT_BUSHINGS_DESC	Lager aus steiferen Materialien, wie Urethan oder Aluminium, sorgen für geringere Wankbewegungen der Karosserie und direkteres Kurvenfahrverhalten.
0	AUTO	HUB_DIFFICULTY_2	MITTEL
0	AUTO	CUST_TUNE_SPEED_BRAKES	Wenn man einen Wagen immer wieder stark abbremst, wird im Bremssystem übermäßige Hitze erzeugt, die mit der Zeit den Bremsweg verlängern kann. Ein größer dimensioniertes Bremssystem hilft dabei, die Temperaturen niedriger zu halten und eine konstante Bremsleistung zu gewährleisten.
0	AUTO	FE_STATS_HIGHEST_TOP_SPEED	HÖCHSTE MAXIMALGESCHWINDIGKEIT
0	AUTO	CL_SELECT_PURCHASE_METHOD	Kaufmethode auswählen
0	AUTO	CUST_SLOT_INTAKE_DESC	Je mehr Luft in den Motor eingeleitet wird, desto höher ist die Motorleistung. Darüber hinaus sollte die Luft möglichst kühl sein, um die Motorleistung zu erhöhen.
0	AUTO	LANG_SPANISH_NO_TRANSLATION	ESPAÑOL
0	AUTO	CUST_CAT_DRIFT_SUSPENSION	Bei diesem Upgrade liegt der Schwerpunkt auf dem Übersteuern des Wagens. Der große Heckstabilisator, Aluminiumlager und der fehlende Frontstabilisator erleichtern das seitliche Driften deutlich.
0	AUTO	DIALOG_MSG_CONFIRM_LEAVE_CARSELECT	Möchtest du den Wagenauswahl-Bildschirm verlassen und in die Karrierekarte zurückkehren?
0	AUTO	RACEDAY_SAVING_RACEDAY_PROG	Renntag wird gespeichert ...
0	AUTO	FE_STATS_HIGHEST_RATED_CAR_TUNER	HÖCHSTBEWERTETER WAGEN-TUNER
0	AUTO	RACE_MODE_DESCRIPTION	Die Auswahl des Rennmodus bestimmt, an welchen Events du mit diesem Wagen teilnehmen kannst.
0	AUTO	CUST_NO_WIND_TUNNEL_PARTS	Verbaue AutoSculpt-Teile, damit du in den Windkanal darfst!
0	AUTO	CUST_SLOT_INTAKEMANIFOLD_DESC	Je größer das Ansaugsystem dimensioniert ist, desto mehr Luft wird in den Motor eingeleitet. Durch den Einbau eines optimierten Ansaugsystems lässt sich die maximale Motorleistung daher deutlich erhöhen.
0	AUTO	FE_STATS_TOP_TOTAL_CHECKPOINT_SPEED	BESTES KONTROLLPUNKT-GESAMTTEMPO
0	AUTO	CUST_SLOT_FUEL_SYSTEM	BENZINSYSTEM
0	AUTO	PS2_P2START_MESSAGE	
0	AUTO	CAR_SELECT_MAZDASPEED3	Mit seinem 2,3-Liter-Turbomotor mit über 260 PS, einem Sperrdifferenzial und einem 6-Gang-Getriebe ist der Speed 3 ein moderner Kompaktwagen.
0	AUTO	CUST_QUICK_DRIVETRAIN_DI3	Mit diesem Upgrade kannst du noch schneller und präziser schalten, und die Kraftübertragung auf die Räder wird weiterhin auf das Niveau eines Rennwagens verbessert.^
0	AUTO	CAR_SELECT_INTEGRA	Der Kouki mit seinem Serie-B-Hochdrehzahlmotor ist äußerst beliebt bei Motorsportfans, da er gut getunt werden kann und über ein tolles Handling verfügt.
0	AUTO	FE_HUBMAP_ETREE_CARS	WAGEN
0	AUTO	CUST_QUICK_ENGINEGROUP_1	Mit diesem Upgrade erhöhst du die Motorleistung. ^
0	AUTO	CUST_QUICK_ENGINEGROUP_2	Mit diesem Upgrade erhöhst du die Motorleistung auf das Niveau eines Rennwagens.^
0	AUTO	CUST_TUNE_SPEED_ENGINE	In Kurven sind die richtige Geschwindigkeit, und insbesondere die optimale Geschwindigkeit beim Herausbeschleunigen, entscheidend. Höhere Motorleistung erlaubt ein schnelleres Herausbeschleunigen aus Kurven und natürlich höhere Geschwindigkeiten.
0	AUTO	GARAGE_REPAIR_CONFIRM	Möchtest du diesen Wagen reparieren?
0	AUTO	CAR_SELECT_S3	Der S3 der 2. Generation wird nicht in Nordamerika verkauft.
0	AUTO	CAR_SELECT_S4	Der S4 ist die zahmere Version des RS4, besitzt aber ebenfalls einen 4,2-Liter-V8.
0	AUTO	CAR_SELECT_TT	Die 2. Version des TT wurde mit zahlreichen Preisen als Auto des Jahres ausgezeichnet.
0	AUTO	CUST_ENGINE_NITROUS_GROUP	LACHGAS
0	AUTO	FE_STATS_DOWNLOADING_STATS	LÄDT STATISTIKEN HERUNTER …
0	AUTO	CUST_QUICK_FORCED_D3	Aufladung Drag-Stufe 3
0	AUTO	CUST_QUICK_FORCED_G3	Mit diesem Upgrade wird mehr Luft in den Motor gepumpt, so dass die Motorleistung mit der eines Rennwagens vergleichbar ist.^
0	AUTO	CUST_QUICK_FORCED_S3	Mit diesem Upgrade wird mehr Luft in den Motor gepumpt, so dass die Motorleistung mit der eines Rennwagens vergleichbar ist.^
0	AUTO	CUST_PAINT_GROUP_CANDY	CANDY
0	AUTO	CUST_PAINT_GROUP_GLOSS	HOCHGLANZ
0	AUTO	CUST_PAINT_GROUP_MATTE	MATT
0	AUTO	CUST_DRIVETRAIN_GROUP	ANTRIEB
0	AUTO	CUST_PAINT_GROUP_PEARL	PERLEFFEKT
0	AUTO	CUST_QUICK_MANAGEMENT_D3	Mit diesem Upgrade wird das Motorsteuergerät neu programmiert, um maximale Leistung bei rasanter Beschleunigung zu garantieren.^
0	AUTO	CUST_QUICK_MANAGEMENT_G3	Mit diesem Upgrade wird das Motorsteuergerät weiter umprogrammiert, so dass eine erneute Leistungssteigerung erzielt wird.^
0	AUTO	CUST_QUICK_MANAGEMENT_S3	Mit diesem Upgrade wird das Motorsteuergerät weiter umprogrammiert, so dass eine erneute Leistungssteigerung erzielt wird.^
0	AUTO	CUST_SLOT_CALIPERS_DESC	Bremssättel mit größeren oder mehreren Kolben verteilen den Anpressdruck der Bremsbeläge besser auf die Bremsscheiben. Dies führt zu einer deutlich besseren Bremsleistung.
0	AUTO	MENU_SPLASH_START_PROMPT_XENON	START drücken, um zu beginnen
0	AUTO	RACE_DAY_SLOT_ID	SLOT {0:d}
0	AUTO	CUST_SLOT_MUFFLERS	SCHALLDÄMPFER
0	AUTO	FE_MATCHMAKING_ERROR_GAME_JOIN_TIMEOUT	Beim Versuch, dem Spiel beizutreten, ist ein Fehler aufgetreten. Bitte noch einmal versuchen.
0	AUTO	COMMON_START	Start
0	AUTO	CUST_SLOT_TRANSMISSION_COOLING	GETRIEBEKÜHLER
0	AUTO	RACE_MODE_DRIFT_MODE	DRIFT-^MODUS
