#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\German_InGame.bin
#	File created on: 2025-05-24 11:14:25
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUB_REPAIR_EXITHUB	Renntag verlassen
0	AUTO	HUD_BURNOUT_INCREDIBLE	Wahnsinns-Burnout!
0	AUTO	HUD_DRIFT_DOMINATING	Dominanz!
0	AUTO	HUD_DRIFT_KEEP_MOVING	GIB GAS!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	DRIFT BEENDET
0	AUTO	HUD_LOST_TRACTION	TRAKTION VERLOREN
0	AUTO	HUB_REPAIR_SCREEN_STATUS_REPAIRED	REPARIERT
0	AUTO	FE_POSTRACE_CLASS_B_HEADER	GRUPPE B
0	AUTO	HUD_MATCHUP	Aufgestellt gegen
0	AUTO	HUD_ENGINE_BLOWN	MOTORSCHADEN!
0	AUTO	HUB_SCREEN_CAR_REPAIR_USE_MARKER	Mit Gutschein reparieren
0	AUTO	FE_POSTRACE_TOTAL_SPEED	GESAMTGESCHWINDIGKEIT
0	AUTO	HUB_SPLITSCREEN_EVENT_NOCARS_BOTH	Beide Spieler haben keine Wagen, um an diesem Event teilzunehmen.
0	AUTO	HUB_MARKERSELECT_BONUS	BONUS
0	AUTO	FE_POSTRACE_TABLE_HEADER_BEST_WHEELIE	BESTER WHEELIE
0	AUTO	HUB_MARKERSELECT_PARTS	TEILE
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	PERFEKT ANGEFANGEN!
0	AUTO	HUD_DRIFT_FOLLOWER	Du bist der Verfolger
0	AUTO	HUD_DAMAGE_HEAVY	SCHWERER SCHADEN!
0	AUTO	HUD_DAMAGE_LIGHT	LEICHTER SCHADEN
0	AUTO	HUB_SPLITSCREEN_EVENT_PLAYED	Du hast dieses Event bereits gespielt.
0	AUTO	HUD_DRIFT_POINTS_EARNED	GEWONNENE PUNKTE
0	AUTO	ON_HIDE_SETTINGS	Einstellungen ausblenden
0	AUTO	HUD_TOTALLED	TOTALSCHADEN!
0	AUTO	DRAG_RESULTS_DISPLAY_FORMAT	{0:s} BEI {1:s}
0	AUTO	HUB_MARKERSELECT_WONCONGRATS	Glückwunsch, du hast den Renntag dominiert! Bitte wähle unten eine Belohnung aus.
0	AUTO	FE_POSTRACE_ZERO_TO_HUNDRED	ZEIT VON 0 AUF 100
0	AUTO	HUB_SHADOW_LOCAL	MEIN LOKALER SHADOW
0	AUTO	HUD_DRAG_TIME	DRAG-ZEIT
0	AUTO	FE_POSTRACE_WHEELIE_BONUS	WHEELIE-DISTANZBONUS
0	AUTO	HUB_ONLINE_LEADER	FÜHRENDER
0	AUTO	HUB_MARKERSELECT_CONGRATS_PART_2	Glückwunsch, {1:s}, Stufe {0:d}, für deine(n) {2:s} gewonnen.
0	AUTO	FE_POSTRACE_BEST_WHEELIE	Bester Wheelie:
0	AUTO	FE_HUB_DIALOG_DAMAGED_CAR_FOR_EVENT_CONFIRM	Du versuchst mit einem beschädigten Wagen an einem Rennen teilzunehmen. Möchtest du fortfahren?
0	AUTO	HUD_DRAG_EIGHTH_MILE	Zeit Achtelmeile:
0	AUTO	FE_POSTRACE_CLASS_A_HEADER	GRUPPE A
