#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\English_Frontend.bin
#	File created on: 2025-05-24 11:12:22
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	FE_STATS_TOTAL_REPAIR_COST	TOTAL REPAIR COST
0	AUTO	MODE_ALL	All Cars
0	AUTO	CUST_VINYL_MOVE_LAYER	Move Layer Up/Down
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	CUST_SLOT_ENGINE_BLOCK	ENGINE BLOCK
0	AUTO	CAR_SELECT_MUSTANGGT	With a 4.6L V8, this 4th gen Mustang is the car that most of the world thinks of when they think of pony car.
0	AUTO	CUST_CAT_SPEED_INTERNALS	This upgrade replaces your existing engine internals with stronger, more durable parts, allowing for your engine to make more power and sustain higher RPMs.  ^
0	AUTO	CUST_VISUAL_DECALS	DECALS
0	AUTO	CUST_CUSTOMIZE	Customize Blueprint
0	AUTO	CODE_ENTRY_VALID	Congratulations!  Your code has been accepted and your reward has been unlocked.
0	AUTO	CUST_SLOT_BRAKE_CALIPERS	CALIPERS
0	AUTO	FE_MARKERMAN_EXIT_CONFIRM	You have markers in your shopping cart that have not been purchased.  Exit anyway?
0	AUTO	CUST_SLOT_ANTI_ROLL_BARS	ANTI-ROLL BARS
0	AUTO	CUST_QUICK_HANDLING_D3	This upgrade combines stiffer suspension parts to keep the car fully planted in a straight line. ^
0	AUTO	CUST_QUICK_HANDLING_G3	This upgrade combines stiffer suspension parts to keep the car fully planted in turns and on the straights. ^
0	AUTO	CUST_QUICK_HANDLING_S3	This upgrade combines stiffer suspension parts to keep the car fully planted at high speeds in turns and on the straights.^
0	AUTO	CUST_REGION_REAR_TIRE	REAR TIRE
0	AUTO	FE_STATS_BEST_SECTOR	BEST SECTOR
0	AUTO	CL_FREE_CAR_MARKER	FREE CAR MARKER
0	AUTO	RACEDAY_DEFINE_RACE_EVENTS_TITLE	DEFINE RACE EVENTS
0	AUTO	CUST_QUICK_BRAKE_DI3	This upgrade makes sure that maximum stopping time is attained but allows and even encourages the tires to brake traction under deceleration.^
0	AUTO	CUST_BP_APPLY_CONFIRM	It costs {0:d} to purchase all the parts required in order to apply this Blueprint to your car. Do you wish to proceed?
0	AUTO	CUST_SLOT_BUSHING_KIT	BUSHING KIT
0	AUTO	FE_STATS_GAMES_PLAYED	GAMES PLAYED
0	AUTO	FE_CAR_SELECT_FILTER__BONUS_CARS	BONUS CARS
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	CUST_VINYL_LAYER_HEADER	LAYER {0:d}
0	AUTO	CUST_PACKAGE_INFORMATION	PACKAGE INFORMATION
0	AUTO	CUST_SLOT_NITROUS_DESC	Nitrous, a highly combustible gas, can be injected into the cylinder during combustion to vastly increase temporary power output.^
0	AUTO	CUST_QUICK_MANAGEMENT_1	This upgrade reprograms the engine computer to maximize performance.^
0	AUTO	CUST_QUICK_MANAGEMENT_2	This upgrade reprograms the engine computer to maximize performance.^
0	AUTO	CS_HEADER_SPEED_EVENT	SPEED CHALLENGE EVENTS
0	AUTO	CUST_SLOT_HEADS_DESC	By porting the valves on your cylinder head, you can increase the flow of air into the engine and exhaust gases out of the engine. This will result in higher horsepower.^
0	AUTO	CUST_VINYL_ADDLAYER	ADD NEW LAYER
0	AUTO	CUST_CAT_SPEED_FORCED	A low-lag, quick-spooling turbo will give you a useable power curve and an unparalleled advantage on the track or on the street.^
0	AUTO	FE_STATS_HIGHEST_MULTIPLIER	HIGHEST MULTIPLIER
0	AUTO	RACE_MODE_GRIP_MODE	GRIP^MODE
0	AUTO	RACEDAY_DESC_DEFINE_RACE_EVENTS	The next step is defining the race events for your Race Day.
0	AUTO	FE_STATS_NUMBER_OF_RACES	NUMBER OF RACES
0	AUTO	CUST_CAT_DRIFT_DRIVETRAIN	This upgrade strengthens the components that transfer your car's power to the wheels, including the driveshaft, differential and axles.^
0	AUTO	FE_STATS_NUMBER_CAREER_GAMES	NUMBER OF CAREER GAMES
0	AUTO	RACE_DAY_ADD_EVENT	ADD EVENT
0	AUTO	BLUEPRINT_NO_DLC_CONTENT	This Blueprint is incompatible with your version of Need for Speed™ ProStreet and can not be applied.  Visit NeedforSpeed.com for information on updates and new game content.
0	AUTO	LANG_POLISH_NO_TRANSLATION	POLSKI
0	AUTO	CUST_PAINT_WHEELS	WHEEL PAINT
0	AUTO	CUST_BLUEPRINT_SET_ACTIVE	Set as Active Blueprint
0	AUTO	LANG_GERMAN_NO_TRANSLATION	DEUTSCH
0	AUTO	CUST_ENGINE_MANAGEMENT_TITLE	ENGINE MANAGEMENT
0	AUTO	HUBMAP_HEADING_WIN_REWARD	WIN REWARD
0	AUTO	CUST_PAINT_BODY	PAINT
0	AUTO	CUST_PAINT_RIMS	WHEELS
0	AUTO	CUST_PAINT_TINT	WINDOW TINT
0	AUTO	FE_MATCHMAKING_ERROR_NONE	No error has occurred.
0	AUTO	RACEDAY_CONFIRM_DELETE	Are you sure you want to delete this Race Day? Your custom settings and records for this Race Day will be lost.
0	AUTO	MENU_TITLE_LANGUAGE_SELECT	LANGUAGE SELECT
0	AUTO	CUST_SLOT_BUSHINGS_DESC	Bushings made from stiffer materials such as urethane or aluminum will allow your car to turn tighter with less body roll.^
0	AUTO	HUB_DIFFICULTY_2	MEDIUM
0	AUTO	CUST_TUNE_SPEED_BRAKES	Stopping a car time after time builds up excessive heat in the braking system and threatens to increase stopping distances over time. A larger braking system helps keep temps down and braking consistent.^
0	AUTO	FE_STATS_HIGHEST_TOP_SPEED	HIGHEST TOP SPEED
0	AUTO	CL_SELECT_PURCHASE_METHOD	Select purchase method
0	AUTO	CUST_SLOT_INTAKE_DESC	The more cool air an engine receives, the better it can perform. Also, the cooler the air is, the more power the engine makes. ^
0	AUTO	LANG_SPANISH_NO_TRANSLATION	ESPAÑOL
0	AUTO	CUST_CAT_DRIFT_SUSPENSION	With an emphasis on oversteer, the big, rear anti-sway bar, aluminum bushings and removal of the front sway bar will make it a lot easier to turn your car sideways.
0	AUTO	DIALOG_MSG_CONFIRM_LEAVE_CARSELECT	Do you wish to leave the Car Select screen and return to the Career Map?
0	AUTO	RACEDAY_SAVING_RACEDAY_PROG	Saving Race Day...
0	AUTO	FE_STATS_HIGHEST_RATED_CAR_TUNER	HIGHEST RATED CAR TUNER
0	AUTO	RACE_MODE_DESCRIPTION	Choosing your race mode will determine which events this car can compete in.
0	AUTO	CUST_NO_WIND_TUNNEL_PARTS	You must install AutoSculpt parts to access wind tunnel!
0	AUTO	CUST_SLOT_INTAKEMANIFOLD_DESC	The higher capactiy the air intake, the more air your engine will receive at a time. With a high-flow, smooth intake, the engine will be able to attain much more of it's peak power potential.^
0	AUTO	FE_STATS_TOP_TOTAL_CHECKPOINT_SPEED	TOP TOTAL CHECKPOINT SPEED
0	AUTO	CUST_SLOT_FUEL_SYSTEM	FUEL SYSTEM
0	AUTO	PS2_P2START_MESSAGE	
0	AUTO	CAR_SELECT_MAZDASPEED3	With a turbo 2.3L motor pushing 260+hp, a LSD, and a 6-speed tranny, the Speed 3 is a modern hot hatch.
0	AUTO	CUST_QUICK_DRIVETRAIN_DI3	This upgrade will allow for still faster and more precise shifting as well as continuing to lighten the components that transfer power to the wheels for a race car standard.^
0	AUTO	CAR_SELECT_INTEGRA	The Kouki, with its high revving B series motor is an incredibly popular car with racing enthusiasts due to its many motor options and great handling platform.
0	AUTO	FE_HUBMAP_ETREE_CARS	CARS
0	AUTO	CUST_QUICK_ENGINEGROUP_1	This upgrade increases the overall power output of the engine. ^
0	AUTO	CUST_QUICK_ENGINEGROUP_2	This upgrade goes a step further and takes power toward that of a true race car.^
0	AUTO	CUST_TUNE_SPEED_ENGINE	Managing your speed throughout corners, as well as paying proper attention to corner exit acceleration, is key. More engine power increases the ability to rocket out from turns and reach higher speeds.^
0	AUTO	GARAGE_REPAIR_CONFIRM	Are you sure you wish to repair this car?
0	AUTO	CAR_SELECT_S3	The 2nd gen S3 is not sold in North America.
0	AUTO	CAR_SELECT_S4	Tamer than the RS4, the S4 also sports a 4.2L V8.
