#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\English_InGame.bin
#	File created on: 2025-05-24 11:13:08
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUB_REPAIR_EXITHUB	Exit Race Day
0	AUTO	HUD_BURNOUT_INCREDIBLE	Incredible Burnout!
0	AUTO	HUD_DRIFT_DOMINATING	Dominating!
0	AUTO	HUD_DRIFT_KEEP_MOVING	KEEP MOVING!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	DRIFT ENDED
0	AUTO	HUD_LOST_TRACTION	LOST TRACTION
0	AUTO	HUB_REPAIR_SCREEN_STATUS_REPAIRED	REPAIRED
0	AUTO	FE_POSTRACE_CLASS_B_HEADER	GROUP B
0	AUTO	HUD_MATCHUP	Matched up vs.
0	AUTO	HUD_ENGINE_BLOWN	ENGINE BLOWN!
0	AUTO	HUB_SCREEN_CAR_REPAIR_USE_MARKER	Repair using a marker
0	AUTO	FE_POSTRACE_TOTAL_SPEED	TOTAL SPEED
0	AUTO	HUB_SPLITSCREEN_EVENT_NOCARS_BOTH	Both players do not have cars available for racing in this event.
0	AUTO	HUB_MARKERSELECT_BONUS	BONUS
0	AUTO	FE_POSTRACE_TABLE_HEADER_BEST_WHEELIE	BEST WHEELIE
0	AUTO	HUB_MARKERSELECT_PARTS	PARTS
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	PERFECT ENTRY!
0	AUTO	HUD_DRIFT_FOLLOWER	You are the follower
0	AUTO	HUD_DAMAGE_HEAVY	HEAVY DAMAGE!
0	AUTO	HUD_DAMAGE_LIGHT	LIGHT DAMAGE
0	AUTO	HUB_SPLITSCREEN_EVENT_PLAYED	You have already played that event.
0	AUTO	HUD_DRIFT_POINTS_EARNED	PTS EARNED
0	AUTO	ON_HIDE_SETTINGS	Hide Settings
0	AUTO	HUD_TOTALLED	TOTALED!
0	AUTO	DRAG_RESULTS_DISPLAY_FORMAT	{0:s} @ {1:s}
0	AUTO	HUB_MARKERSELECT_WONCONGRATS	Congratulations, you've won the Race Day! Please choose a reward.
0	AUTO	FE_POSTRACE_ZERO_TO_HUNDRED	0 TO 100 TIME
0	AUTO	HUB_SHADOW_LOCAL	MY LOCAL SHADOW
0	AUTO	HUD_DRAG_TIME	DRAG TIME
0	AUTO	FE_POSTRACE_WHEELIE_BONUS	WHEELIE DISTANCE BONUS
0	AUTO	HUB_ONLINE_LEADER	LEADER
0	AUTO	HUB_MARKERSELECT_CONGRATS_PART_2	Congratulations, you've won STAGE {0:d} {1:s} for your {2:s}. ^
