#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Spanish_Frontend.bin
#	File created on: 2025-05-24 11:18:20
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	FE_STATS_TOTAL_REPAIR_COST	COSTE DE REPARACIÓN TOTAL
0	AUTO	MODE_ALL	Todos los coches
0	AUTO	CUST_VINYL_MOVE_LAYER	Mover capa arriba/abajo
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	CUST_SLOT_ENGINE_BLOCK	BLOQUE DE MOTOR
0	AUTO	CAR_SELECT_MUSTANGGT	El Mustang de 4ª generación, con un V8 de 4.6l, es el primer coche que viene a la mente cuando uno piensa en un muscle car.
0	AUTO	CUST_CAT_SPEED_INTERNALS	Esta mejora sustituye las piezas internas de motor existentes por otras más robustas y resistentes, lo que permite que el motor produzca más potencia y resista revoluciones más altas.  ^
0	AUTO	CUST_VISUAL_DECALS	PEGATINAS
0	AUTO	CUST_CUSTOMIZE	Personalizar proyecto
0	AUTO	CODE_ENTRY_VALID	¡Enhorabuena! El código ha sido aceptado y tu recompensa se ha desbloqueado.
0	AUTO	CUST_SLOT_BRAKE_CALIPERS	PINZAS
0	AUTO	FE_MARKERMAN_EXIT_CONFIRM	Hay tarjetas en el carrito de la compra que no has comprado. ¿Quieres salir de todos modos?
0	AUTO	CUST_SLOT_ANTI_ROLL_BARS	BARRAS ANTIVUELCO
0	AUTO	CUST_QUICK_HANDLING_D3	Esta mejora combina piezas de suspensión más duras para mantener el coche bien colocado en recta. ^
0	AUTO	CUST_QUICK_HANDLING_G3	Esta mejora combina piezas de suspensión más duras para mantener el coche bien colocado en curvas y en rectas. ^
0	AUTO	CUST_QUICK_HANDLING_S3	Esta mejora combina piezas de suspensión más duras para mantener el coche bien colocado a grandes velocidades en curvas y en rectas.^
0	AUTO	CUST_REGION_REAR_TIRE	NEUMÁTICO TRASERO
0	AUTO	FE_STATS_BEST_SECTOR	MEJOR SECTOR
0	AUTO	CL_FREE_CAR_MARKER	TARJETA DE CONCESIONARIO
0	AUTO	RACEDAY_DEFINE_RACE_EVENTS_TITLE	DEFINIR PRUEBAS DE CARRERA
0	AUTO	CUST_QUICK_BRAKE_DI3	Esta mejora garantiza que se consigue el tiempo de frenada máximo pero permite, e incluso favorece, que los neumáticos reduzcan la tracción en la deceleración.^
0	AUTO	CUST_BP_APPLY_CONFIRM	Cuesta {0:d} adquirir todas las piezas necesarias para aplicar este Proyecto a tu coche. ¿Quieres continuar?
0	AUTO	CUST_SLOT_BUSHING_KIT	KIT DE COJINETES
0	AUTO	FE_STATS_GAMES_PLAYED	PARTIDAS JUGADOS
0	AUTO	FE_CAR_SELECT_FILTER__BONUS_CARS	COCHES DE BONIFICACIÓN
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	CUST_VINYL_LAYER_HEADER	CAPA {0:d}
0	AUTO	CUST_PACKAGE_INFORMATION	INFORMACIÓN DEL KIT
0	AUTO	CUST_SLOT_NITROUS_DESC	El nitroso es un gas muy inflamable que se puede inyectar en el cilindro durante la combustión para aumentar la producción de potencia temporalmente.^
0	AUTO	CUST_QUICK_MANAGEMENT_1	Esta mejora reprograma el ordenador del motor para maximizar las prestaciones.^
0	AUTO	CUST_QUICK_MANAGEMENT_2	Esta mejora reprograma el ordenador del motor para maximizar las prestaciones.^
0	AUTO	CS_HEADER_SPEED_EVENT	PRUEBAS DE DESAFÍO DE SPEED
0	AUTO	CUST_SLOT_HEADS_DESC	Al colocar las válvulas sobre la cabeza del cilindro, puedes aumentar el flujo de aire al motor y eliminar los gases de escape el motor. De ese modo, aumentarás la potencia.^
0	AUTO	CUST_VINYL_ADDLAYER	AÑADIR NUEVA CAPA
0	AUTO	CUST_CAT_SPEED_FORCED	Un turbo con poco retarlo y de rápido desarrollo te dará una curva de potencia eficaz y una gran ventaja sobre la pista o en la calle.
0	AUTO	FE_STATS_HIGHEST_MULTIPLIER	MULTIPLICADOR MÁS ALTO
0	AUTO	RACE_MODE_GRIP_MODE	MODO^GRIP
0	AUTO	RACEDAY_DESC_DEFINE_RACE_EVENTS	El siguiente paso es definir las pruebas de carrera de tu Día de carrera.
