#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Spanish_InGame.bin
#	File created on: 2025-05-24 11:18:37
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUB_REPAIR_EXITHUB	Salir de Día de carrera
0	AUTO	HUD_BURNOUT_INCREDIBLE	¡Así se quema rueda!
0	AUTO	HUD_DRIFT_DOMINATING	¡Arrasando!
0	AUTO	HUD_DRIFT_KEEP_MOVING	¡SIGUE ADELANTE!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	DRIFT TERMINADO
0	AUTO	HUD_LOST_TRACTION	TRACCIÓN PERDIDA
0	AUTO	HUB_REPAIR_SCREEN_STATUS_REPAIRED	REPARADO
0	AUTO	FE_POSTRACE_CLASS_B_HEADER	GRUPO B
0	AUTO	HUD_MATCHUP	Emparejado contra
0	AUTO	HUD_ENGINE_BLOWN	¡MOTOR ROTO!
0	AUTO	HUB_SCREEN_CAR_REPAIR_USE_MARKER	Reparar con tarjeta
0	AUTO	FE_POSTRACE_TOTAL_SPEED	SUMA DE VELOCIDADES
0	AUTO	HUB_SPLITSCREEN_EVENT_NOCARS_BOTH	Ninguno de los dos jugadores tiene coches disponibles para participar en esta prueba.
0	AUTO	HUB_MARKERSELECT_BONUS	BONIFICACIÓN
0	AUTO	FE_POSTRACE_TABLE_HEADER_BEST_WHEELIE	MEJOR WHEELIE
0	AUTO	HUB_MARKERSELECT_PARTS	PIEZAS
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	¡ENTRADA PERFECTA!
0	AUTO	HUD_DRIFT_FOLLOWER	Eres el perseguidor
0	AUTO	HUD_DAMAGE_HEAVY	¡DAÑOS GRAVES!
0	AUTO	HUD_DAMAGE_LIGHT	DAÑOS LEVES
0	AUTO	HUB_SPLITSCREEN_EVENT_PLAYED	Ya has jugado esa prueba.
0	AUTO	HUD_DRIFT_POINTS_EARNED	PUNTOS CONSEGUIDOS
0	AUTO	ON_HIDE_SETTINGS	Ocultar configuración
0	AUTO	HUD_TOTALLED	¡DESTROZADO!
0	AUTO	DRAG_RESULTS_DISPLAY_FORMAT	{0:s} @ {1:s}
0	AUTO	HUB_MARKERSELECT_WONCONGRATS	¡Enhorabuena! ¡Has ganado el Día de carrera! Elige tu recompensa.
0	AUTO	FE_POSTRACE_ZERO_TO_HUNDRED	TIEMPO DE 0 A 100
0	AUTO	HUB_SHADOW_LOCAL	MI FANTASMA LOCAL
0	AUTO	HUD_DRAG_TIME	TIEMPO DE DRAG
0	AUTO	FE_POSTRACE_WHEELIE_BONUS	BONIFICACIÓN POR DISTANCIA
0	AUTO	HUB_ONLINE_LEADER	LÍDER
0	AUTO	HUB_MARKERSELECT_CONGRATS_PART_2	Enhorabuena, has conseguido la pieza {1:s} de fase {0:d} para tu {2:s}.
0	AUTO	FE_POSTRACE_BEST_WHEELIE	Mejor wheelie
0	AUTO	FE_HUB_DIALOG_DAMAGED_CAR_FOR_EVENT_CONFIRM	Estás intentando entrar en una carrera con un coche dañado. ¿Seguro que quieres continuar?
0	AUTO	HUD_DRAG_EIGHTH_MILE	Tiempo en 1/8 de milla:
0	AUTO	FE_POSTRACE_CLASS_A_HEADER	GRUPO A
0	AUTO	HUD_SECTOR_CLAIMED	^¡RÉCORD DEL SECTOR!^+{1:f.0} puntos
0	AUTO	HUD_DISTANCE_REMAINING	DISTANCIA RESTANTE
0	AUTO	HUB_SCREEN_P1	J1
0	AUTO	HUB_SCREEN_P2	J2
0	AUTO	FE_TOTAL_TIME_TO_COMPLETE	TIEMPO TOTAL DE LA PRUEBA
0	AUTO	HUB_SPLITSCREEN_CARREPAIR_CONFIRM_SWITCH_BUTTON	CAMBIAR
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	¡COMIENZA LA ZONA PUNTUABLE!
0	AUTO	HUB_RETIRE_NOTWON_CONFIRM	No has conseguido suficientes puntos para dominar en este Día de carrera. Si decides abandonar, la próxima vez que participes en este Día de carrera comenzarás de cero. ¿Quieres continuar y abandonar el Día de carrera?
0	AUTO	ASSIST_LEVEL_KING_CAPS	KING
0	AUTO	HUD_DRIFT_GREAT_DRIFT	¡DRIFT GENIAL!
0	AUTO	HUB_SCREEN_CAR_REPAIR_CAREER_ONLY_TOTAL_REPAIR_MARKERS	Estás intentando reparar un coche destrozado. Tendrás que utilizar una tarjeta de siniestro.
0	AUTO	ONLINE_ROOM_STATUS_RACE_IN_PROGRESS	Carrera en marcha
0	AUTO	FE_POSTRACE_TABLE_HEADER_FINAL	FINAL
0	AUTO	HUD_DRIFT_NICE_DRIFT	BUEN DRIFT
0	AUTO	FE_HUB_DIALOG_CONFIRM_REPAIR_NOMONEY	No tienes suficiente dinero para reparar las averías.
0	AUTO	HUD_NICE_WHEELIE	¡Gran maniobra de wheelie!
0	AUTO	HUB_QUIT	SALIR
0	AUTO	HUB_RACE	PRUEBAS DE CARRERA
0	AUTO	HUD_PREPARE_TO_HEAT_TIRES1	¡Prepárate para
0	AUTO	HUD_PREPARE_TO_HEAT_TIRES2	calentar neumáticos!
0	AUTO	HUB_SCREEN_CAR_REPAIR_CAREER_ONLY_CASH	Estás intentando reparar un coche pero no tienes tarjetas de mecánico disponibles. Pero puedes repararlo gastando tu dinero.
0	AUTO	HUB_SCREEN_CAR_REPAIR_CAREER_ONLY_MARKERS	Estás intentando reparar un coche pero no tienes suficiente dinero. Puedes utilizar una de las tarjetas de mecánico disponibles.
0	AUTO	FE_POSTRACE_ZERO_TO_SIXTY	TIEMPO DE 0 A 60
0	AUTO	HUB_RACE_MODE_PRACTICE	Práctica
0	AUTO	HUD_ROUND_MATCHUP	RONDA {0:d} DE {1:d}
0	AUTO	HUD_BURNOUT_GOOD	¡Has quemado rueda bien!
0	AUTO	HUD_BURNOUT_WEAK	¡No has quemado nada de rueda!^
0	AUTO	GAMEPLAY_DRAG_FALSESTART	¡SALIDA NULA!
0	AUTO	HUD_ONLINE_HURRY_UP	¡RÁPIDO!
0	AUTO	HUD_CHECKPOINT	CONTROL
0	AUTO	FE_HUB_DIALOG_CONFIRM_REPAIR_NOTOTALED	No puedes reparar un coche destrozado durante el Día de carrera.
0	AUTO	HUD_REACHED_75_GRIP_BONUS	¡75% de agarre!
0	AUTO	FE_POSTRACE_FINISH_TIME	Tiempo final
0	AUTO	HUD_LAUNCHED_PERFECT	¡Arranque perfecto!
0	AUTO	PR_MATCHUP_CLASS_B_TITLE	RESULTADOS DEL GRUPO B
0	AUTO	HUD_NEXT_CHECKPOINT_MILES	Próximo control en^{0:s} milla
0	AUTO	HUD_DRIFT_RACE_OVER	¡FIN DE LA CARRERA!
0	AUTO	DIALOG_MSG_CONFIRM_RESTART_RACE	¿Seguro que quieres volver a empezar la carrera?
0	AUTO	HUD_FINISH_FIRST	¡HAS TERMINADO PRIMERO!
0	AUTO	DAMAGE_DIALOG_REPAIR_WITH_MARKER	USAR TARJETA
0	AUTO	HUD_FINISH_THIRD	¡HAS TERMINADO TERCERO!
0	AUTO	FE_STATISTICS_LABEL	Estadísticas
0	AUTO	SHADOW_UPLOAD_SUCCESS_TEXT	Éxito al subir.
0	AUTO	FE_POSTRACE_TARGET_TIME	Tiempo a batir
0	AUTO	FE_PR_CONFIRM_RESTART	¿Seguro que quieres volver a empezar la carrera?
0	AUTO	FE_PAUSE_CONFIRM_EXIT	Si abandonas la carrera ahora, perderás todos los progresos. ¿Seguro que quieres continuar?
0	AUTO	FE_POSTRACE_DAMAGE_TOTALED	Destrozado
0	AUTO	HUD_BEST_LAP_TIME_LOST	¡MEJOR TIEMPO DE VUELTA PERDIDA!
0	AUTO	HUB_EXIT_AFTER_REPAIRSCREEN_CONFIRM	¿Seguro que quieres salir?
0	AUTO	MENU_PAUSE_TITLE	PAUSA
0	AUTO	HUB_REPAIRALL_NOMONEY	No tienes suficiente dinero. Necesitas al menos {0:d} para hacer las reparaciones.
0	AUTO	FE_POSTRACE_TABLE_HEADER_INTERIM	EL MEJOR HASTA AHORA
0	AUTO	HUB_SHADOW_SERVER_SAME_CLUB	Fantasma de mismo club
0	AUTO	HUB_SHADOW_SERVER_SAME_TIER	Fantasma de mismo nivel
0	AUTO	PR_MATCHUP_RESULTS_FINAL_TITLE	RESULTADOS DE LA RONDA FINAL
0	AUTO	HUB_TRACKPREVIEW_YOUR_CURRENT	Actual
0	AUTO	HUD_DRAG_0_TO_60	Tiempo de 0 a 60:
0	AUTO	FE_POSTRACE_AVERAGE_SPEED	VELOCIDAD MEDIA
0	AUTO	FE_POSTRACE_DAMAGE_HEAVY	Daños graves
0	AUTO	FE_POSTRACE_DAMAGE_LIGHT	Daños leves
0	AUTO	HUB_REPAIRALL_INFO	Tienes coches dañados que debes reparar antes de salir del Día de carrera o se quedarán en el garaje hasta que los repares.
0	AUTO	HUD_SHIFTED_PERFECT	¡Cambio perfecto!
0	AUTO	FE_POSTRACE_DAMAGE_STATE	ESTADO DE DAÑOS
0	AUTO	DDAY_OPP_01	Eddie Cargo
