#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Finnish_Frontend.bin
#	File created on: 2025-05-24 11:13:15
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	FE_STATS_TOTAL_REPAIR_COST	KORJAUSKUSTANNUKSET
0	AUTO	MODE_ALL	Kaikki autot
0	AUTO	CUST_VINYL_MOVE_LAYER	Siirrä kerrosta ylös/alas
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	CUST_SLOT_ENGINE_BLOCK	SYLINTERILOHKO
0	AUTO	CAR_SELECT_MUSTANGGT	4,6-litraisella V8-moottorilla varustettu neljännen sukupolven Mustang on maailman kuuluisin poniauto.
0	AUTO	CUST_CAT_SPEED_INTERNALS	Tämä paketti korvaa moottorin osat vahvemmilla, jotka kestävät suurta tehoa ja kovia kierrosnopeuksia.^
0	AUTO	CUST_VISUAL_DECALS	TUNNUKSET
0	AUTO	CUST_CUSTOMIZE	Muokkaa
0	AUTO	CODE_ENTRY_VALID	Onneksi olkoon! Antamasi koodi on hyväksytty ja palkintosi avattu.
0	AUTO	CUST_SLOT_BRAKE_CALIPERS	JARRUSATULAT
0	AUTO	FE_MARKERMAN_EXIT_CONFIRM	Ostoskorissasi on merkkejä, joita ei ole vielä ostettu. Haluatko silti poistua
0	AUTO	CUST_SLOT_ANTI_ROLL_BARS	KALLISTUKSENVAKAIN
0	AUTO	CUST_QUICK_HANDLING_D3	Tämä jäykemmät alustan osat sisältävä paketti parantaa auton vakautta suurissa nopeuksissa. ^
0	AUTO	CUST_QUICK_HANDLING_G3	Tämä kovaan kilpakäyttöön tarkoitettu paketti sisältää jäykemmät alustan osat, jotka parantavat auton vakautta niin mutkissa kuin suorillakin. ^
0	AUTO	CUST_QUICK_HANDLING_S3	Tämä kovaan kilpakäyttöön tarkoitettu paketti sisältää jäykemmät alustan osat, jotka parantavat auton vakautta suurissa nopeuksissa niin mutkissa kuin suorillakin.^
0	AUTO	CUST_REGION_REAR_TIRE	TAKARENGAS
0	AUTO	FE_STATS_BEST_SECTOR	PARAS SEKTORI
0	AUTO	CL_FREE_CAR_MARKER	AUTOMERKKI
0	AUTO	RACEDAY_DEFINE_RACE_EVENTS_TITLE	MÄÄRITÄ KISAT
0	AUTO	CUST_QUICK_BRAKE_DI3	Tämä kilpakäyttöön tarkoitettu paketti lyhentää jarrutusmatkaa, mutta sallii kuitenkin jarrujen lukkiutumisen kovassa jarrutuksessa.^
0	AUTO	CUST_BP_APPLY_CONFIRM	Tämän piirustuksen vaatimat osat maksavat {0:d}. Haluatko jatkaa?
0	AUTO	CUST_SLOT_BUSHING_KIT	PUSLAT
0	AUTO	FE_STATS_GAMES_PLAYED	PELATUT PELIT
0	AUTO	FE_CAR_SELECT_FILTER__BONUS_CARS	BONUSAUTOT
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	CUST_VINYL_LAYER_HEADER	KERROS {0:d}
0	AUTO	CUST_PACKAGE_INFORMATION	PAKETIN KUVAUS
0	AUTO	CUST_SLOT_NITROUS_DESC	Ilokaasu on hyvin herkästi syttyvä kaasu, jota voidaan syöttää sylinterikannen palotilaan tehon hetkelliseksi lisäämiseksi.^
0	AUTO	CUST_QUICK_MANAGEMENT_1	Tämä paketti sisältää moottorinohjauksen lastutuksen suorituskyvyn maksimoimiseksi.^
0	AUTO	CUST_QUICK_MANAGEMENT_2	Tämä paketti sisältää moottorinohjauksen lastutuksen suorituskyvyn maksimoimiseksi.^
0	AUTO	CS_HEADER_SPEED_EVENT	NOPEUSHAASTEET
0	AUTO	CUST_SLOT_HEADS_DESC	Kohdistamalla eli porttaamalla sylinterikannen kanavat voidaan kasvattaa moottoriin virtaavan ilman määrää ja edistää pakokaasujen poistumista moottorista, mikä parantaa moottorin suorituskykyä.^
0	AUTO	CUST_VINYL_ADDLAYER	LISÄÄ KERROS
0	AUTO	CUST_CAT_SPEED_FORCED	Nopeasti käynnistyvä ahdin takaa hyvän tehokäyrän, mikä antaa etulyöntiaseman niin radalla kuin kadulla.^
0	AUTO	FE_STATS_HIGHEST_MULTIPLIER	SUURIN KERROIN
0	AUTO	RACE_MODE_GRIP_MODE	RATA
0	AUTO	RACEDAY_DESC_DEFINE_RACE_EVENTS	Seuraavaksi sinun on valittava kisapäivääsi kuuluvat kisat.
0	AUTO	FE_STATS_NUMBER_OF_RACES	AJETUT KISAT
0	AUTO	CUST_CAT_DRIFT_DRIVETRAIN	Tämä paketti sisältää vahvemmat voimansiirron osat, mukaan lukien vetoakselin, vetopyörästön ja vetonivelet.^
0	AUTO	FE_STATS_NUMBER_CAREER_GAMES	URALLA PELATUT PELIT
0	AUTO	RACE_DAY_ADD_EVENT	LISÄÄ KISA
