#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Finnish_InGame.bin
#	File created on: 2025-05-24 11:13:34
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUB_REPAIR_EXITHUB	Poistu kisapäivästä
0	AUTO	HUD_BURNOUT_INCREDIBLE	Loistava lämmittely!
0	AUTO	HUD_DRIFT_DOMINATING	Hallitset kisaa!
0	AUTO	HUD_DRIFT_KEEP_MOVING	PYSY LIIKKEELLÄ!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	DRIFTI PÄÄTTYI
0	AUTO	HUD_LOST_TRACTION	PITO KATOSI
0	AUTO	HUB_REPAIR_SCREEN_STATUS_REPAIRED	KORJATTU
0	AUTO	FE_POSTRACE_CLASS_B_HEADER	LUOKKA B
0	AUTO	HUD_MATCHUP	Vastassa
0	AUTO	HUD_ENGINE_BLOWN	KONE PAMAHTI!
0	AUTO	HUB_SCREEN_CAR_REPAIR_USE_MARKER	Korjaa korjausmerkillä
0	AUTO	FE_POSTRACE_TOTAL_SPEED	KOKONAISNOPEUS
0	AUTO	HUB_SPLITSCREEN_EVENT_NOCARS_BOTH	Kummallakaan pelaajalla ei ole tälle kisapäivälle sopivaa autoa.
0	AUTO	HUB_MARKERSELECT_BONUS	BONUS
0	AUTO	FE_POSTRACE_TABLE_HEADER_BEST_WHEELIE	PISIN KEULINTA
0	AUTO	HUB_MARKERSELECT_PARTS	OSAT
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	NAPPILÄHTÖ!
0	AUTO	HUD_DRIFT_FOLLOWER	Olet nyt seuraaja
0	AUTO	HUD_DAMAGE_HEAVY	PELTI RUTTAANTUU!
0	AUTO	HUD_DAMAGE_LIGHT	PINTANAARMUJA!
0	AUTO	HUB_SPLITSCREEN_EVENT_PLAYED	Olet jo pelannut tämän kisan.
0	AUTO	HUD_DRIFT_POINTS_EARNED	ANSAITUT PISTEET
0	AUTO	ON_HIDE_SETTINGS	Piilota asetukset
0	AUTO	HUD_TOTALLED	ROMUNA!
0	AUTO	DRAG_RESULTS_DISPLAY_FORMAT	{0:s} nopeudella {1:s}
0	AUTO	HUB_MARKERSELECT_WONCONGRATS	Onneksi olkoon! Voitit kisapäivän. Valitse palkintosi.
0	AUTO	FE_POSTRACE_ZERO_TO_HUNDRED	AIKA 0 - 100
0	AUTO	HUB_SHADOW_LOCAL	OMA VARJO
0	AUTO	HUD_DRAG_TIME	AIKA
0	AUTO	FE_POSTRACE_WHEELIE_BONUS	KEULIMISBONUS
0	AUTO	HUB_ONLINE_LEADER	KÄRJESSÄ
0	AUTO	HUB_MARKERSELECT_CONGRATS_PART_2	Onneksi olkoon! {1:s} (taso {0:d}) autoon {2:s} on nyt sinun.
0	AUTO	FE_POSTRACE_BEST_WHEELIE	Pisin keulinta:
0	AUTO	FE_HUB_DIALOG_DAMAGED_CAR_FOR_EVENT_CONFIRM	Olet aloittamassa kisan vaurioituneella autolla. Haluatko varmasti jatkaa?
0	AUTO	HUD_DRAG_EIGHTH_MILE	1/8 mailin aika:
0	AUTO	FE_POSTRACE_CLASS_A_HEADER	LUOKKA A
0	AUTO	HUD_SECTOR_CLAIMED	^SEKTORIENNÄTYS!^+{1:f.0} pistettä
0	AUTO	HUD_DISTANCE_REMAINING	MATKAA JÄLJELLÄ:
0	AUTO	HUB_SCREEN_P1	P1
0	AUTO	HUB_SCREEN_P2	P2
0	AUTO	FE_TOTAL_TIME_TO_COMPLETE	KISAAN KÄYTETTY AIKA
0	AUTO	HUB_SPLITSCREEN_CARREPAIR_CONFIRM_SWITCH_BUTTON	VAIHDA
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	PISTEVYÖHYKE ALKAA!
0	AUTO	HUB_RETIRE_NOTWON_CONFIRM	Et ole kerännyt tarpeeksi pisteitä tämän kisapäivän hallitsemiseen. Jos nyt poistut kisapäivästä, pisteesi nollataan, kun palaat kisapäivään. Haluatko jatkaa ja poistua kisapäivästä?
0	AUTO	ASSIST_LEVEL_KING_CAPS	KUNKKU
0	AUTO	HUD_DRIFT_GREAT_DRIFT	MAINIO DRIFTI
0	AUTO	HUB_SCREEN_CAR_REPAIR_CAREER_ONLY_TOTAL_REPAIR_MARKERS	Olet korjaamassa romuttunutta autoa. Sinun on käytettävä täyskorjausmerkki.
0	AUTO	ONLINE_ROOM_STATUS_RACE_IN_PROGRESS	Kisa meneillään
0	AUTO	FE_POSTRACE_TABLE_HEADER_FINAL	FINAALI
0	AUTO	HUD_DRIFT_NICE_DRIFT	ASIALLINEN DRIFTI
0	AUTO	FE_HUB_DIALOG_CONFIRM_REPAIR_NOMONEY	Rahasi eivät riitä vaurioiden korjaamiseen.
0	AUTO	HUD_NICE_WHEELIE	Mainio keulinta!
0	AUTO	HUB_QUIT	LOPETA
0	AUTO	HUB_RACE	KISAT
0	AUTO	HUD_PREPARE_TO_HEAT_TIRES1	Valmistaudu
0	AUTO	HUD_PREPARE_TO_HEAT_TIRES2	lämmittelyyn
0	AUTO	HUB_SCREEN_CAR_REPAIR_CAREER_ONLY_CASH	Sinulla ei ole auton korjaamiseen tarvittavaa korjausmerkkiä. Voit kuitenkin maksaa auton korjauksen käteisellä.
0	AUTO	HUB_SCREEN_CAR_REPAIR_CAREER_ONLY_MARKERS	Sinulla ei ole tarpeeksi rahaa auton korjaamiseksi. Voit kuitenkin maksaa auton korjauksen korjausmerkillä.
0	AUTO	FE_POSTRACE_ZERO_TO_SIXTY	AIKA 0 - 60
0	AUTO	HUB_RACE_MODE_PRACTICE	Harjoittelu
0	AUTO	HUD_ROUND_MATCHUP	ERÄ {0:d}/{1:d}
0	AUTO	HUD_BURNOUT_GOOD	Hyvä lämmittely!
0	AUTO	HUD_BURNOUT_WEAK	Toivoton lämmittely!
0	AUTO	GAMEPLAY_DRAG_FALSESTART	VARASLÄHTÖ!
0	AUTO	HUD_ONLINE_HURRY_UP	AIKA LOPPUU!
0	AUTO	HUD_CHECKPOINT	TARKISTUSPISTE:
0	AUTO	FE_HUB_DIALOG_CONFIRM_REPAIR_NOTOTALED	Et voi korjata romuttunutta autoa kisapäivän aikana.
0	AUTO	HUD_REACHED_75_GRIP_BONUS	Renkaiden pito parantui 75 %
0	AUTO	FE_POSTRACE_FINISH_TIME	Loppuaika:
0	AUTO	HUD_LAUNCHED_PERFECT	Nappilähtö!
0	AUTO	PR_MATCHUP_CLASS_B_TITLE	LUOKAN B TULOKSET
0	AUTO	HUD_NEXT_CHECKPOINT_MILES	Seuraava tarkistuspiste^{0:s} mailin päässä
0	AUTO	HUD_DRIFT_RACE_OVER	KISA OHI!
0	AUTO	DIALOG_MSG_CONFIRM_RESTART_RACE	Haluatko varmasti aloittaa kisan alusta?
0	AUTO	HUD_FINISH_FIRST	OLIT YKKÖNEN!
0	AUTO	DAMAGE_DIALOG_REPAIR_WITH_MARKER	MERKILLÄ
0	AUTO	HUD_FINISH_THIRD	OLIT KOLMAS!
0	AUTO	FE_STATISTICS_LABEL	Tilastot
0	AUTO	SHADOW_UPLOAD_SUCCESS_TEXT	Siirto onnistui
0	AUTO	FE_POSTRACE_TARGET_TIME	Tavoiteaika:
0	AUTO	FE_PR_CONFIRM_RESTART	Haluatko varmasti aloittaa kisan alusta?
0	AUTO	FE_PAUSE_CONFIRM_EXIT	Jos keskeytät kisan, menetät kaiken edistymisesi siinä. Haluatko varmasti keskeyttää kisan?
0	AUTO	FE_POSTRACE_DAMAGE_TOTALED	Romuna
0	AUTO	HUD_BEST_LAP_TIME_LOST	KIERROSAIKASI VOITETTIIN!
0	AUTO	HUB_EXIT_AFTER_REPAIRSCREEN_CONFIRM	Haluatko varmasti poistua?
0	AUTO	MENU_PAUSE_TITLE	PYSÄYTETTY
0	AUTO	HUB_REPAIRALL_NOMONEY	Sinulla ei ole tarpeeksi rahaa. Tarvitset korjauksiin vähintään {0:d}.
0	AUTO	FE_POSTRACE_TABLE_HEADER_INTERIM	TOISTAISEKSI PARAS
0	AUTO	HUB_SHADOW_SERVER_SAME_CLUB	Varjo samasta kerhosta
0	AUTO	HUB_SHADOW_SERVER_SAME_TIER	Varjo samalta tasolta
0	AUTO	PR_MATCHUP_RESULTS_FINAL_TITLE	VIIMEISEN ERÄN TULOKSET
0	AUTO	HUB_TRACKPREVIEW_YOUR_CURRENT	Nykyinen
0	AUTO	HUD_DRAG_0_TO_60	Aika 0 - 60:
0	AUTO	FE_POSTRACE_AVERAGE_SPEED	KESKINOPEUS
0	AUTO	FE_POSTRACE_DAMAGE_HEAVY	Vakavia vaurioita
0	AUTO	FE_POSTRACE_DAMAGE_LIGHT	Vähäisiä vaurioita
0	AUTO	HUB_REPAIRALL_INFO	Sinulla on yksi tai useampia vaurioituneita autoja, jotka on korjattava, ennen kuin niillä voi osallistua kisapäiviin.
0	AUTO	HUD_SHIFTED_PERFECT	Loistovaihto!
0	AUTO	FE_POSTRACE_DAMAGE_STATE	AUTON KUNTO
0	AUTO	DDAY_OPP_01	Eddie Cargo
0	AUTO	DDAY_OPP_02	Benny Gold
0	AUTO	DDAY_OPP_03	Samantha Cross
0	AUTO	DDAY_OPP_04	Bill Vein
0	AUTO	DDAY_OPP_05	Mark Mann
0	AUTO	DDAY_OPP_06	Roger Sole
0	AUTO	DDAY_OPP_07	Wilson Wong
0	AUTO	SHADOW_WAITING_FOR_LEADERBOARD_DATA	Odotetaan leaderboardin tietoja.
0	AUTO	HUB_REPAIR_SCREEN_STATUS_TOTALED	ROMUNA
