#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\French_Frontend.bin
#	File created on: 2025-05-24 11:13:42
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	FE_STATS_TOTAL_REPAIR_COST	COUT TOTAL DES REPARATIONS
0	AUTO	MODE_ALL	TOUTES LES VOITURES
0	AUTO	CUST_VINYL_MOVE_LAYER	Remonter/redescendre couche
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	CUST_SLOT_ENGINE_BLOCK	BLOC MOTEUR
0	AUTO	CAR_SELECT_MUSTANGGT	4e génération de Mustang équipée d'un moteur V8 de 4,6 L. Pour beaucoup, c'est la pony car par excellence.
0	AUTO	CUST_CAT_SPEED_INTERNALS	Cette amélioration consiste à remplacer les organes de votre moteur par des pièces plus durables et plus résistantes. Votre moteur développera davantage de puissance et pourra supporter des régimes plus élevés.^
0	AUTO	CUST_VISUAL_DECALS	DECALCOS
0	AUTO	CUST_CUSTOMIZE	Personnaliser la maquette
0	AUTO	CODE_ENTRY_VALID	Bravo ! Votre code a été accepté et votre récompense a été débloquée.
0	AUTO	CUST_SLOT_BRAKE_CALIPERS	ETRIERS
0	AUTO	FE_MARKERMAN_EXIT_CONFIRM	Il reste dans votre panier des pass qui n'ont pas été achetés. Continuer quand même ?
0	AUTO	CUST_SLOT_ANTI_ROLL_BARS	BARRES ANTIROULIS
0	AUTO	CUST_QUICK_HANDLING_D3	Cette amélioration raidit les suspensions et améliorer la tenue de cap de la voiture dans les lignes droites.^
0	AUTO	CUST_QUICK_HANDLING_G3	Cette amélioration optimise le compromis de suspension et améliore la tenue de route en virage comme en ligne droite.^
0	AUTO	CUST_QUICK_HANDLING_S3	Cette amélioration optimise le compromis de suspension et améliore la tenue de route à grande vitesse en virage comme en ligne droite.^
0	AUTO	CUST_REGION_REAR_TIRE	PNEU ARRIERE
0	AUTO	FE_STATS_BEST_SECTOR	MEILLEUR SECTEUR
0	AUTO	CL_FREE_CAR_MARKER	PASS VOITURE GRATUITE
0	AUTO	RACEDAY_DEFINE_RACE_EVENTS_TITLE	CHOISIR LES EPREUVES
0	AUTO	CUST_QUICK_BRAKE_DI3	Cette amélioration augmente au maximum la force du freinage mais autorise (voire encourage) la perte de motricité des pneus lors des phases de décélération.
0	AUTO	CUST_BP_APPLY_CONFIRM	Le coût total de toutes les pièces nécessaires à l'application de cette maquette sur votre voiture est de {0:d}. Voulez-vous continuer ?
0	AUTO	CUST_SLOT_BUSHING_KIT	KIT DE DOUILLES
0	AUTO	FE_STATS_GAMES_PLAYED	PARTIES DISPUTEES
0	AUTO	FE_CAR_SELECT_FILTER__BONUS_CARS	VOITURES BONUS
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	CUST_VINYL_LAYER_HEADER	COUCHE {0:d}
0	AUTO	CUST_PACKAGE_INFORMATION	INFOS SUR LE KIT
0	AUTO	CUST_SLOT_NITROUS_DESC	La nitro est un gaz hautement combustible qu'on peut injecter dans le cylindre pendant la combustion pour gagner temporairement beaucoup de puissance.^
0	AUTO	CUST_QUICK_MANAGEMENT_1	Cette amélioration reprogramme la gestion du moteur et augmente ses performances.^
0	AUTO	CUST_QUICK_MANAGEMENT_2	Cette amélioration reprogramme la gestion du moteur et augmente ses performances.^
0	AUTO	CS_HEADER_SPEED_EVENT	EPREUVES DE MAXI DEFI
0	AUTO	CUST_SLOT_HEADS_DESC	Avec des soupapes polies au niveau de la culasse, l'air admis et les gaz d'échappement circulent davantage. De quoi gagner encore quelques chevaux.^
0	AUTO	CUST_VINYL_ADDLAYER	AJOUTER UNE COUCHE
0	AUTO	CUST_CAT_SPEED_FORCED	Un turbo dont le temps de réponse est faible élargit la plage d'utilisation de votre moteur et vous confère un avantage précieux sur la piste ou dans la rue.^
