#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\French_Global_DLC.bin
#	File created on: 2025-05-24 11:13:54
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - DLC
0	1A821601	0x1A821601	Super club
0	1A821602	0x1A821602	Anneau de vitesse
0	1A821603	0x1A821603	Parcours 1 Première moitié
0	1A821604	0x1A821604	Parcours 2 Seconde moitié
0	1A821605	0x1A821605	Parcours 3 Intégralité
0	1A82161D	0x1A82161D	Pont de la baie de Tokyo
0	1BB8601F	0x1BB8601F	Votre version de NFS ProStreet n'est pas compatible avec la version de la session de jeu que vous tentez de rejoindre. Pour des résultats optimaux, tous les joueurs doivent posséder toutes les dernières mises à jour. Visitez le site NeedforSpeed.com pour en savoir plus.
0	35E21908	0x35E21908	Le kit d'extension GRATUIT Energizer Lithium est disponible en téléchargement via le Marché Xbox LIVE !
0	3EC4AB81	0x3EC4AB81	Faites-vous plaisir !
0	420DCA3B	0x420DCA3B	LEIPZIG
0	420DCA53	0x420DCA53	LEIPZIG II
0	420DCA54	0x420DCA54	VOIE EXPRESS DE TOKYO
0	420DCA55	0x420DCA55	VOIE EXPRESS II DE TOKYO
0	42781C20	0x42781C20	disponible dès maintenant sur le Marché Xbox LIVE
0	525DCCC5	0x525DCCC5	Kit extension Energizer Lithium
0	5959EB4C	0x5959EB4C	Le joueur avec lequel vous souhaitez partager du contenu ne possède pas encore la dernière mise à jour du jeu. Les joueurs souhaitant partager des jours de course doivent avoir installé toutes les mises à jour de Need for Speed.
0	59C9AC1C	0x59C9AC1C	Kit d'extension Coca-Cola Zero.
0	61098C88	0x61098C88	Le joueur avec lequel vous souhaitez partager du contenu ne possède pas encore la dernière mise à jour du jeu. Les joueurs souhaitant partager des prototypes doivent avoir installé toutes les mises à jour de Need for Speed.
0	6692EC80	0x6692EC80	Ce fichier ne peut pas être chargé car son contenu n'est pas disponible.
0	671480B8	0x671480B8	GRATUIT - Circuit de tests de Porsche de Leipzig
0	6DACD85F	0x6DACD85F	The FREE Extender Pack is now available for download on Xbox LIVE Marketplace!
0	6ECC5E67	0x6ECC5E67	GRATUIT - SEAT Leon Cupra 2007
0	71FD1C03	0x71FD1C03	LEIPZIG
0	71FD1C1B	0x71FD1C1B	LEIPZIG II
0	71FD1C1C	0x71FD1C1C	VOIE EXPRESS DE TOKYO
0	71FD1C1D	0x71FD1C1D	VOIE EXPRESS DE TOKYO II
0	7A83FDB7	0x7A83FDB7	Le jeu comme on l'aime
0	800472C1	0x800472C1	Non merci
0	82E2BDAE	0x82E2BDAE	La langue du kit d'extension que vous avez téléchargé ne correspond pas à ce disque de jeu. Voulez-vous télécharger la bonne version ?
0	83D6CADC	0x83D6CADC	Extender Pack
0	85C882DE	0x85C882DE	Gratuit
0	88D1ECEE	0x88D1ECEE	Kit d'extension GRATUIT Coca-Cola Zero.
0	88E17FE9	0x88E17FE9	Téléchargez gratuitement de nouveaux circuits et de nouvelles voitures via le Marché Xbox LIVE... Vous rallongerez également le Mode Carrière et obtiendrez des Jours de course supplémentaires !
0	91F522D5	0x91F522D5	Découvrez une Carte Carrière étendue et de nouveaux Jours de course ainsi que des voitures GRATUITES dans le garage.
0	930C8172	0x930C8172	Nous vous remercions d'avoir téléchargé le
0	A76603FD	0xA76603FD	avec le kit d'extension GRATUIT Coca-Cola Zero.
0	BCFBDE9A	0xBCFBDE9A	Impossible de télécharger le kit d'extension Need for Speed™ ProStreet pour le moment.
0	C174E20F	0xC174E20F	Vous devez redémarrer Need for Speed™ ProStreet pour que le nouveau contenu soit disponible. Il y aura une courte période d'inactivité avant le redémarrage du jeu. Cliquez sur OK pour commencer.
0	E4AF851F	0xE4AF851F	GRATUIT - Voie express de Tokyo (Japon)
0	E5E32468	0xE5E32468	Visiter NeedforSpeed.com pour les mises à jour et événements de la communauté.
0	E62B2319	0xE62B2319	GRATUIT - Plymouth® Road Runner 1969
0	EE5865C5	0xEE5865C5	14 nouvelles voitures dont la Bugatti Veyron 16.4 et la Porsche 911 GT3 ! Pour en savoir plus, consultez NeedforSpeed.com.
0	F39D0787	0xF39D0787	Téléchargez le kit gratuitement !
0	F5663CFA	0xF5663CFA	Téléchargez GRATUITEMENT de nouvelles pistes et voitures ainsi qu'une carrière et des Jours de course supplémentaires !
0	FEEF54A9	0xFEEF54A9	Rendez-vous sur NeedforSpeed.com pour d'autres mises à jour et divers événements.
