#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\French_InGame.bin
#	File created on: 2025-05-24 11:13:59
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUB_REPAIR_EXITHUB	Quitter le Jour de course
0	AUTO	HUD_BURNOUT_INCREDIBLE	Burn incroyable !
0	AUTO	HUD_DRIFT_DOMINATING	Excellent !
0	AUTO	HUD_DRIFT_KEEP_MOVING	ENCORE UN EFFORT !
0	AUTO	HUD_DRIFT_DRIFT_ENDED	FIN DU DRIFT
0	AUTO	HUD_LOST_TRACTION	PERTE DE MOTRICITE
0	AUTO	HUB_REPAIR_SCREEN_STATUS_REPAIRED	REPAREE
0	AUTO	FE_POSTRACE_CLASS_B_HEADER	GROUPE B
0	AUTO	HUD_MATCHUP	Catégorie de l'adversaire :
0	AUTO	HUD_ENGINE_BLOWN	MOTEUR EXPLOSE !
0	AUTO	HUB_SCREEN_CAR_REPAIR_USE_MARKER	REPARER AVEC UN PASS
0	AUTO	FE_POSTRACE_TOTAL_SPEED	VITESSE CUMULEE
0	AUTO	HUB_SPLITSCREEN_EVENT_NOCARS_BOTH	Les deux joueurs n'ont pas de voiture pour disputer cette épreuve.
0	AUTO	HUB_MARKERSELECT_BONUS	BONUS
0	AUTO	FE_POSTRACE_TABLE_HEADER_BEST_WHEELIE	MEILL. ROUE ARR.
0	AUTO	HUB_MARKERSELECT_PARTS	PIECES
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	UN SANS FAUTE !
0	AUTO	HUD_DRIFT_FOLLOWER	Vous êtes le poursuivant
0	AUTO	HUD_DAMAGE_HEAVY	GROS DEGATS !
0	AUTO	HUD_DAMAGE_LIGHT	DEGATS LEGERS !
0	AUTO	HUB_SPLITSCREEN_EVENT_PLAYED	Vous avez déjà disputé cette épreuve.
0	AUTO	HUD_DRIFT_POINTS_EARNED	PTS GAGNES
0	AUTO	ON_HIDE_SETTINGS	MASQUER PARAMETRES
0	AUTO	HUD_TOTALLED	VOITURE DEMOLIE !
0	AUTO	DRAG_RESULTS_DISPLAY_FORMAT	{0:s} A {1:s}
0	AUTO	HUB_MARKERSELECT_WONCONGRATS	Bravo, vous avez gagné le Jour de course ! Choisissez votre récompense.
0	AUTO	FE_POSTRACE_ZERO_TO_HUNDRED	TEMPS 0 A 100
0	AUTO	HUB_SHADOW_LOCAL	FANTOME LOCAL
0	AUTO	HUD_DRAG_TIME	TEMPS SPRINT
0	AUTO	FE_POSTRACE_WHEELIE_BONUS	BONUS DISTANCE ROUE ARRIERE
0	AUTO	HUB_ONLINE_LEADER	LEADER
0	AUTO	HUB_MARKERSELECT_CONGRATS_PART_2	Bravo, vous avez gagné la PIECE {1:s} (niveau {0:d}) pour votre {2:s}.
0	AUTO	FE_POSTRACE_BEST_WHEELIE	Meilleure roue arrière :
0	AUTO	FE_HUB_DIALOG_DAMAGED_CAR_FOR_EVENT_CONFIRM	Vous tentez de participer à une course avec une voiture endommagée. Voulez-vous vraiment continuer ?
0	AUTO	HUD_DRAG_EIGHTH_MILE	Temps 200 mètres :
0	AUTO	FE_POSTRACE_CLASS_A_HEADER	GROUPE A
0	AUTO	HUD_SECTOR_CLAIMED	^RECORD DU SEGMENT BATTU !^+{1:f.0} points
0	AUTO	HUD_DISTANCE_REMAINING	DISTANCE RESTANTE :
0	AUTO	HUB_SCREEN_P1	J1
0	AUTO	HUB_SCREEN_P2	J2
0	AUTO	FE_TOTAL_TIME_TO_COMPLETE	TEMPS TOTAL EN COURSE
