#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Hungarian_Frontend.bin
#	File created on: 2025-05-24 11:14:34
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	FE_STATS_TOTAL_REPAIR_COST	ÖSSZES JAVÍTÁSI KÖLTSÉG
0	AUTO	MODE_ALL	Összes autó
0	AUTO	CUST_VINYL_MOVE_LAYER	Réteg fel/le mozgatása
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	CUST_SLOT_ENGINE_BLOCK	MOTORBLOKK
0	AUTO	CAR_SELECT_MUSTANGGT	Ha azt mondjuk, "pony car" (sport-kisautó), mindenkinek a negyedik generációs 4,6 literes V8-as Mustang ugrik be.
0	AUTO	CUST_CAT_SPEED_INTERNALS	A fejlesztés olyan motor-alkatrészeket tartalmaz, amelyek erősebbek a szokásosnál, így több erőt tud majd leadni magasabb fordulatszámnál.
0	AUTO	CUST_VISUAL_DECALS	MATRICÁK
0	AUTO	CUST_CUSTOMIZE	Tervrajz testre szabása
0	AUTO	CODE_ENTRY_VALID	Gratulálunk! A kód elfogadva, a jutalom mostantól hozzáférhető.
0	AUTO	CUST_SLOT_BRAKE_CALIPERS	FÉKNYERGEK
0	AUTO	FE_MARKERMAN_EXIT_CONFIRM	Olyan zsetonok vannak a kosaradban, ^amelyeket nem vettél meg. Mégis kilépsz?
0	AUTO	CUST_SLOT_ANTI_ROLL_BARS	STABILIZÁTORRUDAK
0	AUTO	CUST_QUICK_HANDLING_D3	A fejlesztés keményebbé teszi a rugózást, így javul az autó egyenesfutása.
0	AUTO	CUST_QUICK_HANDLING_G3	A fejlesztés keményebbé teszi a rugózást, így javul az autó egyenesfutása és jobban is kanyarodik.
0	AUTO	CUST_QUICK_HANDLING_S3	A fejlesztés keményebbé teszi a rugózást, így javul az autó egyenesfutása és jobban is kanyarodik.
0	AUTO	CUST_REGION_REAR_TIRE	HÁTSÓ GUMI
0	AUTO	FE_STATS_BEST_SECTOR	LEGJOBB SZEKTOR
0	AUTO	CL_FREE_CAR_MARKER	AUTÓ ZSETON
0	AUTO	RACEDAY_DEFINE_RACE_EVENTS_TITLE	VERSENYEK MEGHATÁROZÁSA
0	AUTO	CUST_QUICK_BRAKE_DI3	A fejlesztés eredményeképpen a legjobb megállási idő érhető el, de az abroncsok elvesztik kapcsolatukat az úttal.
0	AUTO	CUST_BP_APPLY_CONFIRM	A tervrajz alkalmazásához szükséges alkatrészek költsége: {0:d}. Folytatod?
0	AUTO	CUST_SLOT_BUSHING_KIT	PERSELYKÉSZLET
0	AUTO	FE_STATS_GAMES_PLAYED	LEJÁTSZOTT JÁTÉKOK
0	AUTO	FE_CAR_SELECT_FILTER__BONUS_CARS	BÓNUSZAUTÓK
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	CUST_VINYL_LAYER_HEADER	{0:d} RÉTEG
0	AUTO	CUST_PACKAGE_INFORMATION	CSOMAG INFORMÁCIÓ
0	AUTO	CUST_SLOT_NITROUS_DESC	A nitro egy igen gyúlékony gáz, amelyet a hengerbe lehet fecskendezni a robbanási ütemben, így nagymértékben megnöveli a teljesítményt egy rövid időre.
0	AUTO	CUST_QUICK_MANAGEMENT_1	A fejlesztés átprogramozza a motorvezérlő számítógépet, maximalizálva így a teljesítményt.
0	AUTO	CUST_QUICK_MANAGEMENT_2	A fejlesztés átprogramozza a motorvezérlő számítógépet, maximalizálva így a teljesítményt.
0	AUTO	CS_HEADER_SPEED_EVENT	SPRINTVERSENYEK
