#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Hungarian_InGame.bin
#	File created on: 2025-05-24 11:14:51
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUB_REPAIR_EXITHUB	Kilépés a versenynapból
0	AUTO	HUD_BURNOUT_INCREDIBLE	Elképesztő gumiégetés!
0	AUTO	HUD_DRIFT_DOMINATING	Tiéd a pálya!
0	AUTO	HUD_DRIFT_KEEP_MOVING	MOZGÁS!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	DRIFT VÉGE
0	AUTO	HUD_LOST_TRACTION	MEGCSÚSZTÁL
0	AUTO	HUB_REPAIR_SCREEN_STATUS_REPAIRED	ÉP
0	AUTO	FE_POSTRACE_CLASS_B_HEADER	B CSOPORT
0	AUTO	HUD_MATCHUP	Ellenfél:
0	AUTO	HUD_ENGINE_BLOWN	ELFÜSTÖLT A MOTOR!
0	AUTO	HUB_SCREEN_CAR_REPAIR_USE_MARKER	Javítás zsetonért
0	AUTO	FE_POSTRACE_TOTAL_SPEED	MAXIMÁLIS SEBESSÉG
0	AUTO	HUB_SPLITSCREEN_EVENT_NOCARS_BOTH	Egyik játékos sem rendelkezik megfelelő autóval erre a versenyre.
0	AUTO	HUB_MARKERSELECT_BONUS	BÓNUSZ
0	AUTO	FE_POSTRACE_TABLE_HEADER_BEST_WHEELIE	LEGJOBB
0	AUTO	HUB_MARKERSELECT_PARTS	ALKATRÉSZEK
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	KIVÁLÓ INDÍTÁS!
0	AUTO	HUD_DRIFT_FOLLOWER	Sereghajtó
0	AUTO	HUD_DAMAGE_HEAVY	SÚLYOS SÉRÜLÉS!
0	AUTO	HUD_DAMAGE_LIGHT	KÖNNYŰ SÉRÜLÉS
0	AUTO	HUB_SPLITSCREEN_EVENT_PLAYED	Már lejátszottad ezt a versenyt.
0	AUTO	HUD_DRIFT_POINTS_EARNED	PONT
0	AUTO	ON_HIDE_SETTINGS	Beállítások rejtése
0	AUTO	HUD_TOTALLED	TOTÁLKÁR!
0	AUTO	DRAG_RESULTS_DISPLAY_FORMAT	{0:s} ({1:s})
0	AUTO	HUB_MARKERSELECT_WONCONGRATS	Gratulálunk, megnyerted a versenynapot! ^Válassz jutalmat az alábbiak közül!
0	AUTO	FE_POSTRACE_ZERO_TO_HUNDRED	IDŐ 0-RÓL 100-RA
0	AUTO	HUB_SHADOW_LOCAL	HELYI ÁRNYÉKOM
0	AUTO	HUD_DRAG_TIME	GYORSULÁSI IDŐ
0	AUTO	FE_POSTRACE_WHEELIE_BONUS	KÉTKEREKEZÉS TÁVOLSÁG BÓNUSZ
0	AUTO	HUB_ONLINE_LEADER	VEZETŐ
0	AUTO	HUB_MARKERSELECT_CONGRATS_PART_2	Gratulálunk, nyereményed egy {0:d}. szintű {1:s}^({2:s}).
0	AUTO	FE_POSTRACE_BEST_WHEELIE	Legjobb kétkerekezés:
0	AUTO	FE_HUB_DIALOG_DAMAGED_CAR_FOR_EVENT_CONFIRM	Sérült autóval próbálsz a versenybe lépni, biztos folytatni akarod?
0	AUTO	HUD_DRAG_EIGHTH_MILE	1/8 mérföld idő:
0	AUTO	FE_POSTRACE_CLASS_A_HEADER	A CSOPORT
0	AUTO	HUD_SECTOR_CLAIMED	^ÚJ SZEKTORREKORD!^+{1:f.0} pont
0	AUTO	HUD_DISTANCE_REMAINING	HÁTRALÉVŐ TÁVOLSÁG:
0	AUTO	HUB_SCREEN_P1	J1
0	AUTO	HUB_SCREEN_P2	J2
0	AUTO	FE_TOTAL_TIME_TO_COMPLETE	A VERSENYSOROZAT TELJESÍTÉSI IDEJE
0	AUTO	HUB_SPLITSCREEN_CARREPAIR_CONFIRM_SWITCH_BUTTON	VÁLTÁS
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	KEZDŐDIK A PONTOZÁSI ZÓNA!
0	AUTO	HUB_RETIRE_NOTWON_CONFIRM	Nem szereztél elegendő pontot a versenynap lenyomásához. Ha kilépsz, a következő alkalommal 0 ponttal elölről kell kezdened a versenynapot. Biztosan folytatod a versenynap elhagyását?
0	AUTO	ASSIST_LEVEL_KING_CAPS	KIRÁLY
0	AUTO	HUD_DRIFT_GREAT_DRIFT	KIVÁLÓ DRIFT
0	AUTO	HUB_SCREEN_CAR_REPAIR_CAREER_ONLY_TOTAL_REPAIR_MARKERS	Egy totálkárra tört kocsit próbálsz javítani. Egy totálkár zsetont kell felhasználnod!
0	AUTO	ONLINE_ROOM_STATUS_RACE_IN_PROGRESS	Verseny folyamatban
0	AUTO	FE_POSTRACE_TABLE_HEADER_FINAL	VÉGSŐ
0	AUTO	HUD_DRIFT_NICE_DRIFT	SZÉP DRIFT
0	AUTO	FE_HUB_DIALOG_CONFIRM_REPAIR_NOMONEY	Nincs elég pénzed ahhoz, hogy kijavítsd a sérülést.
0	AUTO	HUD_NICE_WHEELIE	Gyönyörű kétkerekezés!
0	AUTO	HUB_QUIT	KILÉPÉS
0	AUTO	HUB_RACE	VERSENYEK
0	AUTO	HUD_PREPARE_TO_HEAT_TIRES1	Felkészülni
0	AUTO	HUD_PREPARE_TO_HEAT_TIRES2	Melegítsd a gumikat
