#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Italian_Frontend.bin
#	File created on: 2025-05-24 11:15:01
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	FE_STATS_TOTAL_REPAIR_COST	COSTI DI RIPARAZIONE TOTALI
0	AUTO	MODE_ALL	Tutte le auto
0	AUTO	CUST_VINYL_MOVE_LAYER	Sposta strato su/giù
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	CUST_SLOT_ENGINE_BLOCK	MONOBLOCCO
0	AUTO	CAR_SELECT_MUSTANGGT	Con motore V8 da 4,6 L, questa Mustang di quarta generazione è l'auto che la maggior parte delle persone ha in mente quando si parla di pony car.
0	AUTO	CUST_CAT_SPEED_INTERNALS	Questo potenziamento sostituisce i componenti interni del tuo motore con altri più solidi, garantendo una maggiore potenza e resistenza ad alti regimi.
0	AUTO	CUST_VISUAL_DECALS	DECALCOMANIE
0	AUTO	CUST_CUSTOMIZE	Personalizza progetto
0	AUTO	CODE_ENTRY_VALID	Congratulazioni! Il tuo codice è stato accettato e hai sbloccato la tua ricompensa.
0	AUTO	CUST_SLOT_BRAKE_CALIPERS	PINZE
0	AUTO	FE_MARKERMAN_EXIT_CONFIRM	Nel carrello ci sono segnalatori che non hai acquistato. Uscire comunque?
0	AUTO	CUST_SLOT_ANTI_ROLL_BARS	BARRA ANTIROLLIO
0	AUTO	CUST_QUICK_HANDLING_D3	Questo potenziamento unisce le parti più rigide delle sospensioni per mantenere l'auto perfettamente stabile nei rettilinei.
0	AUTO	CUST_QUICK_HANDLING_G3	Questo potenziamento unisce le parti più rigide delle sospensioni per mantenere l'auto perfettamente stabile nei rettilinei e in curva.
0	AUTO	CUST_QUICK_HANDLING_S3	Questo potenziamento unisce le parti più rigide delle sospensioni per mantenere l'auto perfettamente stabile a velocità elevate nei rettilinei e in curva.
0	AUTO	CUST_REGION_REAR_TIRE	GOMMA POSTERIORE
0	AUTO	FE_STATS_BEST_SECTOR	MIGLIOR SETTORE
0	AUTO	CL_FREE_CAR_MARKER	BONUS AUTO GRATUITA
0	AUTO	RACEDAY_DEFINE_RACE_EVENTS_TITLE	SCEGLI EVENTI
0	AUTO	CUST_QUICK_BRAKE_DI3	Questo potenziamento permette di realizzare il tempo massimo di frenata e inoltre permette agli pneumatici di perdere aderenza in decelerazione.
0	AUTO	CUST_BP_APPLY_CONFIRM	I componenti necessari per applicare questo progetto costano {0:d}. Vuoi continuare?
0	AUTO	CUST_SLOT_BUSHING_KIT	KIT DI RIVESTIMENTO
0	AUTO	FE_STATS_GAMES_PLAYED	PARTITE GIOCATE
0	AUTO	FE_CAR_SELECT_FILTER__BONUS_CARS	AUTO BONUS
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	CUST_VINYL_LAYER_HEADER	STRATO {0:d}
0	AUTO	CUST_PACKAGE_INFORMATION	INFORMAZIONI KIT
0	AUTO	CUST_SLOT_NITROUS_DESC	L'N2O, un gas altamente infiammabile, può essere iniettato direttamente nel cilindro durante la combustione per incrementare in misura notevole, seppure in modo temporaneo, la potenza erogata.
0	AUTO	CUST_QUICK_MANAGEMENT_1	Questo potenziamento riprogramma il computer del motore per ottimizzare le prestazioni.
