#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Italian_Global_DLC.bin
#	File created on: 2025-05-24 11:15:18
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - DLC
0	1A821601	0x1A821601	Super Club
0	1A821602	0x1A821602	Tracciato veloce
0	1A821603	0x1A821603	Percorso 1 - Prima metà
0	1A821604	0x1A821604	Percorso 2 - Seconda metà
0	1A821605	0x1A821605	Percorso 3 - Intero
0	1A82161D	0x1A82161D	Tokyo Bay Bridge
0	1BB8601F	0x1BB8601F	La tua versione di ProStreet è incompatibile con la versione della partita a cui stai cercando di partecipare. Per una migliore esperienza di gioco tutti i giocatori dovrebbero ricevere gli ultimi aggiornamenti. Visita NeedforSpeed.com per ulteriori dettagli.
0	35E21908	0x35E21908	È ora possibile scaricare GRATUITAMENTE il Pacchetto Energizer Lithium dal Marketplace Xbox LIVE!
0	3EC4AB81	0x3EC4AB81	Buon divertimento!
0	420DCA3B	0x420DCA3B	LEIPZIG
0	420DCA53	0x420DCA53	LEIPZIG II
0	420DCA54	0x420DCA54	TOKYO EXPRESSWAY
0	420DCA55	0x420DCA55	TOKYO EXPRESSWAY II
0	42781C20	0x42781C20	ora disponibile per il download sul Marketplace Xbox LIVE
0	525DCCC5	0x525DCCC5	Pacchetto esp. Energizer Lithium
0	5959EB4C	0x5959EB4C	Il giocatore con il quale stai cercando di condividere questo Giorno di gara non ha ancora ricevuto gli ultimi aggiornamenti del gioco. Prima di procedere, è necessario che il giocatore aggiorni Need for Speed.
0	59C9AC1C	0x59C9AC1C	Booster Pack di Coca-Cola Zero
0	61098C88	0x61098C88	Il giocatore con il quale stai cercando di condividere questo progetto non ha ancora ricevuto gli ultimi aggiornamenti del gioco. Prima di procedere, è necessario che il giocatore aggiorni Need for Speed.
0	6692EC80	0x6692EC80	Il file selezionato non può essere caricato perché il pacchetto di contenuto non è disponibile.
0	671480B8	0x671480B8	GRATUITO - Test Track certificato Porsche di Leipzig
0	6DACD85F	0x6DACD85F	The FREE Extender Pack is now available for download on Xbox LIVE Marketplace!
0	6ECC5E67	0x6ECC5E67	GRATUITO - 2007 SEAT Leon Cupra
0	71FD1C03	0x71FD1C03	Leipzig
0	71FD1C1B	0x71FD1C1B	Leipzig II
0	71FD1C1C	0x71FD1C1C	Tokyo Expressway
0	71FD1C1D	0x71FD1C1D	Tokyo Expressway II
0	7A83FDB7	0x7A83FDB7	Una vera esperienza di gioco
0	800472C1	0x800472C1	No, grazie
0	82E2BDAE	0x82E2BDAE	La lingua del Booster pack che hai scaricato non è compatibile con questo disco di gioco. Vuoi scaricare la versione corretta?
0	83D6CADC	0x83D6CADC	Extender Pack
0	85C882DE	0x85C882DE	Gratuito
0	88D1ECEE	0x88D1ECEE	Booster Pack GRATUITO di Coca-Cola Zero.
0	88E17FE9	0x88E17FE9	Scarica questi contenuti GRATUITI dal Marketplace Xbox LIVE per ottenere nuovi tracciati, bolidi ed eventi in modalità Carriera o Giorno di gara!
0	91F522D5	0x91F522D5	Visita i nuovi tracciati in Carriera e in Giorno di gara ed ammira le tue nuove auto GRATUITE nel concessionario.
0	930C8172	0x930C8172	Grazie per aver scaricato il contenuto
0	A76603FD	0xA76603FD	con il Booster Pack GRATUITO di Coca-Cola Zero.
0	BCFBDE9A	0xBCFBDE9A	Il Booster pack di Need for Speed™ ProStreet non può essere scaricato in questo momento.
0	C174E20F	0xC174E20F	Riavvia Need for Speed™ ProStreet per rendere disponibili i nuovi contenuti. Prima che il gioco ricominci, potrebbe verificarsi un breve periodo di inattività. Fai clic su OK per procedere.
0	E4AF851F	0xE4AF851F	GRATUITO - Tokyo Expressway in Giappone
0	E5E32468	0xE5E32468	Visita NeedforSpeed.com per gli aggiornamenti e gli eventi della community
0	E62B2319	0xE62B2319	GRATUITO - 1969 Plymouth® Road Runner
0	EE5865C5	0xEE5865C5	14 nuove auto, tra cui la Bugatti Veyron 16.4 e la Porsche 911 GT3! Visita NeedforSpeed.com per ulteriori dettagli.
0	F39D0787	0xF39D0787	Scarica ora e gratis!
0	F5663CFA	0xF5663CFA	Scarica questo contenuto GRATUITO per ottenere nuovi tracciati, nuove auto ed estendere Carriera ed Eventi di gara!
0	FEEF54A9	0xFEEF54A9	Visita NeedforSpeed.com per gli aggiornamenti e gli eventi della community!
