#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Italian_InGame.bin
#	File created on: 2025-05-24 11:15:25
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUB_REPAIR_EXITHUB	Abbandona Giorno di gara
0	AUTO	HUD_BURNOUT_INCREDIBLE	Fantastico burnout!
0	AUTO	HUD_DRIFT_DOMINATING	Dominatore!
0	AUTO	HUD_DRIFT_KEEP_MOVING	CONTINUA A CORRERE!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	FINE DERAPATA
0	AUTO	HUD_LOST_TRACTION	TRAZIONE PERSA
0	AUTO	HUB_REPAIR_SCREEN_STATUS_REPAIRED	RIPARATA
0	AUTO	FE_POSTRACE_CLASS_B_HEADER	GRUPPO B
0	AUTO	HUD_MATCHUP	Abbinato contro
0	AUTO	HUD_ENGINE_BLOWN	MOTORE FUORI USO!
0	AUTO	HUB_SCREEN_CAR_REPAIR_USE_MARKER	Ripara usando un segnalatore
0	AUTO	FE_POSTRACE_TOTAL_SPEED	VELOCITÀ TOTALE
0	AUTO	HUB_SPLITSCREEN_EVENT_NOCARS_BOTH	Nessuno dei giocatori dispone di un'auto adatta per questo evento
0	AUTO	HUB_MARKERSELECT_BONUS	BONUS
0	AUTO	FE_POSTRACE_TABLE_HEADER_BEST_WHEELIE	MIGLIOR IMPENNATA
0	AUTO	HUB_MARKERSELECT_PARTS	PEZZI
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	ENTRATA PERFETTA!
0	AUTO	HUD_DRIFT_FOLLOWER	Inseguitore
0	AUTO	HUD_DAMAGE_HEAVY	DANNO GRAVE!
0	AUTO	HUD_DAMAGE_LIGHT	DANNO LIEVE
0	AUTO	HUB_SPLITSCREEN_EVENT_PLAYED	Hai già giocato questo evento
0	AUTO	HUD_DRIFT_POINTS_EARNED	PTI GUADAGNATI
0	AUTO	ON_HIDE_SETTINGS	Nascondi impostazioni
0	AUTO	HUD_TOTALLED	DISTRUTTA!
0	AUTO	DRAG_RESULTS_DISPLAY_FORMAT	{0:s} a {1:s}
0	AUTO	HUB_MARKERSELECT_WONCONGRATS	Complimenti, hai vinto il Giorno di gara! Scegli il tuo premio.
0	AUTO	FE_POSTRACE_ZERO_TO_HUNDRED	TEMPO DA 0 A 100
0	AUTO	HUB_SHADOW_LOCAL	Ombra locale
0	AUTO	HUD_DRAG_TIME	TEMPO ACCELERAZIONE
0	AUTO	FE_POSTRACE_WHEELIE_BONUS	BONUS DISTANZA IMPENNATA
0	AUTO	HUB_ONLINE_LEADER	LEADER
0	AUTO	HUB_MARKERSELECT_CONGRATS_PART_2	Congratulazioni, hai vinto il PACCHETTO {0:d} {1:s}  per il tuo {2:s}.
0	AUTO	FE_POSTRACE_BEST_WHEELIE	Miglior impennata:
0	AUTO	FE_HUB_DIALOG_DAMAGED_CAR_FOR_EVENT_CONFIRM	Stai accedendo a una gara con un'auto danneggiata. Sei sicuro di voler continuare?
0	AUTO	HUD_DRAG_EIGHTH_MILE	Tempo 1/8 di miglio
0	AUTO	FE_POSTRACE_CLASS_A_HEADER	GRUPPO A
0	AUTO	HUD_SECTOR_CLAIMED	^RECORD SETTORE BATTUTO!^+{1:f.0} Punti
0	AUTO	HUD_DISTANCE_REMAINING	DISTANZA RIMASTA:
0	AUTO	HUB_SCREEN_P1	G1
0	AUTO	HUB_SCREEN_P2	G2
0	AUTO	FE_TOTAL_TIME_TO_COMPLETE	TEMPO TOTALE GARA
0	AUTO	HUB_SPLITSCREEN_CARREPAIR_CONFIRM_SWITCH_BUTTON	CAMBIA
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	INIZIO ZONA PUNTI!
