#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Korean_Frontend.bin
#	File created on: 2025-05-24 11:16:01
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	FE_STATS_TOTAL_REPAIR_COST	총 수리 비용
0	AUTO	MODE_ALL	모든 차량
0	AUTO	CUST_VINYL_MOVE_LAYER	레이어 위/아래 이동
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	CUST_SLOT_ENGINE_BLOCK	엔진 블록
0	AUTO	CAR_SELECT_MUSTANGGT	4세대 Mustang으로서 4.6l V8이 장착됐으며 세상 사람들이 포니 자동차라면 가장 먼저 떠올리게 되는 차량입니다.
0	AUTO	CUST_CAT_SPEED_INTERNALS	이 업그레이드를 적용하면 기존 엔진 내부가 보다 강력하고 내구성이 우수한 부품으로 교체되므로 더욱 높은 동력과 rpm을 견딜 수 있습니다.
0	AUTO	CUST_VISUAL_DECALS	스티커
0	AUTO	CUST_CUSTOMIZE	청사진 사용자 정의
0	AUTO	CODE_ENTRY_VALID	축하합니다!  코드가 접수되어 보상 잠금이 해제됐습니다.
0	AUTO	CUST_SLOT_BRAKE_CALIPERS	캘리퍼스
0	AUTO	FE_MARKERMAN_EXIT_CONFIRM	장바구니에 구매하지 않은 마커가 남아 있습니다.  그래도 나가겠습니까?
0	AUTO	CUST_SLOT_ANTI_ROLL_BARS	구름방지 막대
0	AUTO	CUST_QUICK_HANDLING_D3	이 업그레이드를 적용하면 서스펜션 부품들이 더욱 견고하게 조합되어 직선로에서 차량의 안정감이 극대화됩니다.
0	AUTO	CUST_QUICK_HANDLING_G3	이 업그레이드를 적용하면 서스펜션 부품들이 더욱 견고하게 조합되어 곡선로와 직선로에서 차량의 안정감이 극대화됩니다.
0	AUTO	CUST_QUICK_HANDLING_S3	이 업그레이드를 적용하면 서스펜션 부품들이 더욱 견고하게 조합되어 곡선로와 직선로에서 고속 주행 중인 차량의 안정감이 극대화됩니다.
0	AUTO	CUST_REGION_REAR_TIRE	후방 타이어
0	AUTO	FE_STATS_BEST_SECTOR	최고 구간
0	AUTO	CL_FREE_CAR_MARKER	자유 자동차 마커
0	AUTO	RACEDAY_DEFINE_RACE_EVENTS_TITLE	레이스 이벤트 정의
0	AUTO	CUST_QUICK_BRAKE_DI3	이 업그레이드를 적용하면 최대 제동 시간을 확보할 수 있지만 감속 시 타이어의 정지 마찰 능력이 상실됩니다.
0	AUTO	CUST_BP_APPLY_CONFIRM	이 청사진을 차량에 적용하려면 모든 필요 부품을 구입하는 데 {0:d}이(가) 소요됩니다. 계속하시겠습니까?
0	AUTO	CUST_SLOT_BUSHING_KIT	부싱 키트
0	AUTO	FE_STATS_GAMES_PLAYED	플레이한 게임
0	AUTO	FE_CAR_SELECT_FILTER__BONUS_CARS	보너스 차량
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	CUST_VINYL_LAYER_HEADER	레이어 {0:d}
0	AUTO	CUST_PACKAGE_INFORMATION	패키지 정보
0	AUTO	CUST_SLOT_NITROUS_DESC	고도의 가연성 가스인 질소를 연소 과정에서 실린더에 주입하면 엔진의 출력을 일시적으로 대폭 증가시킬 수 있습니다.
0	AUTO	CUST_QUICK_MANAGEMENT_1	이 업그레이드를 적용하면 성능을 극대화하도록 엔진 컴퓨터가 새로 프로그래밍됩니다.
0	AUTO	CUST_QUICK_MANAGEMENT_2	이 업그레이드를 적용하면 성능을 극대화하도록 엔진 컴퓨터가 새로 프로그래밍됩니다.
0	AUTO	CS_HEADER_SPEED_EVENT	스피드 챌린지 이벤트
0	AUTO	CUST_SLOT_HEADS_DESC	실린더 헤드에 있는 밸브를 왼쪽으로 돌려서 엔진에 주입되는 공기의 양을 늘려서 엔진에 있는 가스를 모두 배출할 수 있습니다. 이렇게 하면 마력이 향상됩니다.
0	AUTO	CUST_VINYL_ADDLAYER	새 레이어 추가
0	AUTO	CUST_CAT_SPEED_FORCED	스풀 타임 및 반응 속도가 빠른 터보를 장착하면 동력 상승 효과가 있을 뿐 아니라 트랙이나 거리에서 주행 시 놀라운 이점이 있습니다.
0	AUTO	FE_STATS_HIGHEST_MULTIPLIER	최고 멀티플라이어
0	AUTO	RACE_MODE_GRIP_MODE	그립 모드
0	AUTO	RACEDAY_DESC_DEFINE_RACE_EVENTS	다음 단계에서는 레이스 데이의 레이스 이벤트를 지정해야 합니다.
0	AUTO	FE_STATS_NUMBER_OF_RACES	레이스 횟수
0	AUTO	CUST_CAT_DRIFT_DRIVETRAIN	이 업그레이드를 적용하면 구동축, 차동 장치 및 차축 등 차량의 동력을 바퀴에 전달하는 부품이 강화됩니다.
0	AUTO	FE_STATS_NUMBER_CAREER_GAMES	커리어 게임 횟수
0	AUTO	RACE_DAY_ADD_EVENT	이벤트 추가
0	AUTO	BLUEPRINT_NO_DLC_CONTENT	이 청사진은 현재 사용자의 니드 포 스피드의 버전과 맞지 않습니다. 새로운 게임 컨텐츠를 활용하기 위해서는 NeedforSpeed.com에서 업데이트에 대한 정보를 구하십시오.
0	AUTO	LANG_POLISH_NO_TRANSLATION	POLSKI
0	AUTO	CUST_PAINT_WHEELS	바퀴 페인트
0	AUTO	CUST_BLUEPRINT_SET_ACTIVE	활성 청사진으로 설정
0	AUTO	LANG_GERMAN_NO_TRANSLATION	DEUTSCH
0	AUTO	CUST_ENGINE_MANAGEMENT_TITLE	엔진 관리
0	AUTO	HUBMAP_HEADING_WIN_REWARD	승리 보상
0	AUTO	CUST_PAINT_BODY	페인트
0	AUTO	CUST_PAINT_RIMS	바퀴
0	AUTO	CUST_PAINT_TINT	창문 코팅
0	AUTO	FE_MATCHMAKING_ERROR_NONE	오류가 발생하지 않았습니다.
0	AUTO	RACEDAY_CONFIRM_DELETE	정말로 이 레이스 데이를 삭제하시겠습니까?
0	AUTO	MENU_TITLE_LANGUAGE_SELECT	언어 선택:
0	AUTO	CUST_SLOT_BUSHINGS_DESC	우레탄이나 알루미늄 같은 튼튼한 재질로 만든 투관을 사용하면 차량이 더욱 안정감 있게 회전할 수 있습니다.
0	AUTO	HUB_DIFFICULTY_2	중간
