#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Korean_Global.bin
#	File created on: 2025-05-24 11:16:07
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	OZ	O.Z.
0	AUTO	ACT	ACT
0	AUTO	ADR	ADR
0	AUTO	AEM	AEM
0	AUTO	AFR	AFR
0	AUTO	APE	APE
0	AUTO	APR	APR
0	AUTO	BBS	BBS
0	AUTO	B_M	B&M
0	AUTO	DEI	DEI
0	AUTO	HKS	HKS
0	AUTO	HRE	HRE
0	AUTO	KYB	KYB
0	AUTO	K_N	K&N
0	AUTO	MMP	MMP
0	AUTO	MSD	MSD
0	AUTO	NOS	NOS
0	AUTO	TCI	TCI
0	AUTO	TSW	TSW
0	AUTO	TYC	TYC
0	AUTO	ZEX	ZEX
0	AUTO	GAME_ACTION_CREWDEFENSIVE	크루 활성화
0	AUTO	APEX	APEX
0	AUTO	BAER	BAER
0	AUTO	CARNAME_MUSTANG03_SHORT	'03 Mustang GT
0	AUTO	KONI	KONI
0	AUTO	MOMO	MOMO
0	AUTO	TIAL	TIAL
0	AUTO	TODA	TODA
0	AUTO	TOYO	TOYO
0	AUTO	VOLK	VOLK
0	AUTO	WORK	WORK
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	NISSAN 240SX (S13)
0	AUTO	FE_POSTRACE_TOP_CHECKPOINT_SPEED_CAPS	최고 체크포인트 속도
0	AUTO	CARNAME_CHEVROLET_CORVETTE	CHEVROLET CORVETTE C6
0	AUTO	CUST_DIALOG_BP_OVERWRITE_CONFIRM	정말 이 청사진을 업데이트 하고 이전의 변경 사항을 덮어쓰시겠습니까?
0	AUTO	CARNAME_MAZDA_RX7	MAZDA RX-7
0	AUTO	CARNAME_MAZDA_RX8	MAZDA RX-8
0	AUTO	CAR_PART_WHEEL_TEAMDYNAMICS_KIT00	Team Dynamics Monza R
