#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Dutch_Frontend.bin
#	File created on: 2025-05-24 11:11:53
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	FE_STATS_TOTAL_REPAIR_COST	TOTALE REPARATIEKOSTEN
0	AUTO	MODE_ALL	Alle wagens
0	AUTO	CUST_VINYL_MOVE_LAYER	Laag omhoog/omlaag
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	CUST_SLOT_ENGINE_BLOCK	MOTORBLOK
0	AUTO	CAR_SELECT_MUSTANGGT	De 4e generatie Mustang is met zijn 4.6 V8 de wagen waar de meeste mensen aan denken bij een pony car.
0	AUTO	CUST_CAT_SPEED_INTERNALS	Deze upgrade vervangt je bestaande motoronderdelen door sterkere, duurzamere onderdelen, zodat je motor meer vermogen en hogere toeren aankan.
0	AUTO	CUST_VISUAL_DECALS	NAAMSTICKERS
0	AUTO	CUST_CUSTOMIZE	Ontwerp aanpassen
0	AUTO	CODE_ENTRY_VALID	Gefeliciteerd! Je code is geaccepteerd en je hebt je beloning vrijgespeeld.
0	AUTO	CUST_SLOT_BRAKE_CALIPERS	REMKLAUWEN
0	AUTO	FE_MARKERMAN_EXIT_CONFIRM	Je winkelwagen bevat kaarten die je nog niet hebt gekocht. Toch afsluiten?
0	AUTO	CUST_SLOT_ANTI_ROLL_BARS	STABILISATORSTANGEN
0	AUTO	CUST_QUICK_HANDLING_D3	Deze upgrade bevat onderdelen voor een stijvere wielophanging om de auto goed recht te houden.
0	AUTO	CUST_QUICK_HANDLING_G3	Deze upgrade bevat onderdelen voor een stijvere wielophanging om de auto goed in de bochten en op het rechte stuk te houden.
0	AUTO	CUST_QUICK_HANDLING_S3	Deze upgrade bevat onderdelen voor een stijvere wielophanging om de auto bij hoge snelheden goed in de bochten en op het rechte stuk te houden.
0	AUTO	CUST_REGION_REAR_TIRE	ACHTERBAND
0	AUTO	FE_STATS_BEST_SECTOR	BESTE SECTOR
0	AUTO	CL_FREE_CAR_MARKER	GRATIS-WAGENKAART
0	AUTO	RACEDAY_DEFINE_RACE_EVENTS_TITLE	RACE-EVENEMENTEN KIEZEN
0	AUTO	CUST_QUICK_BRAKE_DI3	Deze upgrade zorgt voor een zo kort mogelijke remweg, maar zorgt ervoor (en stimuleert zelfs) dat de wielen tijdens het remmen gaan slippen.
0	AUTO	CUST_BP_APPLY_CONFIRM	Het kost {0:d} om alle onderdelen te kopen die je nodig hebt om dit ontwerp op je wagen toe te passen. Wil je doorgaan?
0	AUTO	CUST_SLOT_BUSHING_KIT	LAGERBUSSENKIT
0	AUTO	FE_STATS_GAMES_PLAYED	SPELLEN GESPEELD
0	AUTO	FE_CAR_SELECT_FILTER__BONUS_CARS	BONUSWAGENS
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	CUST_VINYL_LAYER_HEADER	LAAG {0:d}
0	AUTO	CUST_PACKAGE_INFORMATION	PAKKET INFORMATIE
0	AUTO	CUST_SLOT_NITROUS_DESC	Nitro, of lachgas, is een zeer licht ontvlambaar gas, dat tijdens de verbranding in de cilinder kan worden gespoten om tijdelijk veel meer vermogen te krijgen.
0	AUTO	CUST_QUICK_MANAGEMENT_1	Deze upgrade herprogrammeert de motorcomputer voor betere prestaties.
0	AUTO	CUST_QUICK_MANAGEMENT_2	Deze upgrade herprogrammeert de motorcomputer voor betere prestaties.
0	AUTO	CS_HEADER_SPEED_EVENT	SPEED-UITDAGING-EVENEMENTEN
0	AUTO	CUST_SLOT_HEADS_DESC	Door de kleppen op de cilinderkop bij te stellen, kun je de luchtstroom naar de motor en de uitlaat van gassen uit de motor verhogen. Dat zorgt voor meer vermogen.
0	AUTO	CUST_VINYL_ADDLAYER	NIEUWE LAAG TOEVOEGEN
0	AUTO	CUST_CAT_SPEED_FORCED	Een snel spoolende turbo die zonder vertraging vermogen afgeeft zorgt voor een bruikbare vermogenscurve en een ongekend voordeel op het parcours of op straat.
0	AUTO	FE_STATS_HIGHEST_MULTIPLIER	HOOGSTE VERMENIGVULDIGER
0	AUTO	RACE_MODE_GRIP_MODE	RACETYPE^GRIP
0	AUTO	RACEDAY_DESC_DEFINE_RACE_EVENTS	Nu kun je bepalen uit welke evenementen je racedag bestaat.
0	AUTO	FE_STATS_NUMBER_OF_RACES	AANTAL RACES
0	AUTO	CUST_CAT_DRIFT_DRIVETRAIN	Deze upgrade versterkt de onderdelen die het vermogen van je wagen op de wielen overbrengen: aandrijfas, differentieel en assen.
0	AUTO	FE_STATS_NUMBER_CAREER_GAMES	GEREDEN CARRIÈRERACES
0	AUTO	RACE_DAY_ADD_EVENT	EVENEMENT TOEVOEGEN
