#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Dutch_InGame.bin
#	File created on: 2025-05-24 11:12:14
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUB_REPAIR_EXITHUB	Racedag verlaten
0	AUTO	HUD_BURNOUT_INCREDIBLE	Fantastische burnout!
0	AUTO	HUD_DRIFT_DOMINATING	Gedomineerd!
0	AUTO	HUD_DRIFT_KEEP_MOVING	GA DOOR!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	EINDE DRIFT
0	AUTO	HUD_LOST_TRACTION	TRACTIE WEG
0	AUTO	HUB_REPAIR_SCREEN_STATUS_REPAIRED	GEREPAREERD
0	AUTO	FE_POSTRACE_CLASS_B_HEADER	GROEP B
0	AUTO	HUD_MATCHUP	Wedstrijd tegen
0	AUTO	HUD_ENGINE_BLOWN	MOTOR OPGEBLAZEN!
0	AUTO	HUB_SCREEN_CAR_REPAIR_USE_MARKER	Repareren met kaart
0	AUTO	FE_POSTRACE_TOTAL_SPEED	TOTALE SNELHEID
0	AUTO	HUB_SPLITSCREEN_EVENT_NOCARS_BOTH	Beide spelers beschikken niet over een wagen om te racen in dit evenement.
0	AUTO	HUB_MARKERSELECT_BONUS	BONUS
0	AUTO	FE_POSTRACE_TABLE_HEADER_BEST_WHEELIE	BESTE WHEELIE
0	AUTO	HUB_MARKERSELECT_PARTS	ONDERDELEN
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	PERFECTE BINNENKOMER!
0	AUTO	HUD_DRIFT_FOLLOWER	Jij bent de volger
0	AUTO	HUD_DAMAGE_HEAVY	ZWARE SCHADE!
0	AUTO	HUD_DAMAGE_LIGHT	LICHTE SCHADE
0	AUTO	HUB_SPLITSCREEN_EVENT_PLAYED	Je hebt dat evenement al gespeeld.
0	AUTO	HUD_DRIFT_POINTS_EARNED	VERDIENDE PTN
0	AUTO	ON_HIDE_SETTINGS	Instellingen verbergen
0	AUTO	HUD_TOTALLED	TOTAL LOSS!
0	AUTO	DRAG_RESULTS_DISPLAY_FORMAT	{0:s} met {1:s}
0	AUTO	HUB_MARKERSELECT_WONCONGRATS	Gefeliciteerd, je hebt de racedag gewonnen! Kies een beloning.
0	AUTO	FE_POSTRACE_ZERO_TO_HUNDRED	TIJD VAN 0 TOT 100
0	AUTO	HUB_SHADOW_LOCAL	MIJN LOKALE SCHADUW
0	AUTO	HUD_DRAG_TIME	DRAGTIJD
0	AUTO	FE_POSTRACE_WHEELIE_BONUS	WHEELIE-AFSTANDSBONUS
0	AUTO	HUB_ONLINE_LEADER	LEIDER
0	AUTO	HUB_MARKERSELECT_CONGRATS_PART_2	Gefeliciteerd, je hebt NIVEAU {0:d} {1:s} gewonnen voor je {2:s}.
0	AUTO	FE_POSTRACE_BEST_WHEELIE	Beste wheelie:
0	AUTO	FE_HUB_DIALOG_DAMAGED_CAR_FOR_EVENT_CONFIRM	Je probeert aan een race mee te doen met een beschadigde wagen. Weet je zeker dat je wilt doorgaan?
0	AUTO	HUD_DRAG_EIGHTH_MILE	Tijd 1/8 mijl:
0	AUTO	FE_POSTRACE_CLASS_A_HEADER	GROEP A
0	AUTO	HUD_SECTOR_CLAIMED	^SECTORRECORD VERBROKEN!^+{1:f.0} punten
0	AUTO	HUD_DISTANCE_REMAINING	RESTERENDE AFSTAND:
0	AUTO	HUB_SCREEN_P1	S1
0	AUTO	HUB_SCREEN_P2	S2
0	AUTO	FE_TOTAL_TIME_TO_COMPLETE	TOTALE TIJD EINDIGEN COMPETITIE
0	AUTO	HUB_SPLITSCREEN_CARREPAIR_CONFIRM_SWITCH_BUTTON	RESERVEWAGEN
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	BEGIN SCORINGSZONE!
0	AUTO	HUB_RETIRE_NOTWON_CONFIRM	Je hebt nog niet voldoende punten verdiend om deze racedag te domineren. Als je de racedag verlaat, raak je al je punten voor deze dag kwijt. Weet je zeker dat je wilt doorgaan en deze racedag wilt verlaten?
0	AUTO	ASSIST_LEVEL_KING_CAPS	KING
0	AUTO	HUD_DRIFT_GREAT_DRIFT	GEWELDIGE DRIFT
0	AUTO	HUB_SCREEN_CAR_REPAIR_CAREER_ONLY_TOTAL_REPAIR_MARKERS	Je probeert een wagen te repareren die total loss is. Je moet een totalloss-kaart inzetten.
0	AUTO	ONLINE_ROOM_STATUS_RACE_IN_PROGRESS	Race is begonnen
0	AUTO	FE_POSTRACE_TABLE_HEADER_FINAL	FINALE
0	AUTO	HUD_DRIFT_NICE_DRIFT	MOOIE DRIFT
0	AUTO	FE_HUB_DIALOG_CONFIRM_REPAIR_NOMONEY	Je hebt niet genoeg geld om de schade te herstellen.
0	AUTO	HUD_NICE_WHEELIE	Mooie wheelie!
0	AUTO	HUB_QUIT	AFSLUITEN
0	AUTO	HUB_RACE	RACE-EVENEMENTEN
0	AUTO	HUD_PREPARE_TO_HEAT_TIRES1	Maak je klaar om
0	AUTO	HUD_PREPARE_TO_HEAT_TIRES2	je banden op te warmen
0	AUTO	HUB_SCREEN_CAR_REPAIR_CAREER_ONLY_CASH	Je probeert een wagen te repareren, maar je hebt geen reparatiekaarten hebt. Je kunt wel met geld betalen voor de reparatie.
0	AUTO	HUB_SCREEN_CAR_REPAIR_CAREER_ONLY_MARKERS	Je probeert een wagen te repareren, maar je hebt niet genoeg geld. Je kunt wel een van de reparatiekaarten gebruiken.
0	AUTO	FE_POSTRACE_ZERO_TO_SIXTY	TIJD VAN 0 TOT 60
0	AUTO	HUB_RACE_MODE_PRACTICE	Oefenen
0	AUTO	HUD_ROUND_MATCHUP	RONDE {0:d} VAN {1:d}
0	AUTO	HUD_BURNOUT_GOOD	Goede burnout!
