#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Norwegian_Frontend.bin
#	File created on: 2025-05-24 11:16:34
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	FE_STATS_TOTAL_REPAIR_COST	TOTAL REPARASJONSKOSTNAD
0	AUTO	MODE_ALL	Alle biler
0	AUTO	CUST_VINYL_MOVE_LAYER	Flytt lag opp/ned
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	CUST_SLOT_ENGINE_BLOCK	MOTORBLOKK
0	AUTO	CAR_SELECT_MUSTANGGT	Med en 4,6 L V8-er er denne 4.-generasjons Mustangen bilen de fleste i verden ser for seg når de tenker på pony-bil.
0	AUTO	CUST_CAT_SPEED_INTERNALS	Denne oppgraderingen erstatter de interne delene i motoren med sterkere, mer holdbare deler, noe som gjør at du får mer kraft og kan holde høyere omdreiningstall. ^
0	AUTO	CUST_VISUAL_DECALS	DEKALER
0	AUTO	CUST_CUSTOMIZE	Tilpass
0	AUTO	CODE_ENTRY_VALID	Gratulerer!^Koden er godkjent, og belønningen er låst opp.
0	AUTO	CUST_SLOT_BRAKE_CALIPERS	KALIPERE
0	AUTO	FE_MARKERMAN_EXIT_CONFIRM	Er du sikker på at du vil avslutte?^Du har merker i handlekurven som ikke er kjøpt.
0	AUTO	CUST_SLOT_ANTI_ROLL_BARS	KRENGINGSSTABILISATORER
0	AUTO	CUST_QUICK_HANDLING_D3	Denne oppgraderingen har stivere hjuloppheng for å holde bilen klistret på veien i en rett linje.
0	AUTO	CUST_QUICK_HANDLING_G3	Denne oppgraderingen har stivere hjuloppheng for å holde bilen klistret på veien i svinger og på rette strekninger.
0	AUTO	CUST_QUICK_HANDLING_S3	Denne oppgraderingen har stivere hjuloppheng for å holde bilen klistret på veien i høy fart gjennom svinger og på rettstrekninger.
0	AUTO	CUST_REGION_REAR_TIRE	BAKDEKK
0	AUTO	FE_STATS_BEST_SECTOR	BESTE SEKTOR
0	AUTO	CL_FREE_CAR_MARKER	MERKE FOR GRATIS BIL
0	AUTO	RACEDAY_DEFINE_RACE_EVENTS_TITLE	DEFINER LØP
0	AUTO	CUST_QUICK_BRAKE_DI3	Denne oppgraderingen sikrer at du oppnår best mulig stopptid, men tillater og også oppmuntrer til at dekkene skrenser ved nedbremsing.
0	AUTO	CUST_BP_APPLY_CONFIRM	Det koster {0:d} å kjøpe alle deler som er nødvendige for å bruke denne tekniske tegningen på bilen. Vil du fortsette?
0	AUTO	CUST_SLOT_BUSHING_KIT	FORINGSSETT
0	AUTO	FE_STATS_GAMES_PLAYED	SPILTE SPILL
0	AUTO	FE_CAR_SELECT_FILTER__BONUS_CARS	BONUSBILER
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	CUST_VINYL_LAYER_HEADER	LAG {0:d}
0	AUTO	CUST_PACKAGE_INFORMATION	INFORMASJON OM PAKKE
