#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Norwegian_Global_DLC.bin
#	File created on: 2025-05-24 11:16:48
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - DLC
0	1A821601	0x1A821601	Superklubb
0	1A821602	0x1A821602	Fartsbane
0	1A821603	0x1A821603	Rute 1 Første halvdel
0	1A821604	0x1A821604	Rute 2 Andre halvdel
0	1A821605	0x1A821605	Rute 3 Hele
0	1A82161D	0x1A82161D	Tokyo Bay Bridge
0	1BB8601F	0x1BB8601F	Din versjon av NFS ProStreet er inkompatibel med versjonen av spilløkten du prøver å bli med i. For å oppnå best mulig resultat bør alle spillere ta i bruk de nyeste oppdateringene. Gå inn på NeedforSpeed.com for mer informasjon.
0	35E21908	0x35E21908	Den GRATIS Energizer Lithium utvidelsespakken er nå tilgjengelig for nedlasting fra Xbox LIVE markedsplassen!
0	3EC4AB81	0x3EC4AB81	Ha det gøy!
0	420DCA3B	0x420DCA3B	LEIPZIG
0	420DCA53	0x420DCA53	LEIPZIG II
0	420DCA54	0x420DCA54	TOKYO EXPRESSWAY
0	420DCA55	0x420DCA55	TOKYO EXPRESSWAY II
0	42781C20	0x42781C20	Tilgjengelig via Xbox LIVE markedsplassen!
0	525DCCC5	0x525DCCC5	Energizer Lithium tilleggspakke
0	5959EB4C	0x5959EB4C	Den spelare du försöker dela med har ännu inte hämtat den senaste speluppdateringen. Han eller hon måste uppdatera sitt Need for Speed innan du kan dela denna racingdag.
0	59C9AC1C	0x59C9AC1C	Coca-Cola Zero Booster-pakke.
0	61098C88	0x61098C88	Spilleren du prøver å dele med, har ennå ikke mottatt den nyeste spilloppdateringen. Vedkommende må oppdatere sitt eksemplar av Need for Speed før denne tekniske tegningen kan deles.
0	6692EC80	0x6692EC80	Kan ikke laste inn filen fordi innholdspakken ikke er tilgjengelig.
0	671480B8	0x671480B8	GRATIS - Porsche Leipzig Testbane
0	6DACD85F	0x6DACD85F	The FREE Extender Pack is now available for download on Xbox LIVE Marketplace!
0	6ECC5E67	0x6ECC5E67	GRATIS - 2007 SEAT Leon Cupra
0	71FD1C03	0x71FD1C03	Leipzig
0	71FD1C1B	0x71FD1C1B	Leipzig II
0	71FD1C1C	0x71FD1C1C	Tokyo Expressway
0	71FD1C1D	0x71FD1C1D	Tokyo Expressway II
0	7A83FDB7	0x7A83FDB7	Gaming på sitt beste
0	800472C1	0x800472C1	Nei takk
0	82E2BDAE	0x82E2BDAE	Booster-pakken du har lastet ned, er på feil språk for denne disken. Vil du laste ned riktig versjon?
0	83D6CADC	0x83D6CADC	Extender Pack
0	85C882DE	0x85C882DE	Gratis
0	88D1ECEE	0x88D1ECEE	GRATIS Coca-Cola Zero Booster-pakke.
0	88E17FE9	0x88E17FE9	Last ned dette GRATIS innholdet fra Xbox LIVE markedsplassen nå,^og få nye baner, nye biler og flere løp i karrieremodus og på løpsdager!
0	91F522D5	0x91F522D5	Se etter de utdvidede karriere- og^løpsdagsskjermene, pluss de nye GRATIS bilene!
0	930C8172	0x930C8172	Takk for at du lastet ned
0	A76603FD	0xA76603FD	med den GRATIS Coca-Cola Zero Booster-pakken.
0	BCFBDE9A	0xBCFBDE9A	Booster-pakken for Need for Speed™ ProStreet kan ikke lastes ned for øyeblikket.
0	C174E20F	0xC174E20F	Need for Speed™ ProStreet må startes på nytt før det nye innholdet er tilgjengelig. Det blir et kort opphold uten aktivitet før tittelen starter på nytt. Klikk OK for å begynne.
0	E4AF851F	0xE4AF851F	GRATIS - Japans Tokyo Expressway
0	E5E32468	0xE5E32468	Gå inn på NeedforSpeed.com for oppdateringer og felleskonkurranser
0	E62B2319	0xE62B2319	GRATIS - 1969 Plymouth® Road Runner
0	EE5865C5	0xEE5865C5	I tillegg 14 nye biler, blant annet Bugatti Veyron 16.4 og Porsche 911 GT3! Besøk NeedforSpeed.com for mer informasjon!
0	F39D0787	0xF39D0787	Last ned gratis nå!
0	F5663CFA	0xF5663CFA	Hent denne GRATIS nedlastingen nå, og få nye baner, nye biler og lengre løp i karrieremodus og på løpsdager!
0	FEEF54A9	0xFEEF54A9	Besøk NeedforSpeed.com for nyheter og annen informasjon!
