#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Norwegian_InGame.bin
#	File created on: 2025-05-24 11:16:53
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUB_REPAIR_EXITHUB	Avslutt løpsdag
0	AUTO	HUD_BURNOUT_INCREDIBLE	Utrolig burnout!
0	AUTO	HUD_DRIFT_DOMINATING	Dominerer!
0	AUTO	HUD_DRIFT_KEEP_MOVING	KOM IGJEN!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	DRIFT SLUTT
0	AUTO	HUD_LOST_TRACTION	MISTET TREKKRAFT
0	AUTO	HUB_REPAIR_SCREEN_STATUS_REPAIRED	REPARERT
0	AUTO	FE_POSTRACE_CLASS_B_HEADER	GRUPPE B
0	AUTO	HUD_MATCHUP	Matchet opp mot
0	AUTO	HUD_ENGINE_BLOWN	MOTORHAVARI!
0	AUTO	HUB_SCREEN_CAR_REPAIR_USE_MARKER	Reparer med et merke
0	AUTO	FE_POSTRACE_TOTAL_SPEED	TOTAL FART
0	AUTO	HUB_SPLITSCREEN_EVENT_NOCARS_BOTH	Ingen av spillerne har biler som kan være med i dette løpet.
0	AUTO	HUB_MARKERSELECT_BONUS	BONUS
0	AUTO	FE_POSTRACE_TABLE_HEADER_BEST_WHEELIE	BESTE WHEELIE
0	AUTO	HUB_MARKERSELECT_PARTS	DELER
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	PERFEKT INNGANG!
0	AUTO	HUD_DRIFT_FOLLOWER	Du følger etter
0	AUTO	HUD_DAMAGE_HEAVY	STOR SKADE!
0	AUTO	HUD_DAMAGE_LIGHT	LETT SKADE
0	AUTO	HUB_SPLITSCREEN_EVENT_PLAYED	Du har allerede spilt dette løpet.
0	AUTO	HUD_DRIFT_POINTS_EARNED	POENG TJENT
0	AUTO	ON_HIDE_SETTINGS	Skjul innstillinger
0	AUTO	HUD_TOTALLED	TOTALVRAKET!
0	AUTO	DRAG_RESULTS_DISPLAY_FORMAT	{0:s} - {1:s}
0	AUTO	HUB_MARKERSELECT_WONCONGRATS	Gratulerer!^Du har vunnet løpsdagen!^Velg en premie.
0	AUTO	FE_POSTRACE_ZERO_TO_HUNDRED	TID 0 TIL 100
0	AUTO	HUB_SHADOW_LOCAL	LOKAL SKYGGE
0	AUTO	HUD_DRAG_TIME	DRAG-TID
0	AUTO	FE_POSTRACE_WHEELIE_BONUS	LENGDEBONUS FOR WHEELIE
0	AUTO	HUB_ONLINE_LEADER	LEDER
0	AUTO	HUB_MARKERSELECT_CONGRATS_PART_2	Gratulerer!^Du har vunnet {1:s} - NIVÅ {0:d} for {2:s}.
0	AUTO	FE_POSTRACE_BEST_WHEELIE	Beste wheelie:
