#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Polish_Frontend.bin
#	File created on: 2025-05-24 11:17:16
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	FE_STATS_TOTAL_REPAIR_COST	ŁĄCZNE KOSZTY NAPRAW
0	AUTO	MODE_ALL	Wszystkie samochody
0	AUTO	CUST_VINYL_MOVE_LAYER	WARSTWA W GÓRĘ/W DÓŁ
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	CUST_SLOT_ENGINE_BLOCK	BLOK SILNIKA
0	AUTO	CAR_SELECT_MUSTANGGT	Czwarta generacja Mustangów z 8-zaworowym silnikiem o pojemności 4,6 l i klasycznymi parametrami - właśnie to przywołuje w myślach każdy miłośnik samochodów, gdy słyszy termin pony car.
0	AUTO	CUST_CAT_SPEED_INTERNALS	To ulepszenie oznacza zastąpienie wewnętrznych elementów silnika mocniejszymi i wytrzymalszymi częściami, co pozwala na uzyskanie wyższej mocy i większej wytrzymałości silnika na wysokie obroty.
0	AUTO	CUST_VISUAL_DECALS	EMBLEMATY
0	AUTO	CUST_CUSTOMIZE	Dostosuj wzór
0	AUTO	CODE_ENTRY_VALID	Gratulacje! Twój kod został zaakceptowany i nagroda jest odblokowana.
0	AUTO	CUST_SLOT_BRAKE_CALIPERS	ZACISKI
0	AUTO	FE_MARKERMAN_EXIT_CONFIRM	W koszyku posiadasz kupony, które nie zostały jeszcze nabyte. Czy mimo to wyjść?
0	AUTO	CUST_SLOT_ANTI_ROLL_BARS	STABILIZATORY POPRZECZNE
0	AUTO	CUST_QUICK_HANDLING_D3	W skład tej modyfikacji wchodzą części pozwalające uzyskać sztywniejsze zawieszenie i pełną przyczepność podczas jazdy w linii prostej.
0	AUTO	CUST_QUICK_HANDLING_G3	W skład tej modyfikacji wchodzą części pozwalające uzyskać sztywniejsze zawieszenie i pełną przyczepność podczas jazdy w linii prostej i na zakrętach.
0	AUTO	CUST_QUICK_HANDLING_S3	W skład tej modyfikacji wchodzą części pozwalające uzyskać sztywniejsze zawieszenie i pełną przyczepność podczas jazdy z maksymalną prędkością, zarówno po linii prostej, jak i na zakrętach.
0	AUTO	CUST_REGION_REAR_TIRE	TYLNA OPONA
0	AUTO	FE_STATS_BEST_SECTOR	NAJLEPSZY SEKTOR
0	AUTO	CL_FREE_CAR_MARKER	KUPON NA DARMOWY SAMOCHÓD
0	AUTO	RACEDAY_DEFINE_RACE_EVENTS_TITLE	ZDEFINIUJ ZAWODY
0	AUTO	CUST_QUICK_BRAKE_DI3	Ta modyfikacja pozwala osiągnąć najlepszy czas zatrzymania oraz brak utraty przyczepności opon podczas zmniejszania szybkości.
0	AUTO	CUST_BP_APPLY_CONFIRM	Koszt zakupu wszystkich części potrzebnych do zastosowanie tego wzoru przy Twoim samochodzie wynosi {0:d}. Czy chcesz kontynuować?
0	AUTO	CUST_SLOT_BUSHING_KIT	ZŁĄCZKI
0	AUTO	FE_STATS_GAMES_PLAYED	ROZEGRANE GRY
0	AUTO	FE_CAR_SELECT_FILTER__BONUS_CARS	DODATKOWE SAMOCHODY
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	CUST_VINYL_LAYER_HEADER	WARSTWA {0:d}
0	AUTO	CUST_PACKAGE_INFORMATION	DANE PAKIETU
0	AUTO	CUST_SLOT_NITROUS_DESC	Podtlenek azotu jest łatwopalnym gazem, który może zostać wpompowany do cylindra przed fazą zapłonu, celem uzyskanie ogromnego przyrostu mocy.
