#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Polish_Global_DLC.bin
#	File created on: 2025-05-24 11:17:30
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - DLC
0	1A821601	0x1A821601	Super klub
0	1A821602	0x1A821602	Szybka pętla
0	1A821603	0x1A821603	Trasa 1 - Pierwsza połowa
0	1A821604	0x1A821604	Trasa 2 - Druga połowa
0	1A821605	0x1A821605	Trasa 3 - Całość
0	1A82161D	0x1A82161D	Tokyo Bay Bridge
0	1BB8601F	0x1BB8601F	Aby dołączyć do tej rozgrywki potrzebujesz nowszej wersji Need for Speed™ ProStreet. Dla lepszych rezultatów wszyscy gracze powinni pobrać najnowszą aktualizację.  Więcej informacji znajdziesz na stronie NeedforSpeed.com.
0	35E21908	0x35E21908	DARMOWY pakiet rozszerzający Energizer Lithium jest już dostępny do pobrania na rynku usług Xbox LIVE!
0	3EC4AB81	0x3EC4AB81	Miłej zabawy!
0	420DCA3B	0x420DCA3B	LEIPZIG
0	420DCA53	0x420DCA53	LEIPZIG II
0	420DCA54	0x420DCA54	TOKYO EXPRESSWAY
0	420DCA55	0x420DCA55	TOKYO EXPRESSWAY II
0	42781C20	0x42781C20	- dostępne do pobrania z rynku usług Xbox LIVE
0	525DCCC5	0x525DCCC5	Pakiet rozszerzeń Energizer Lithium
0	5959EB4C	0x5959EB4C	Gracz, któremu próbujesz udostępnić dane, nie pobrał jeszcze ostatniej aktualizacji.  Musi zaktualizować swoją wersję gry Need for Speed, zanim będzie można udostępnić ten dzień wyścigów.
0	59C9AC1C	0x59C9AC1C	pakiet dodatkowy Coca-Cola Zero.
0	61098C88	0x61098C88	Gracz, któremu próbujesz udostępnić dane, nie pobrał jeszcze ostatniej aktualizacji.  Musi zaktualizować swoją wersję gry Need for Speed, zanim będzie można udostępnić ten wzór.
0	6692EC80	0x6692EC80	Plik, który chcesz pobrać, nie może zostać wczytany, ponieważ pakiet z zawartością nie jest dostępny.
0	671480B8	0x671480B8	GRATIS - Tor testowy Porsche w Lipsku
0	6DACD85F	0x6DACD85F	The FREE Extender Pack is now available for download on Xbox LIVE Marketplace!
0	6ECC5E67	0x6ECC5E67	GRATIS - 2007 SEAT Leon Cupra
0	71FD1C03	0x71FD1C03	Leipzig
0	71FD1C1B	0x71FD1C1B	Leipzig II
0	71FD1C1C	0x71FD1C1C	Tokyo Expressway
0	71FD1C1D	0x71FD1C1D	Tokyo Expressway II
0	7A83FDB7	0x7A83FDB7	TAK POWINNA WYGLĄDAĆ ROZ(G)RYWKA:
0	800472C1	0x800472C1	Nie, dziękuję
0	82E2BDAE	0x82E2BDAE	Pobrany pakiet dodatkowy jest w innym języku niż gra. Czy chcesz pobrać prawidłową wersję?
0	83D6CADC	0x83D6CADC	Extender Pack
0	85C882DE	0x85C882DE	Gratis
0	88D1ECEE	0x88D1ECEE	Bezpłatny pakiet dodatkowy Coca-Cola Zero.
0	88E17FE9	0x88E17FE9	Pobierz ten DARMOWY pakiet na rynku usług Xbox LIVE, aby otrzymać nowe trasy, samochody, rozszerzony tryb kariery, a także zawody w dniu wyścigów!
0	91F522D5	0x91F522D5	Poszukaj rozszerzonego drzewka kariery oraz ekranów dni wyścigów, jak również DARMOWYCH samochodów na parkingu.
0	930C8172	0x930C8172	Dziękujemy za pobranie tego pakietu:
0	A76603FD	0xA76603FD	bezpłatny pakiet dodatkowy Coca-Cola Zero.
0	BCFBDE9A	0xBCFBDE9A	Pakiet dodatkowy do gry Need for Speed™ ProStreet nie jest w tej chwili dostępny do pobrania.
0	C174E20F	0xC174E20F	Przed udostępnieniem nowych treści gra Need for Speed™ ProStreet musi zostać ponownie uruchomiona. Zanim to nastąpi, będzie miał miejsce krótki okres braku aktywności. Kliknij OK, aby zrobić to teraz.
0	E4AF851F	0xE4AF851F	GRATIS - Tor Tokio Expressway w Japonii
0	E5E32468	0xE5E32468	Odwiedź NeedforSpeed.com, by uzyskać nowe informacje i wziąć udział w imprezach społecznościowych.
0	E62B2319	0xE62B2319	GRATIS - 1969 Plymouth® Road Runner
0	EE5865C5	0xEE5865C5	Dodatkowo 14 nowych samochodów, takich jak Bugatti Veyron 16.4 oraz Porsche 911 GT3! Więcej informacji na witrynie NeedforSpeed.com
0	F39D0787	0xF39D0787	Pobierz już teraz bezpłatnie!
0	F5663CFA	0xF5663CFA	Pobierz ten DARMOWY pakiet, aby otrzymać nowe trasy, samochody, rozszerzony tryb kariery oraz zawody w dniu wyścigów!
0	FEEF54A9	0xFEEF54A9	Odwiedź witrynę NeedforSpeed.com, aby uzyskać dodatkowe informacje i wziąć udział w imprezach społecznościowych.
