#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Polish_InGame.bin
#	File created on: 2025-05-24 11:17:35
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUB_REPAIR_EXITHUB	Wyjdź z dnia wyścigów
0	AUTO	HUD_BURNOUT_INCREDIBLE	Nieprawdopodobne palenie gumy!
0	AUTO	HUD_DRIFT_DOMINATING	Dominacja!
0	AUTO	HUD_DRIFT_KEEP_MOVING	JEDŹ DALEJ!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	KONIEC DRIFTU
0	AUTO	HUD_LOST_TRACTION	UTRATA PRZYCZEPNOŚCI
0	AUTO	HUB_REPAIR_SCREEN_STATUS_REPAIRED	NAPRAWIONY
0	AUTO	FE_POSTRACE_CLASS_B_HEADER	GRUPA B
0	AUTO	HUD_MATCHUP	Przeciwko
0	AUTO	HUD_ENGINE_BLOWN	EKSPLOZJA SILNIKA!
0	AUTO	HUB_SCREEN_CAR_REPAIR_USE_MARKER	Napraw za pomocą kuponu
0	AUTO	FE_POSTRACE_TOTAL_SPEED	CAŁKOWITA SZYBKOŚĆ
0	AUTO	HUB_SPLITSCREEN_EVENT_NOCARS_BOTH	Żaden z graczy nie ma samochodów, którymi można się ścigać w tych zawodach.
0	AUTO	HUB_MARKERSELECT_BONUS	PREMIA
0	AUTO	FE_POSTRACE_TABLE_HEADER_BEST_WHEELIE	NAJLEPSZY WYNIK
0	AUTO	HUB_MARKERSELECT_PARTS	CZĘŚCI
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	DOSKONAŁE WEJŚCIE!
0	AUTO	HUD_DRIFT_FOLLOWER	Jesteś ścigającym
0	AUTO	HUD_DAMAGE_HEAVY	POWAŻNE USZKODZENIA!
0	AUTO	HUD_DAMAGE_LIGHT	LEKKIE USZKODZENIA
0	AUTO	HUB_SPLITSCREEN_EVENT_PLAYED	Te rozgrywki masz już za sobą.
0	AUTO	HUD_DRIFT_POINTS_EARNED	PKT.
0	AUTO	ON_HIDE_SETTINGS	Ukryj ustawienia
0	AUTO	HUD_TOTALLED	WÓZ ZNISZCZONY!
0	AUTO	DRAG_RESULTS_DISPLAY_FORMAT	{0:s} ({1:s})
0	AUTO	HUB_MARKERSELECT_WONCONGRATS	Gratulacje, wygrywasz zmagania w tym dniu wyścigów! Wybierz nagrodę.
0	AUTO	FE_POSTRACE_ZERO_TO_HUNDRED	CZAS OD 0 DO 100
0	AUTO	HUB_SHADOW_LOCAL	MÓJ LOKALNY CIEŃ
0	AUTO	HUD_DRAG_TIME	CZAS WYŚCIGU DRAG
0	AUTO	FE_POSTRACE_WHEELIE_BONUS	PREMIA ZA DŁUGOŚĆ JAZDY NA DWÓCH KOŁACH
0	AUTO	HUB_ONLINE_LEADER	LIDER
0	AUTO	HUB_MARKERSELECT_CONGRATS_PART_2	Gratulacje udało Ci się wygrać część na POZIOMIE {0:d}: {1:s} dla Twojego {2:s}. ^
0	AUTO	FE_POSTRACE_BEST_WHEELIE	Najlepszy wynik
0	AUTO	FE_HUB_DIALOG_DAMAGED_CAR_FOR_EVENT_CONFIRM	Próbujesz wziąć udział w wyścigu, korzystając z uszkodzonego samochodu. Czy na pewno chcesz kontynuować?
0	AUTO	HUD_DRAG_EIGHTH_MILE	Czas na 1/8 mili
0	AUTO	FE_POSTRACE_CLASS_A_HEADER	GRUPA A
