#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\ProStreet\New folder\Mexican_Frontend.bin
#	File created on: 2025-06-15 22:07:17
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	001C0235	0x001C0235	CUSTO TOTAL DO REPARO
0	003DF25C	0x003DF25C	Todos os Carros
0	0067AE61	0x0067AE61	Alterar a camada
0	03692BEF	0x03692BEF	CAA:89
0	03C5B05E	0x03C5B05E	BLOCO DO MOTOR
0	04EE230D	0x04EE230D	Com um V8 de 4,6L esse Mustang da 4° Gen. é o que o mundo pensa sobre Carro Pônei.
0	0505C814	0x0505C814	Essa melhoria troca os componentes internos do seu motor atual por componentes melhores, permitindo o seu motor gerar mais força e aguentar uma RPM maior.  ^
0	0652B7FC	0x0652B7FC	DECALQUES
0	0795BF00	0x0795BF00	Alterar o Projeto
0	080922BA	0x080922BA	Congratulations!  Your code has been accepted and your reward has been unlocked.
0	08654D15	0x08654D15	TRAVAS
0	08E23BAD	0x08E23BAD	Você näo confirmou suas compras, deseja mesmo sair?
0	091D6509	0x091D6509	BARRAS ANTI-ROLAGEM
0	0A17AE74	0x0A17AE74	This upgrade combines stiffer suspension parts to keep the car fully planted in a straight line. ^
0	0A17AED7	0x0A17AED7	This upgrade combines stiffer suspension parts to keep the car fully planted in turns and on the straights. ^
0	0A17B063	0x0A17B063	This upgrade combines stiffer suspension parts to keep the car fully planted at high speeds in turns and on the straights.^
0	0A6F9EBD	0x0A6F9EBD	PNEU TRASEIRO
0	0B59FA34	0x0B59FA34	MELHOR SETOR
0	0BC33EA5	0x0BC33EA5	CARRO GRATUITO
0	0BD65FF1	0x0BD65FF1	DEFINA OS EVENTOS
0	0CA6E01D	0x0CA6E01D	This upgrade makes sure that maximum stopping time is attained but allows and even encourages the tires to brake traction under deceleration.^
0	0CF07D21	0x0CF07D21	It costs {0:d} to purchase all the parts required in order to apply this Blueprint to your car. Do you wish to proceed?
0	0D369CD5	0x0D369CD5	BUSHING KIT
0	0D4370A2	0x0D4370A2	JOGOS JOGADOS
0	0D5030B0	0x0D5030B0	CARROS EXTRAS
0	0D8032A7	0x0D8032A7	MAGYAR
0	0F49B873	0x0F49B873	CAMADA {0:d}
0	105ABFEE	0x105ABFEE	INFO. DO PACOTE
0	105DBAB0	0x105DBAB0	Nitrous, a highly combustible gas, can be injected into the cylinder during combustion to vastly increase temporary power output.^
0	10A47F46	0x10A47F46	This upgrade reprograms the engine computer to maximize performance.^
0	10A47F47	0x10A47F47	This upgrade reprograms the engine computer to maximize performance.^
0	10BCE2EE	0x10BCE2EE	EVENTO ALTA VELOCIDADE
0	11182061	0x11182061	By porting the valves on your cylinder head, you can increase the flow of air into the engine and exhaust gases out of the engine. This will result in higher horsepower.^
0	11A35074	0x11A35074	ADC. NOVA CAMADA
0	11B57997	0x11B57997	A low-lag, quick-spooling turbo will give you a useable power curve and an unparalleled advantage on the track or on the street.^
0	11BE9D49	0x11BE9D49	HIGHEST MULTIPLIER
0	11EE51F3	0x11EE51F3	MODO^CIRCUITO
0	12F5E32E	0x12F5E32E	Próximo passo é definir os evetos para o seu Track Day.
0	158666C1	0x158666C1	NÚMERO DE CORRIDAS
0	166FAB04	0x166FAB04	Essa atualizaçäo melhora os componentes que mandar toda a potência para as suas rodas, incluindo transmissäo, deferencial e eixos.^
0	167DAB3D	0x167DAB3D	NÚMERO DE JOGOS DA CARREIRA
0	16F64E40	0x16F64E40	ADICIONAR EVENTO
0	17FFD9BC	0x17FFD9BC	This Blueprint is incompatible with your version of Need for Speed" ProStreet and can not be applied.  Visit NeedforSpeed.com for information on updates and new game content.
0	18326759	0x18326759	POLSKI
0	183FBFE0	0x183FBFE0	COR DA RODA
0	187C27B8	0x187C27B8	Colocar Como Projeto Ativo
0	1899B644	0x1899B644	DEUTSCH
0	18C4FDB0	0x18C4FDB0	GERENCIAMENTO DO MOTOR
0	1962B5BC	0x1962B5BC	GANHANDO A RECOMPENSA
0	1999EB46	0x1999EB46	PINTURA
0	19A298F3	0x19A298F3	AROS
0	19A3B1D7	0x19A3B1D7	INSULFILME
0	1A014D25	0x1A014D25	No error has occurred.
0	1A6A6197	0x1A6A6197	Quer mesmo deletar o seu Track Day?
0	1AB5CD57	0x1AB5CD57	SELEÇÄO DE LINGUAGEM
0	1ABA35DF	0x1ABA35DF	Bushings made from stiffer materials such as urethane or aluminum will allow your car to turn tighter with less body roll.^
0	1ABBA0A1	0x1ABBA0A1	MÉDIO
0	1AC26860	0x1AC26860	Parar um carro repetidamente aumenta o calor excessivo no sistema de freios e ameaça aumentar as distâncias de parada ao longo do tempo. Um sistema de travagem maior ajuda a manter a temperatura baixa e a travagem consistente.^
0	1B75FC85	0x1B75FC85	MAIOR MÁXIMA
0	1B77D8C7	0x1B77D8C7	Select purchase method
0	1BBEA9F8	0x1BBEA9F8	Quanto mais ar frio um motor recebe, melhor seu desempenho. Além disso, quanto mais frio o ar estiver, mais potência o motor produzirá.^
0	1BE250C0	0x1BE250C0	ESPAÑOL
0	1CCC7F63	0x1CCC7F63	With an emphasis on oversteer, the big, rear anti-sway bar, aluminum bushings and removal of the front sway bar will make it a lot easier to turn your car sideways.
0	1CE83DE3	0x1CE83DE3	Deseja sair da tela de Seleçäo de Carro e retornar ao Mapa de Carreira?
0	1D4371AE	0x1D4371AE	Salvando o Track Day...
0	1D504294	0x1D504294	TUNER MAIS ELOGIADO
0	1DC0F8A1	0x1DC0F8A1	A escolha do Modo de corrida determinará em quais eventos este carro poderá competir.
0	1E875149	0x1E875149	Você deve colocar partes ''editaveis'' como Body Kits e Aerofólios pra ter acesso ao tunel de vento.
0	1EC17D62	0x1EC17D62	The higher capactiy the air intake, the more air your engine will receive at a time. With a high-flow, smooth intake, the engine will be able to attain much more of it's peak power potential.^
0	1EDD16E4	0x1EDD16E4	MELHOR RADAR TOTAL
0	1F4CE54E	0x1F4CE54E	SISTEMA DE COMBÚSTIVEL
0	1F89B247	0x1F89B247	
0	1FC4E4C4	0x1FC4E4C4	With a turbo 2.3L motor pushing 260+hp, a LSD, and a 6-speed tranny, the Speed 3 is a modern hot hatch.
