#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\ProStreet\New folder\Mexican_Global.bin
#	File created on: 2025-06-15 22:07:23
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	00000648	0x00000648	O.Z.
0	00009117	0x00009117	ACT
0	00009136	0x00009136	ADR
0	00009152	0x00009152	AEM
0	00009178	0x00009178	AFR
0	000092B5	0x000092B5	APE
0	000092C2	0x000092C2	APR
0	00009536	0x00009536	BBS
0	000098ED	0x000098ED	B&M
0	00009E11	0x00009E11	DEI
0	0000AFE5	0x0000AFE5	HKS
0	0000B0BE	0x0000B0BE	HRE
0	0000BE65	0x0000BE65	KYB
0	0000BF37	0x0000BF37	K&N
0	0000C569	0x0000C569	MMP
0	0000C623	0x0000C623	MSD
0	0000C9EF	0x0000C9EF	NOS
0	0000E1DF	0x0000E1DF	TCI
0	0000E3FD	0x0000E3FD	TSW
0	0000E4AF	0x0000E4AF	TYC
0	0000FBB6	0x0000FBB6	ZEX
0	000BCB9F	0x000BCB9F	Activate Crew Member
0	0012E9AD	0x0012E9AD	APEX
0	00133639	0x00133639	BAER
0	0017EE06	0x0017EE06	'03 Mustang GT
0	00186250	0x00186250	KONI
0	00197AF7	0x00197AF7	MOMO
0	001D3689	0x001D3689	TIAL
0	001D5067	0x001D5067	TODA
0	001D532A	0x001D532A	TOYO
0	001E6A3B	0x001E6A3B	VOLK
0	001EF762	0x001EF762	WORK
0	00421A31	0x00421A31	INTRAX
0	004236A1	0x004236A1	240SX (S13)
0	00492979	0x00492979	MELHOR RADAR
0	004C23AC	0x004C23AC	CORVETTE C6
0	007215D1	0x007215D1	Deseja mesmo atualizar este Projeto? ao fazer isso, quaisquer mudanças anteriores seräo perdidas.
0	00A97902	0x00A97902	RX-7
0	00A97903	0x00A97903	RX-8
0	00D70424	0x00D70424	Team Dynamics Monza R
0	00D70425	0x00D70425	Team Dynamics Savage
0	00D70426	0x00D70426	Team Dynamics Equinox
0	00D841BA	0x00D841BA	TERMINOU EM DÉCIMO PRIMEIRO!
0	01566439	0x01566439	TIPO DE EVENTO
0	015CC35E	0x015CC35E	CORVETTE
0	015DAC4A	0x015DAC4A	PRIMEIRA DICA DE CIRCUITO
0	01A45F0A	0x01A45F0A	M3 E46
0	01ABC92C	0x01ABC92C	M3 E92
0	01FB6DBD	0x01FB6DBD	EMPINANDO
0	02076F0F	0x02076F0F	240SX
0	023C77FE	0x023C77FE	GRAPHIC 80
0	023C7800	0x023C7800	GRAPHIC 81
0	023C7801	0x023C7801	GRAPHIC 82
0	023C7802	0x023C7802	GRAPHIC 83
0	023C7804	0x023C7804	GRAPHIC 84
0	023C7805	0x023C7805	GRAPHIC 85
0	023C7806	0x023C7806	GRAPHIC 86
0	023C781E	0x023C781E	GRAPHIC 87
0	023C781F	0x023C781F	GRAPHIC 88
0	023C7820	0x023C7820	GRAPHIC 89
0	024442D4	0x024442D4	ASSISTÊNCIAS
0	02701F96	0x02701F96	APEXI
0	0281E16F	0x0281E16F	BORLA
0	02835F45	0x02835F45	BRIDE
0	02B77FEB	0x02B77FEB	ENKEI
0	02CCDB9D	0x02CCDB9D	JSP AMERICA
0	02DF2D1A	0x02DF2D1A	GRAFFITI 13
0	02F40108	0x02F40108	CONCEPT OLSON
0	02FFDDB3	0x02FFDDB3	INJEN
0	0312567F	0x0312567F	ZEX
0	03125680	0x03125680	Holley
0	03125681	0x03125681	Cold Fusion Nitrous
0	03125682	0x03125682	ZEX
0	03125683	0x03125683	Holley
0	03125684	0x03125684	Cold Fusion Nitrous
0	03125685	0x03125685	ZEX
0	03125686	0x03125686	Holley
0	03125687	0x03125687	Cold Fusion Nitrous
0	03125688	0x03125688	ZEX
0	031256A0	0x031256A0	Holley
0	031256A1	0x031256A1	Cold Fusion Nitrous
0	031CCE39	0x031CCE39	NSX
0	031CDF3D	0x031CDF3D	RSX
0	0324AC97	0x0324AC97	KÖNIG
0	0327F283	0x0327F283	KUMHO
0	032DCBB5	0x032DCBB5	PACK AERO
0	032DCBB6	0x032DCBB6	PACK AERO
0	032DCBB7	0x032DCBB7	PACK AERO
0	03334328	0x03334328	SE APRESSE!
0	033DDF25	0x033DDF25	VOLTA MAIS RÁPIDA
0	0357D9BD	0x0357D9BD	CLUTCHMASTERS
0	036CD400	0x036CD400	Elise
0	03910E7F	0x03910E7F	Deseja criar um novo perfil? Caso näo crie nenhum perfil, você poderá perder seu progresso futuro.
0	0391AC8E	0x0391AC8E	Garrafa de 10lb
0	0391AC8F	0x0391AC8F	Garrafa de 10lb
0	0391AC90	0x0391AC90	Garrafa de 10lb
0	0391AC91	0x0391AC91	Garrafa de 15lb
0	0391AC92	0x0391AC92	Garrafa de 15lb
0	0391AC93	0x0391AC93	Garrafa de 15lb
0	0391AC94	0x0391AC94	Garrafa de 20lb
0	0391AC95	0x0391AC95	Garrafa de 20lb
0	0391AC96	0x0391AC96	Garrafa de 20lb
0	0391AC97	0x0391AC97	Garrafa de 25lb
0	0391ACAF	0x0391ACAF	Garrafa de 25lb
0	0391ACB0	0x0391ACB0	Garrafa de 25lb
0	03A3A08A	0x03A3A08A	RO_JA
0	03D243E0	0x03D243E0	911 GT3 RS
0	03D6B8BC	0x03D6B8BC	Turbocompressor Turbonetics
0	03D6B8BD	0x03D6B8BD	Turbocompressor Rev Hard
0	03D6B8BE	0x03D6B8BE	Compressor Jackson Racing
0	03D6B8BF	0x03D6B8BF	Turbocompressor Turbonetics
0	03D6B8C0	0x03D6B8C0	Turbocompressor Rev Hard
0	03D6B8C1	0x03D6B8C1	Compressor Jackson Racing
0	03D6B8C2	0x03D6B8C2	Turbocompressor Turbonetics
0	03D6B8C3	0x03D6B8C3	Turbocompressor Rev Hard
0	03D6B8C4	0x03D6B8C4	Compressor Jackson Racing
0	03D6B8C5	0x03D6B8C5	Turbocompressor Turbonetics
0	03D6B8DD	0x03D6B8DD	Turbocompressor Rev Hard
0	03D6B8DE	0x03D6B8DE	Compressor Jackson Racing
0	03D6B8DF	0x03D6B8DF	Turbocompressor Tial
0	03D6B8E0	0x03D6B8E0	Compressor de Parafuso Weiland
0	03D6B8E1	0x03D6B8E1	Compressor Eaton Roots
0	03D6B8E2	0x03D6B8E2	Turbocompressor Tial
0	03D6B8E3	0x03D6B8E3	Compressor de Parafuso Weiland
0	03D6B8E4	0x03D6B8E4	Compressor Eaton Roots
0	03D6B8E5	0x03D6B8E5	Turbocompressor Tial
0	03D6B8E6	0x03D6B8E6	Compressor de Parafuso Weiland
0	03D6B91F	0x03D6B91F	Compressor Eaton Roots
0	03D6B920	0x03D6B920	Turbocompressor Tial
0	03D6B921	0x03D6B921	Compressor de Parafuso Weiland
0	03D6B922	0x03D6B922	Compressor Eaton Roots
0	03E63F24	0x03E63F24	VENOM
0	03F18E66	0x03F18E66	DICAS DE ARRANCADA
0	03FB4741	0x03FB4741	KAIZER
0	041DA334	0x041DA334	NEUSPEED
0	042170E5	0x042170E5	IForged Aero
0	042170E6	0x042170E6	IForged Evolution
0	042170E7	0x042170E7	IForged Marquis
0	042170E8	0x042170E8	IForged Emotion
0	042170E9	0x042170E9	IForged Equip
0	04278AA7	0x04278AA7	Veyron
0	0440FEA5	0x0440FEA5	GRAPHIC 37
0	046F3819	0x046F3819	Supra
0	049D3C57	0x049D3C57	RADARES GANHOS
0	049EEB74	0x049EEB74	Viper
0	04A72660	0x04A72660	CARRO FAVORITO
0	04AD02A9	0x04AD02A9	CASTROL SYNTEC
0	04C4812F	0x04C4812F	SOZINHO
0	04CE5379	0x04CE5379	MOTOR
0	04D5F9E0	0x04D5F9E0	Deletar
0	04E0EA23	0x04E0EA23	0-100-0 MPH
0	05134473	0x05134473	Drift se baseia em Ângulos e Velocidade, quanto maior o Ângulo e a Velocidade, maior a sua pontuaçäo!
0	05134474	0x05134474	É possivel adiquirir pontos extras fazendo açöes específicas, como: manter longo Drift, atingir 130 km/h durante um Drift, ou näo saindo pra fora da Pista.
0	053F3925	0x053F3925	Okay! Vamos nessa --- todos estäo na largada, que comece a festa! Vamo lá!
0	054DD8D2	0x054DD8D2	{0:s} te passou na {1:s}.
0	05501CA0	0x05501CA0	
0	058408B3	0x058408B3	CHARACTER 3
0	059E1703	0x059E1703	{0:f.2} Cd
0	05DD10D6	0x05DD10D6	COR DO VINIL
0	05E873AD	0x05E873AD	GENTERA STYLE 204
0	05E873AE	0x05E873AE	GENTERA STYLE 113
0	05E873AF	0x05E873AF	GENTERA STYLE 302
0	05E873B0	0x05E873B0	GENTERA STYLE 304
0	05E873B1	0x05E873B1	GENTERA STYLE 112
0	05E873B2	0x05E873B2	GENTERA STYLE 205
0	05E873B3	0x05E873B3	GENTERA STYLE 305
0	05E873B4	0x05E873B4	GENTERA STYLE 114
0	05E873B5	0x05E873B5	GENTERA STYLE 109
0	0601273F	0x0601273F	Mustang GT
0	06384402	0x06384402	The method to initiating a clutch pop drift is very similar to an E-Brake drift.
0	063EF6EA	0x063EF6EA	HEDMAN HEDDERS
0	06560EF9	0x06560EF9	S2000
0	06753690	0x06753690	Escort
0	0686350F	0x0686350F	CHARGER R/T
0	06CF4395	0x06CF4395	Girar a Câmera
0	06D55A17	0x06D55A17	FLAG 12
0	06FA8387	0x06FA8387	A melhor forma de ter bons tempos em um circuito, é freiando.
0	0701A8E2	0x0701A8E2	Junkie XL feat. Lauren Rocket
0	07039A8B	0x07039A8B	RANQUEADO
0	0775093C	0x0775093C	Total Magique
0	077DAE2B	0x077DAE2B	GAIOLA
0	07BCAF68	0x07BCAF68	LUNATI
0	07BD89BC	0x07BD89BC	Carros de Drift
0	07FDFB61	0x07FDFB61	Carros de Arrancada
0	07FFA195	0x07FFA195	Carros de Circuito
0	081EE202	0x081EE202	INDUÇÄO FORÇADA
0	08462F2D	0x08462F2D	A prova de admissäo internacional para pilotos de rua.
0	08462F2E	0x08462F2E	Corra contra os melghores do mundo.
0	08462F2F	0x08462F2F	Comandados pelos Reis - um para cada modo de corrida.
0	08462F30	0x08462F30	E o Rei do Showdown é o mestre de todos os modos.
0	0847EC71	0x0847EC71	REI DO DRIFT
0	084A1A74	0x084A1A74	{0:f.0} lbs
0	08523836	0x08523836	Contra-Relógio
0	085847AE	0x085847AE	Explicaçäo dos Modos.
0	085847AF	0x085847AF	Quatro tipos de corrida: Arrancada, Drift, Circuito e Alta Velocidade.
0	085847B0	0x085847B0	É necessário um carro pra cada modo.
0	085847B1	0x085847B1	Ajuste e customize cada um para progredir.
0	086A602F	0x086A602F	Domine e avance nos Track Days para desblloquear os Showdowns.
0	086A6030	0x086A6030	Vença os Showdowns para desbloquear mais Track Day e chegar nos Reis.
0	086A6031	0x086A6031	Derrote todos os Reis dominando seus modos.
0	086A6032	0x086A6032	E enfim, derrote Ryo Watanabe, e se torne o novo Rei.
0	087A9039	0x087A9039	AKI KIMURA
0	087A9185	0x087A9185	KAROL MONROE
0	087A91DF	0x087A91DF	NATE DENVER
0	087A926A	0x087A926A	RAY KRIEGER
0	087A9276	0x087A9276	RYO WATANABE
0	089D37A7	0x089D37A7	CONCEPT OLSON
0	089D37A8	0x089D37A8	CONCEPT OLSON (CF)
0	089D37A9	0x089D37A9	APE
0	089D37AA	0x089D37AA	APE (CF)
0	089D37AB	0x089D37AB	HAYES TUNING
0	089D37AC	0x089D37AC	HAYES TUNING (CF)
0	089D37AD	0x089D37AD	ANNICCHIARICO AERO
0	089D37AE	0x089D37AE	ANNICCHIARICO AERO (CF)
0	089D37AF	0x089D37AF	BLACKMORE RACING
0	089D37B0	0x089D37B0	BLACKMORE RACING (CF)
0	08A9AC8C	0x08A9AC8C	GTO
0	08B579E2	0x08B579E2	Fidanza
0	08B579E3	0x08B579E3	Quaife
0	08B579E4	0x08B579E4	Raxles
0	08B579E5	0x08B579E5	Fidanza
0	08B579E6	0x08B579E6	Quaife
0	08B579E7	0x08B579E7	Raxles
0	08B579E8	0x08B579E8	Fidanza
0	08B579E9	0x08B579E9	Quaife
0	08B579EA	0x08B579EA	Raxles
0	08B579EB	0x08B579EB	Centerforce
0	08CB810D	0x08CB810D	Fight And Kiss
