#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Russian_Frontend.bin
#	File created on: 2025-05-24 11:17:43
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	FE_STATS_TOTAL_REPAIR_COST	ОБЩАЯ СТОИМОСТЬ РЕМОНТА
0	AUTO	MODE_ALL	Все машины
0	AUTO	CUST_VINYL_MOVE_LAYER	Сместить слой вверх/вниз
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	CUST_SLOT_ENGINE_BLOCK	БЛОК ЦИЛИНДРОВ
0	AUTO	CAR_SELECT_MUSTANGGT	Mustang 4 поколения. Оснащенный 4,6-литровым 8-цилиндровым V-образным двигателем, этот автомобиль является классическим "пони".
0	AUTO	CUST_CAT_SPEED_INTERNALS	Это усовершенствование заключается в замене механических частей двигателя на более прочные и надежные, что позволяет повысить предельные обороты.
0	AUTO	CUST_VISUAL_DECALS	НАКЛЕЙКИ
0	AUTO	CUST_CUSTOMIZE	Выбор
0	AUTO	CODE_ENTRY_VALID	Поздравляем! Ваш код принят. Вы получили награду.
0	AUTO	CUST_SLOT_BRAKE_CALIPERS	ТОМОЗНЫЕ СУППОРТЫ
0	AUTO	FE_MARKERMAN_EXIT_CONFIRM	В корзине покупок есть неоплаченные жетоны. Продолжить?
0	AUTO	CUST_SLOT_ANTI_ROLL_BARS	СТАБ. ПОПЕРЕЧНОЙ УСТОЙЧИВОСТИ
0	AUTO	CUST_QUICK_HANDLING_D3	Благодаря этому усовершенствованию подвеска становится более жесткой, что повышает устойчивость машины на прямой.
0	AUTO	CUST_QUICK_HANDLING_G3	Благодаря этому усовершенствованию подвеска становится более жесткой, что повышает устойчивость машины на прямой и в поворотах.
0	AUTO	CUST_QUICK_HANDLING_S3	Благодаря этому усовершенствованию подвеска становится более жесткой, что повышает устойчивость машины на большой скорости как на прямых участках, так и в поворотах.
0	AUTO	CUST_REGION_REAR_TIRE	ЗАДНИЕ ШИНЫ
0	AUTO	FE_STATS_BEST_SECTOR	ЛУЧШИЙ УЧАСТОК
0	AUTO	CL_FREE_CAR_MARKER	ЖЕТОН АВТОМОБИЛЯ
0	AUTO	RACEDAY_DEFINE_RACE_EVENTS_TITLE	ВЫБОР ЗАЕЗДОВ
0	AUTO	CUST_QUICK_BRAKE_DI3	Благодаря этому усовершенствованию уменьшается время торможения, но повышается вероятность потери сцепления с трассой при снижении скорости.
0	AUTO	CUST_BP_APPLY_CONFIRM	Для применения этой конфигурации необходимо приобрести запчасти на сумму {0:d}. Продолжить?
0	AUTO	CUST_SLOT_BUSHING_KIT	САЙЛЕНТБЛОКИ
0	AUTO	FE_STATS_GAMES_PLAYED	ВСЕГО ИГР
0	AUTO	FE_CAR_SELECT_FILTER__BONUS_CARS	АВТОМОБИЛИ: ДОПОЛНИТЕЛЬНО
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	CUST_VINYL_LAYER_HEADER	СЛОЙ {0:d}
0	AUTO	CUST_PACKAGE_INFORMATION	ОПИСАНИЕ КОМПЛЕКТА
0	AUTO	CUST_SLOT_NITROUS_DESC	Впрыск закиси азота в цилиндры двигателя позволяет кратковременно повысить его мощность.
0	AUTO	CUST_QUICK_MANAGEMENT_1	Благодаря этому усовершенствованию блок управления двигателя перепрограммируется на максимальную эффективность.
0	AUTO	CUST_QUICK_MANAGEMENT_2	Благодаря этому усовершенствованию блок управления двигателя перепрограммируется на максимальную эффективность.
0	AUTO	CS_HEADER_SPEED_EVENT	СКОРОСТНЫЕ
0	AUTO	CUST_SLOT_HEADS_DESC	Увеличив диаметр клапанов головки блока цилиндров, вы увеличите приток воздуха в двигатель и скорость отвода выхлопных газов. Это приведет к повышению мощности.
0	AUTO	CUST_VINYL_ADDLAYER	ДОБАВИТЬ СЛОЙ
0	AUTO	CUST_CAT_SPEED_FORCED	Эффективная система турбонаддува дает вам несравненное преимущество как на трассе, так и на городских улицах.
0	AUTO	FE_STATS_HIGHEST_MULTIPLIER	МАКС. МНОЖИТЕЛЬ
0	AUTO	RACE_MODE_GRIP_MODE	ГРИП
0	AUTO	RACEDAY_DESC_DEFINE_RACE_EVENTS	Теперь выберите заезды для создаваемого уик-энда.
0	AUTO	FE_STATS_NUMBER_OF_RACES	ОБЩЕЕ КОЛ-ВО ЗАЕЗДОВ
