#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Russian_Global_DLC.bin
#	File created on: 2025-05-24 11:17:58
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - DLC
0	1A821601	0x1A821601	Суперклуб
0	1A821602	0x1A821602	Скоростное кольцо
0	1A821603	0x1A821603	Маршрут 1: первая часть
0	1A821604	0x1A821604	Маршрут 2: вторая часть
0	1A821605	0x1A821605	Маршрут 3: вся трасса
0	1A82161D	0x1A82161D	Мост через Токийский залив
0	1BB8601F	0x1BB8601F	Версия NFS ProStreet несовместима с версией сеанса игры, к которому вы хотите присоединиться. Все пользователи должны установить последние обновления. Более подробную информацию вы найдете на веб-сайте  NeedforSpeed.com
0	35E21908	0x35E21908	Теперь вы можете БЕСПЛАТНО загрузить дополнение Energizer Lithium из Интернет-магазина Xbox LIVE!
0	3EC4AB81	0x3EC4AB81	Удачи!
0	420DCA3B	0x420DCA3B	ЛЕЙПЦИГ
0	420DCA53	0x420DCA53	ЛЕЙПЦИГ II
0	420DCA54	0x420DCA54	ТОКИЙСКОЕ ШОССЕ
0	420DCA55	0x420DCA55	ТОКИЙСКОЕ ШОССЕ II
0	42781C20	0x42781C20	ждет вас в Xbox LIVE Marketplace
0	525DCCC5	0x525DCCC5	Дополнение Energizer Lithium
0	5959EB4C	0x5959EB4C	Игрок, с которым вы хотите участвовать в одном гоночном уик-энде, должен сначала загрузить последнее обновление Need for Speed.
0	59C9AC1C	0x59C9AC1C	Дополнение Coca-Cola Zero.
0	61098C88	0x61098C88	Игрок, с которым вы хотите поделиться своей конфигурацией, должен сначала загрузить последнее обновление Need for Speed.
0	6692EC80	0x6692EC80	Вы не можете загрузить данный файл, так как соответствующий пакет недоступен.
0	671480B8	0x671480B8	БЕСПЛАТНО - полигон Porsche в Лейпциге
0	6DACD85F	0x6DACD85F	The FREE Extender Pack is now available for download on Xbox LIVE Marketplace!
0	6ECC5E67	0x6ECC5E67	БЕСПЛАТНО - SEAT Leon Cupra 2007 г.
0	71FD1C03	0x71FD1C03	Лейпциг
0	71FD1C1B	0x71FD1C1B	Лейпциг II
0	71FD1C1C	0x71FD1C1C	Токийское шоссе
0	71FD1C1D	0x71FD1C1D	Токийское шоссе II
0	7A83FDB7	0x7A83FDB7	Откройте новые грани игры
0	800472C1	0x800472C1	Нет, спасибо
0	82E2BDAE	0x82E2BDAE	Языковая версия дополнительного пакета не соответствует языковой версии установленной игры. Загрузить соответствующую версию?
0	83D6CADC	0x83D6CADC	Extender Pack
0	85C882DE	0x85C882DE	Бесплатно!
0	88D1ECEE	0x88D1ECEE	БЕСПЛАТНОЕ дополнение Coca-Cola Zero.
0	88E17FE9	0x88E17FE9	Эти материалы можно БЕСПЛАТНО загрузить из Интернет-магазина Xbox LIVE. Вас ждут новые трассы, автомобили, дополнения к режиму карьеры и гоночные уик-энды!
0	91F522D5	0x91F522D5	Новые соревнования вы найдете на экранах режима карьеры и гоночных уик-эндов, а БЕСПЛАТНЫЕ автомобили - в автосалоне режима карьеры.
0	930C8172	0x930C8172	Благодарим за загрузку:
0	A76603FD	0xA76603FD	с БЕСПЛАТНЫМ дополнением Coca-Cola Zero.
0	BCFBDE9A	0xBCFBDE9A	В настоящее время загрузка дополнительного пакета Need for Speed™ ProStreet невозможна.
0	C174E20F	0xC174E20F	Для получения доступа к новым данным вам необходимо перезапустить игру. Во время перезапуска игра будет временно недоступна. Щелкните ОК, чтобы сделать это сейчас.
0	E4AF851F	0xE4AF851F	БЕСПЛАТНО - Токийское шоссе
0	E5E32468	0xE5E32468	Информация об обновлениях и новости сообщества размещены на сайте NeedforSpeed.com
0	E62B2319	0xE62B2319	БЕСПЛАТНО - Plymouth® Road Runner 1969 г.
0	EE5865C5	0xEE5865C5	А также 14 новых автомобилей, включая Bugatti Veyron 16.4 и Porsche 911 GT3! Подробности - на веб-сайте NeedforSpeed.com.
0	F39D0787	0xF39D0787	Загрузите прямо сейчас!
0	F5663CFA	0xF5663CFA	Этот БЕСПЛАТНЫЙ набор содержит новые трассы, автомобили, дополнения к режиму карьеры и гоночные уик-энды!
0	FEEF54A9	0xFEEF54A9	Информация об обновлениях и новости сообщества размещены на сайте NeedforSpeed.com
