#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Russian_InGame.bin
#	File created on: 2025-05-24 11:18:11
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUB_REPAIR_EXITHUB	Выход с уик-энда
0	AUTO	HUD_BURNOUT_INCREDIBLE	Отличный прогрев!
0	AUTO	HUD_DRIFT_DOMINATING	Великолепно!
0	AUTO	HUD_DRIFT_KEEP_MOVING	ДАЛЬШЕ!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	ЗАНОС ЗАВЕРШЕН
0	AUTO	HUD_LOST_TRACTION	ПОТЕРЯ СЦЕПЛЕНИЯ
0	AUTO	HUB_REPAIR_SCREEN_STATUS_REPAIRED	ОТРЕМОНТИРОВАН
0	AUTO	FE_POSTRACE_CLASS_B_HEADER	ГРУППА B
0	AUTO	HUD_MATCHUP	Класс соперников:
0	AUTO	HUD_ENGINE_BLOWN	ПЕРЕГРЕВ ДВИГАТЕЛЯ!
0	AUTO	HUB_SCREEN_CAR_REPAIR_USE_MARKER	Ремонт за жетон
0	AUTO	FE_POSTRACE_TOTAL_SPEED	ОБЩАЯ СКОРОСТЬ
0	AUTO	HUB_SPLITSCREEN_EVENT_NOCARS_BOTH	Автомобили обоих участников не соответствуют требованиям заезда.
0	AUTO	HUB_MARKERSELECT_BONUS	ПРИЗ
0	AUTO	FE_POSTRACE_TABLE_HEADER_BEST_WHEELIE	ЛУЧШИЙ ВИЛЛИ
0	AUTO	HUB_MARKERSELECT_PARTS	ДЕТАЛИ
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	БЕЗУКОРИЗНЕННО!
0	AUTO	HUD_DRIFT_FOLLOWER	Вы - ведомый
0	AUTO	HUD_DAMAGE_HEAVY	ТЯЖЕЛЫЕ ПОВРЕЖДЕНИЯ!
0	AUTO	HUD_DAMAGE_LIGHT	ЛЕГКИЕ ПОВРЕЖДЕНИЯ
0	AUTO	HUB_SPLITSCREEN_EVENT_PLAYED	Вы уже участвовали в этих гонках.
0	AUTO	HUD_DRIFT_POINTS_EARNED	ЗАРАБОТАННЫЕ ОЧКИ
0	AUTO	ON_HIDE_SETTINGS	Скрыть параметры
0	AUTO	HUD_TOTALLED	АВАРИЯ!
0	AUTO	DRAG_RESULTS_DISPLAY_FORMAT	{0:s} @ {1:s}
0	AUTO	HUB_MARKERSELECT_WONCONGRATS	Поздравляем, вы стали победителем уик-энда! Выберите награду.
0	AUTO	FE_POSTRACE_ZERO_TO_HUNDRED	ВРЕМЯ 0-100
0	AUTO	HUB_SHADOW_LOCAL	ЛОКАЛЬНЫЙ ДВОЙНИК
0	AUTO	HUD_DRAG_TIME	ВРЕМЯ ДРЭГА
0	AUTO	FE_POSTRACE_WHEELIE_BONUS	ПРИЗ ЗА ДИСТАНЦИЮ "ВИЛЛИ"
0	AUTO	HUB_ONLINE_LEADER	ЛИДЕР
0	AUTO	HUB_MARKERSELECT_CONGRATS_PART_2	Поздравляем, вы выиграли деталь ({1:s}, ур. {0:d}) для {2:s}.
0	AUTO	FE_POSTRACE_BEST_WHEELIE	Лучший "Вилли":
0	AUTO	FE_HUB_DIALOG_DAMAGED_CAR_FOR_EVENT_CONFIRM	Вы собираетесь выступать на поврежденном автомобиле. Продолжить?
0	AUTO	HUD_DRAG_EIGHTH_MILE	Время на 1/8 мили:
0	AUTO	FE_POSTRACE_CLASS_A_HEADER	ГРУППА A
0	AUTO	HUD_SECTOR_CLAIMED	^ПОБИТ РЕКОРД УЧАСТКА!^+{1:f.0} очк.
0	AUTO	HUD_DISTANCE_REMAINING	ОСТАЛОСЬ:
0	AUTO	HUB_SCREEN_P1	И1
0	AUTO	HUB_SCREEN_P2	И2
0	AUTO	FE_TOTAL_TIME_TO_COMPLETE	ВРЕМЯ УЧАСТИЯ В СОРЕВНОВАНИЯХ
0	AUTO	HUB_SPLITSCREEN_CARREPAIR_CONFIRM_SWITCH_BUTTON	СМЕНИТЬ
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	НАЧАЛО ЗАЧЕТНОЙ ЗОНЫ!
0	AUTO	HUB_RETIRE_NOTWON_CONFIRM	Вы набрали недостаточно очков для достижения лидерства. Если вы прервете уик-энд, все очки, заработанные вами в нем, будут утрачены. Прервать уик-энд?
0	AUTO	ASSIST_LEVEL_KING_CAPS	КОРОЛЬ
0	AUTO	HUD_DRIFT_GREAT_DRIFT	ОТЛИЧНЫЙ ЗАНОС
0	AUTO	HUB_SCREEN_CAR_REPAIR_CAREER_ONLY_TOTAL_REPAIR_MARKERS	Вы пытаетесь починить разбитый автомобиль. Для этого нужен жетон полного ремонта.
0	AUTO	ONLINE_ROOM_STATUS_RACE_IN_PROGRESS	Идет заезд
0	AUTO	FE_POSTRACE_TABLE_HEADER_FINAL	ФИНАЛ
0	AUTO	HUD_DRIFT_NICE_DRIFT	НЕПЛОХОЙ ЗАНОС
0	AUTO	FE_HUB_DIALOG_CONFIRM_REPAIR_NOMONEY	Недостаточно средств для ремонта.
0	AUTO	HUD_NICE_WHEELIE	Хороший "вилли"!
0	AUTO	HUB_QUIT	ВЫХОД
0	AUTO	HUB_RACE	ЗАЕЗДЫ
0	AUTO	HUD_PREPARE_TO_HEAT_TIRES1	Приготовьтесь
0	AUTO	HUD_PREPARE_TO_HEAT_TIRES2	к прогреву
0	AUTO	HUB_SCREEN_CAR_REPAIR_CAREER_ONLY_CASH	У вас нет жетонов ремонта. Вы можете отремонтировать этот автомобиль за деньги.
0	AUTO	HUB_SCREEN_CAR_REPAIR_CAREER_ONLY_MARKERS	У вас недостаточно денег для ремонта. Вы можете отремонтировать этот автомобиль за жетон.
0	AUTO	FE_POSTRACE_ZERO_TO_SIXTY	ВРЕМЯ 0-60
0	AUTO	HUB_RACE_MODE_PRACTICE	Тренировка
0	AUTO	HUD_ROUND_MATCHUP	РАУНД {0:d} ИЗ {1:d}
0	AUTO	HUD_BURNOUT_GOOD	Хороший прогрев!
0	AUTO	HUD_BURNOUT_WEAK	Слабый прогрев
0	AUTO	GAMEPLAY_DRAG_FALSESTART	ФАЛЬСТАРТ!
0	AUTO	HUD_ONLINE_HURRY_UP	БЫСТРЕЕ!
0	AUTO	HUD_CHECKPOINT	КП:
0	AUTO	FE_HUB_DIALOG_CONFIRM_REPAIR_NOTOTALED	Вы не можете восстановить разбитый автомобиль во время уик-энда.
0	AUTO	HUD_REACHED_75_GRIP_BONUS	Сцепление с трассой +75%
0	AUTO	FE_POSTRACE_FINISH_TIME	Время финиша:
0	AUTO	HUD_LAUNCHED_PERFECT	Отличный старт!
0	AUTO	PR_MATCHUP_CLASS_B_TITLE	РЕЗУЛЬТАТЫ ГРУППЫ B
0	AUTO	HUD_NEXT_CHECKPOINT_MILES	Следующий КП^{0:s} мили
0	AUTO	HUD_DRIFT_RACE_OVER	ЗАЕЗД ОКОНЧЕН!
0	AUTO	DIALOG_MSG_CONFIRM_RESTART_RACE	Начать заезд заново?
0	AUTO	HUD_FINISH_FIRST	ПЕРВОЕ МЕСТО!
0	AUTO	DAMAGE_DIALOG_REPAIR_WITH_MARKER	ЖЕТОН
0	AUTO	HUD_FINISH_THIRD	ТРЕТЬЕ МЕСТО!
0	AUTO	FE_STATISTICS_LABEL	Статистика
0	AUTO	SHADOW_UPLOAD_SUCCESS_TEXT	Публикация завершена
0	AUTO	FE_POSTRACE_TARGET_TIME	Треб. время:
0	AUTO	FE_PR_CONFIRM_RESTART	Вы действительно хотите начать заезд заново?
0	AUTO	FE_PAUSE_CONFIRM_EXIT	Прервав заезд, вы утратите все игровые достижения. Продолжить?
0	AUTO	FE_POSTRACE_DAMAGE_TOTALED	Автомобиль разбит
0	AUTO	HUD_BEST_LAP_TIME_LOST	ВАШ РЕКОРД КРУГА ПОБИТ!
0	AUTO	HUB_EXIT_AFTER_REPAIRSCREEN_CONFIRM	Вы действительно хотите выйти?
0	AUTO	MENU_PAUSE_TITLE	ПАУЗА
0	AUTO	HUB_REPAIRALL_NOMONEY	Недостаточно средств для ремонта: требуется не менее {0:d}.
0	AUTO	FE_POSTRACE_TABLE_HEADER_INTERIM	ТЕКУЩИЙ РЕЗУЛЬТАТ
0	AUTO	HUB_SHADOW_SERVER_SAME_CLUB	Двойник: мой клуб
0	AUTO	HUB_SHADOW_SERVER_SAME_TIER	Двойник: мой этап
0	AUTO	PR_MATCHUP_RESULTS_FINAL_TITLE	РЕЗУЛЬТАТЫ ФИНАЛА
0	AUTO	HUB_TRACKPREVIEW_YOUR_CURRENT	Текущий
0	AUTO	HUD_DRAG_0_TO_60	Время 0-60:
0	AUTO	FE_POSTRACE_AVERAGE_SPEED	СРЕДНЯЯ СКОРОСТЬ
0	AUTO	FE_POSTRACE_DAMAGE_HEAVY	Тяжелые повреждения
0	AUTO	FE_POSTRACE_DAMAGE_LIGHT	Легкие повреждения
0	AUTO	HUB_REPAIRALL_INFO	Некоторые из ваших автомобилей повреждены. Отремонтируйте их до выхода из уик-энда, или они будут помещены в гараж.
0	AUTO	HUD_SHIFTED_PERFECT	Идеально!
0	AUTO	FE_POSTRACE_DAMAGE_STATE	ПОВРЕЖДЕНИЯ
0	AUTO	DDAY_OPP_01	Эдди Каргоу
0	AUTO	DDAY_OPP_02	Бенни Гольд
0	AUTO	DDAY_OPP_03	Саманта Кросс
0	AUTO	DDAY_OPP_04	Бил Вейн
0	AUTO	DDAY_OPP_05	Марк Манн
0	AUTO	DDAY_OPP_06	Роджер Соул
0	AUTO	DDAY_OPP_07	Уилсон Вон
0	AUTO	SHADOW_WAITING_FOR_LEADERBOARD_DATA	Ожидание рейтинговых данных.
0	AUTO	HUB_REPAIR_SCREEN_STATUS_TOTALED	РАЗБИТ
0	AUTO	MENU_POSTRACE_BACK_TO_GAMEROOM	До возвращения:
0	AUTO	HUB_ONLINE_NEXT_EVENT	СЛЕДУЮЩИЙ ЗАЕЗД
0	AUTO	HUB_TRACKPREVIEW_TOP_FRIEND	Лучший знакомый
0	AUTO	HUD_COMPLETE	ПРОЙДЕНО:
0	AUTO	FE_POSTRACE_TOTALED	РАЗБИТ
0	AUTO	HUD_WHEELIE_DISTANCE	ДИСТАНЦИЯ "ВИЛЛИ"
0	AUTO	FE_HUB_DIALOG_TOTALED_CAR_FOR_EVENT	Вы разбили автомобиль, подходящий для этого заезда.
0	AUTO	FE_POSTRACE_REACTION_TIME	ВРЕМЯ РЕАКЦИИ
0	AUTO	ONLINE_ROOM_STATUS_OPEN	Открыта
0	AUTO	HUD_BURNOUT_MAX	Идеальный прогрев!
0	AUTO	HUB_MARKERSELECT_CONGRATS_FREE_TOTALREPAIR	Поздравляем, вы выиграли бесплатный жетон полного ремонта от компании Progressive Insurance.
