#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Swedish_Frontend.bin
#	File created on: 2025-05-24 11:18:46
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	FE_STATS_TOTAL_REPAIR_COST	TOTAL REPARATIONSKOSTNAD
0	AUTO	MODE_ALL	Alla bilar
0	AUTO	CUST_VINYL_MOVE_LAYER	Flytta lager upp/ner
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	CUST_SLOT_ENGINE_BLOCK	MOTORBLOCK
0	AUTO	CAR_SELECT_MUSTANGGT	Den fjärde generationens Mustang har en 4.6-liters V8 och den definierar mer eller mindre pony car-standarden.
0	AUTO	CUST_CAT_SPEED_INTERNALS	Den här uppgraderingen ersätter motorns interna delar med starkare och mer hållbara delar vilket möjliggör att motorn klarar högre effekt och kan nå högre varvtal.^
0	AUTO	CUST_VISUAL_DECALS	DEKALER
0	AUTO	CUST_CUSTOMIZE	Specialanpassa
0	AUTO	CODE_ENTRY_VALID	Grattis! Din kod fungerade och din belöning är upplåst.
0	AUTO	CUST_SLOT_BRAKE_CALIPERS	BROMSOK
0	AUTO	FE_MARKERMAN_EXIT_CONFIRM	Du har obetalda marker i din kundvagn. Vill du avsluta ändå?
0	AUTO	CUST_SLOT_ANTI_ROLL_BARS	KRÄNGNINGSHÄMMARE
0	AUTO	CUST_QUICK_HANDLING_D3	Den här uppgraderingen kombinerar styvare fjädringsdelar så att bilen får maximalt väggrepp när den kör rakt fram. ^
0	AUTO	CUST_QUICK_HANDLING_G3	Den här uppgraderingen kombinerar styvare fjädringsdelar så att bilen får maximalt väggrepp i kurvor och när den kör rakt fram. ^
0	AUTO	CUST_QUICK_HANDLING_S3	Den här uppgraderingen kombinerar styvare fjädringsdelar så att bilen får maximalt väggrepp i hög fart i kurvor och när den kör rakt fram. ^
0	AUTO	CUST_REGION_REAR_TIRE	BAKDÄCK
0	AUTO	FE_STATS_BEST_SECTOR	BÄSTA SEKTOR
0	AUTO	CL_FREE_CAR_MARKER	GRATIS BILMARKER
0	AUTO	RACEDAY_DEFINE_RACE_EVENTS_TITLE	VÄLJ RACINGTÄVLINGAR
0	AUTO	CUST_QUICK_BRAKE_DI3	Den här uppgraderingen ger optimal bromssträcka samtidigt som bilen blir mer benägen att tappa väggreppet under inbromsning.^
0	AUTO	CUST_BP_APPLY_CONFIRM	Det kostar {0:d} att köpa alla delar som krävs för att kunna använda den här Blueprinten på bilen. Vill du fortsätta?
0	AUTO	CUST_SLOT_BUSHING_KIT	BUSSNINGAR
0	AUTO	FE_STATS_GAMES_PLAYED	SPELADE SPEL
0	AUTO	FE_CAR_SELECT_FILTER__BONUS_CARS	BONUSBILAR
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	CUST_VINYL_LAYER_HEADER	LAGER {0:d}
0	AUTO	CUST_PACKAGE_INFORMATION	PAKETINFORMATION
0	AUTO	CUST_SLOT_NITROUS_DESC	Lustgas är en mycket explosiv gas som kan sprutas in i cylindrarna vid förbränningen för att öka effekten rejält.^
0	AUTO	CUST_QUICK_MANAGEMENT_1	Den här uppgraderingen programmerar om motorstyrningen för att optimera prestanda.^
0	AUTO	CUST_QUICK_MANAGEMENT_2	Den här uppgraderingen programmerar om motorstyrningen för att optimera prestanda.^
0	AUTO	CS_HEADER_SPEED_EVENT	FARTUTMANINGAR
0	AUTO	CUST_SLOT_HEADS_DESC	Genom att porta ventilerna i cylindertoppen kan du öka luftflödet in i motorn och få ut avgaserna ur motorn. Detta resulterar i högre motoreffekt.^
