#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Swedish_Global_DLC.bin
#	File created on: 2025-05-24 11:18:58
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - DLC
0	1A821601	0x1A821601	Super Club
0	1A821602	0x1A821602	Speed Loop
0	1A821603	0x1A821603	Route 1 Första halvan
0	1A821604	0x1A821604	Route 2 Andra halvan
0	1A821605	0x1A821605	Route 3 Hela banan
0	1A82161D	0x1A82161D	Tokyo Bay Bridge
0	1BB8601F	0x1BB8601F	Din version av NFS ProStreet är inte kompatibel med versionen som används i spelomgången som du försöker ansluta till.  Bästa resultat fås om samtliga spelare har de senaste uppdateringarna.  Gå till NeedforSpeed.com för mer information.
0	35E21908	0x35E21908	Energizer Lithium-tilläggspaket är nu tillgängligt för GRATIS hämtning på Xbox LIVE marknadsplats!
0	3EC4AB81	0x3EC4AB81	Kör hårt!
0	420DCA3B	0x420DCA3B	LEIPZIG
0	420DCA53	0x420DCA53	LEIPZIG II
0	420DCA54	0x420DCA54	TOKYO EXPRESSWAY
0	420DCA55	0x420DCA55	TOKYO EXPRESSWAY II
0	42781C20	0x42781C20	finns nu att hämta på Xbox LIVE Marketplace
0	525DCCC5	0x525DCCC5	Energizer Lithium-tilläggspaket
0	5959EB4C	0x5959EB4C	Den spelare du försöker dela med har ännu inte hämtat den senaste speluppdateringen. Han eller hon måste uppdatera sitt Need for Speed innan du kan dela denna racingdag.
0	59C9AC1C	0x59C9AC1C	Coca-Cola Zero Booster Pack.
0	61098C88	0x61098C88	Den spelare du försöker dela med har ännu inte hämtat den senaste speluppdateringen. Han eller hon måste uppdatera sitt Need for Speed innan du kan dela denna blueprint.
0	6692EC80	0x6692EC80	Filen du försöker ladda kan inte laddas eftersom innehållspaketet inte är tillgängligt.
0	671480B8	0x671480B8	GRATIS - Certifierad testbana vid Porsche i Leipzig
0	6DACD85F	0x6DACD85F	The FREE Extender Pack is now available for download on Xbox LIVE Marketplace!
0	6ECC5E67	0x6ECC5E67	GRATIS - 2007 SEAT Leon Cupra
0	71FD1C03	0x71FD1C03	Leipzig
0	71FD1C1B	0x71FD1C1B	Leipzig II
0	71FD1C1C	0x71FD1C1C	Tokyo Expressway
0	71FD1C1D	0x71FD1C1D	Tokyo Expressway II
0	7A83FDB7	0x7A83FDB7	Spelglädje utan gräns
0	800472C1	0x800472C1	Nej tack
0	82E2BDAE	0x82E2BDAE	Det Booster Pack som du har laddat ner är på fel språk för den här skivan. Vill du ladda ner rätt version?
0	83D6CADC	0x83D6CADC	Extender Pack
0	85C882DE	0x85C882DE	Gratis
0	88D1ECEE	0x88D1ECEE	GRATIS Coca-Cola Zero Booster Pack.
0	88E17FE9	0x88E17FE9	Hämta GRATIS spelinnehåll från Xbox LIVE Marknadsplats och upplev nya banor, nya bilar och ett utökat karriärläge och racingdagar!
0	91F522D5	0x91F522D5	Kolla efter de utökade karriärstegen och racingdagarna. Missa inte heller de nya GRATIS-bilarna i bilaffären.
0	930C8172	0x930C8172	Tack för att du hämtade
0	A76603FD	0xA76603FD	med ett GRATIS Coca-Cola Zero Booster Pack.
0	BCFBDE9A	0xBCFBDE9A	Booster-packet till Need for Speed™ ProStreet kunde inte laddas ner just nu.
0	C174E20F	0xC174E20F	Need for Speed™ ProStreet måste startas om innan ditt nya innehåll blir tillgängligt. Spelet är inaktivt en kort stund innan det startas om. Klicka på OK för att börja.
0	E4AF851F	0xE4AF851F	GRATIS - Japans Tokyo Expressway
0	E5E32468	0xE5E32468	Besök NeedforSpeed.com för fler uppdateringar och community-evenemang!
0	E62B2319	0xE62B2319	GRATIS - 1969 Plymouth® Road Runner
0	EE5865C5	0xEE5865C5	Nu med 14 nya bilar inklusive Bugatti Veyron 16.4 och Porsche 911 GT3! Läs mer på webbplatsen NeedforSpeed.com
0	F39D0787	0xF39D0787	Hämta gratis direkt!
0	F5663CFA	0xF5663CFA	Hämta GRATIS spelinnehåll och upplev nya banor, nya bilar och ett utökat karriärläge och racingdagar!
0	FEEF54A9	0xFEEF54A9	Besök NeedforSpeed.com för fler uppdateringar och community-evenemang!
