#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Swedish_InGame.bin
#	File created on: 2025-05-24 11:19:07
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUB_REPAIR_EXITHUB	Avsluta racingdag
0	AUTO	HUD_BURNOUT_INCREDIBLE	Otrolig burnout!
0	AUTO	HUD_DRIFT_DOMINATING	Dominerar!
0	AUTO	HUD_DRIFT_KEEP_MOVING	GASA!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	SLADD HÄVD!
0	AUTO	HUD_LOST_TRACTION	TAPPADE VÄGGREPPET
0	AUTO	HUB_REPAIR_SCREEN_STATUS_REPAIRED	REPARERAD
0	AUTO	FE_POSTRACE_CLASS_B_HEADER	GRUPP B
0	AUTO	HUD_MATCHUP	Matchades mot
0	AUTO	HUD_ENGINE_BLOWN	MOTORN HAVERERADE!
0	AUTO	HUB_SCREEN_CAR_REPAIR_USE_MARKER	Reparera med marker
0	AUTO	FE_POSTRACE_TOTAL_SPEED	TOTALHASTIGHET
0	AUTO	HUB_SPLITSCREEN_EVENT_NOCARS_BOTH	Båda spelarna saknar bilar för att kunna tävla i loppet.
0	AUTO	HUB_MARKERSELECT_BONUS	BONUS
0	AUTO	FE_POSTRACE_TABLE_HEADER_BEST_WHEELIE	BÄSTA WHEELIE
0	AUTO	HUB_MARKERSELECT_PARTS	BILDELAR
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	PERFEKT INGÅNG!
0	AUTO	HUD_DRIFT_FOLLOWER	Du är den som jagar!
0	AUTO	HUD_DAMAGE_HEAVY	OMFATTANDE SKADOR
0	AUTO	HUD_DAMAGE_LIGHT	LÄTTARE SKADOR
0	AUTO	HUB_SPLITSCREEN_EVENT_PLAYED	Du har redan kört den tävlingen.
0	AUTO	HUD_DRIFT_POINTS_EARNED	INTJÄNADE POÄNG
0	AUTO	ON_HIDE_SETTINGS	Dölj inställningar
0	AUTO	HUD_TOTALLED	TOTALKRASCH!
0	AUTO	DRAG_RESULTS_DISPLAY_FORMAT	{0:s} - {1:s}
0	AUTO	HUB_MARKERSELECT_WONCONGRATS	Grattis, du vann racingdagen! Välj en belöning.
0	AUTO	FE_POSTRACE_ZERO_TO_HUNDRED	TID 0 TILL 100
0	AUTO	HUB_SHADOW_LOCAL	MIN LOKALA SKUGGA
0	AUTO	HUD_DRAG_TIME	DRAGRACINGTID
0	AUTO	FE_POSTRACE_WHEELIE_BONUS	BONUS FÖR WHEELIESTRÄCKA
0	AUTO	HUB_ONLINE_LEADER	LEDARE
0	AUTO	HUB_MARKERSELECT_CONGRATS_PART_2	Grattis, du vann {1:s}, STEG {0:d}, till din {2:s}.
0	AUTO	FE_POSTRACE_BEST_WHEELIE	Bästa wheelie:
0	AUTO	FE_HUB_DIALOG_DAMAGED_CAR_FOR_EVENT_CONFIRM	Du försöker starta ett race med en skadad bil. Är du säker på att du vill fortsätta?
0	AUTO	HUD_DRAG_EIGHTH_MILE	Tid vid 200 m:
0	AUTO	FE_POSTRACE_CLASS_A_HEADER	GRUPP A
0	AUTO	HUD_SECTOR_CLAIMED	^NYTT SEKTORREKORD!^+{1:f.0} poäng
0	AUTO	HUD_DISTANCE_REMAINING	KVARVARANDE STRÄCKA:
0	AUTO	HUB_SCREEN_P1	S1
0	AUTO	HUB_SCREEN_P2	S2
0	AUTO	FE_TOTAL_TIME_TO_COMPLETE	TOTALTID FÖR SLUTFÖRD TÄVLING
0	AUTO	HUB_SPLITSCREEN_CARREPAIR_CONFIRM_SWITCH_BUTTON	BYT
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	POÄNGZON BÖRJAR!
