#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Chinese_Simp_Frontend.bin
#	File created on: 2025-05-24 11:09:39
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	FE_STATS_TOTAL_REPAIR_COST	总修理花费
0	AUTO	MODE_ALL	所有赛车
0	AUTO	CUST_VINYL_MOVE_LAYER	上下移动分层
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	CUST_SLOT_ENGINE_BLOCK	引擎缸体
0	AUTO	CAR_SELECT_MUSTANGGT	装载了4.6L V8引擎的第四代Mustang，几乎是全世界所有^人心中双门跑车的代表。
0	AUTO	CUST_CAT_SPEED_INTERNALS	这项升级会将你的引擎内部结构替换为更坚固强劲的部件，^使其能输出更强大的动力和支持更高的转速。
0	AUTO	CUST_VISUAL_DECALS	贴花
0	AUTO	CUST_CUSTOMIZE	定制蓝图
0	AUTO	CODE_ENTRY_VALID	恭喜！你的代码已被接受，你的奖励已经解锁。
0	AUTO	CUST_SLOT_BRAKE_CALIPERS	测径器
0	AUTO	FE_MARKERMAN_EXIT_CONFIRM	你的购物车中包括还未购买的维修标志。是否退出？
0	AUTO	CUST_SLOT_ANTI_ROLL_BARS	防滚架
0	AUTO	CUST_QUICK_HANDLING_D3	这项升级结合了硬悬挂结构，使赛车能极其稳定的直线行使。
0	AUTO	CUST_QUICK_HANDLING_G3	这项升级结合了硬悬挂结构，使赛车在直道和弯道上都能保持稳定。
0	AUTO	CUST_QUICK_HANDLING_S3	这项升级结合了硬悬挂结构，使赛车在直道和弯道上高速行^驶时都能保持稳定。
0	AUTO	CUST_REGION_REAR_TIRE	后轮胎
0	AUTO	FE_STATS_BEST_SECTOR	最佳区段
0	AUTO	CL_FREE_CAR_MARKER	免费赛车维修标志
0	AUTO	RACEDAY_DEFINE_RACE_EVENTS_TITLE	定义赛事
0	AUTO	CUST_QUICK_BRAKE_DI3	这项升级可以使赛车获得最大停止时间并同时允许甚至鼓励减^速时车胎使用刹车牵引力控制。
0	AUTO	CUST_BP_APPLY_CONFIRM	为你的车应用蓝图需要花费{0:d}购买所有必须的零件。^你要继续吗？
0	AUTO	CUST_SLOT_BUSHING_KIT	套管工具
0	AUTO	FE_STATS_GAMES_PLAYED	参赛次数
0	AUTO	FE_CAR_SELECT_FILTER__BONUS_CARS	奖励赛车
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	CUST_VINYL_LAYER_HEADER	分层 {0:d}
0	AUTO	CUST_PACKAGE_INFORMATION	套件信息
0	AUTO	CUST_SLOT_NITROUS_DESC	氮气是一种高度助燃性气体，它可以被装在压缩气筒中，^以备注入引擎并暂时提高动力输出。
0	AUTO	CUST_QUICK_MANAGEMENT_1	这项升级会重新编写引擎电脑的内部程序，将其性能发挥到极限。
0	AUTO	CUST_QUICK_MANAGEMENT_2	这项升级会重新编写引擎电脑的内部程序，将其性能发挥到极限。
0	AUTO	CS_HEADER_SPEED_EVENT	速度挑战模式
0	AUTO	CUST_SLOT_HEADS_DESC	通过调整汽缸头的阀值，你可以增加流入引擎的空气量^和引擎的排气量。这可以带来更高的动力。
0	AUTO	CUST_VINYL_ADDLAYER	增加新的分层
0	AUTO	CUST_CAT_SPEED_FORCED	低延迟、高响应速度的加速系统可以为你提供优良的动力曲^线并使你在赛道上占得先机。
0	AUTO	FE_STATS_HIGHEST_MULTIPLIER	最高加乘
0	AUTO	RACE_MODE_GRIP_MODE	弯道^模式
0	AUTO	RACEDAY_DESC_DEFINE_RACE_EVENTS	下一步是为你的比赛日决定赛事内容。
