#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Chinese_Simp_InGame.bin
#	File created on: 2025-05-24 11:10:01
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUB_REPAIR_EXITHUB	退出比赛日
0	AUTO	HUD_BURNOUT_INCREDIBLE	难以置信的烧胎！
0	AUTO	HUD_DRIFT_DOMINATING	称霸！
0	AUTO	HUD_DRIFT_KEEP_MOVING	继续！
0	AUTO	HUD_DRIFT_DRIFT_ENDED	漂移结束
0	AUTO	HUD_LOST_TRACTION	失去牵引力
0	AUTO	HUB_REPAIR_SCREEN_STATUS_REPAIRED	修理
0	AUTO	FE_POSTRACE_CLASS_B_HEADER	B组
0	AUTO	HUD_MATCHUP	配对对手
0	AUTO	HUD_ENGINE_BLOWN	爆缸！
0	AUTO	HUB_SCREEN_CAR_REPAIR_USE_MARKER	使用维修标志维修
0	AUTO	FE_POSTRACE_TOTAL_SPEED	全部速度
0	AUTO	HUB_SPLITSCREEN_EVENT_NOCARS_BOTH	两名玩家都没有合适的赛车参加这项赛事。
0	AUTO	HUB_MARKERSELECT_BONUS	奖励
0	AUTO	FE_POSTRACE_TABLE_HEADER_BEST_WHEELIE	最佳抬轮
0	AUTO	HUB_MARKERSELECT_PARTS	部件
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	完美切入！
0	AUTO	HUD_DRIFT_FOLLOWER	你是追随者
0	AUTO	HUD_DAMAGE_HEAVY	严重受损！
0	AUTO	HUD_DAMAGE_LIGHT	轻微受损
0	AUTO	HUB_SPLITSCREEN_EVENT_PLAYED	你已经参加过那个赛事了。
0	AUTO	HUD_DRIFT_POINTS_EARNED	获得分数
0	AUTO	ON_HIDE_SETTINGS	隐藏设置
0	AUTO	HUD_TOTALLED	撞毁！
0	AUTO	DRAG_RESULTS_DISPLAY_FORMAT	{0:s} @ {1:s}
0	AUTO	HUB_MARKERSELECT_WONCONGRATS	恭喜！你赢得了比赛日！请选择你的奖励。
0	AUTO	FE_POSTRACE_ZERO_TO_HUNDRED	0 到 100 时间
0	AUTO	HUB_SHADOW_LOCAL	我的本地幽灵车
0	AUTO	HUD_DRAG_TIME	直道时间
0	AUTO	FE_POSTRACE_WHEELIE_BONUS	抬轮距离奖励
0	AUTO	HUB_ONLINE_LEADER	主导者
0	AUTO	HUB_MARKERSELECT_CONGRATS_PART_2	恭喜，你获得了阶段{0:d} {1:s}，^可供你的{2:s}使用。
0	AUTO	FE_POSTRACE_BEST_WHEELIE	最佳抬轮：
0	AUTO	FE_HUB_DIALOG_DAMAGED_CAR_FOR_EVENT_CONFIRM	你打算驾驶一辆受损的赛车参加比赛，你确定希望继续吗？
0	AUTO	HUD_DRAG_EIGHTH_MILE	1/8英里时间：
0	AUTO	FE_POSTRACE_CLASS_A_HEADER	A组
0	AUTO	HUD_SECTOR_CLAIMED	^打破区段纪录！^+{1:f.0} 分
0	AUTO	HUD_DISTANCE_REMAINING	剩余距离
0	AUTO	HUB_SCREEN_P1	P1
0	AUTO	HUB_SCREEN_P2	P2
0	AUTO	FE_TOTAL_TIME_TO_COMPLETE	完成比赛所用总时间
0	AUTO	HUB_SPLITSCREEN_CARREPAIR_CONFIRM_SWITCH_BUTTON	更换
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	得分区结束！
0	AUTO	HUB_RETIRE_NOTWON_CONFIRM	你还没有获得称霸这个比赛日的足够分数。如果你选择退出，^下次你进入这个比赛日的时候你将重新从0分开始这个比赛日。^你想要继续还是退出比赛日？
0	AUTO	ASSIST_LEVEL_KING_CAPS	车王
0	AUTO	HUD_DRIFT_GREAT_DRIFT	超炫的漂移
0	AUTO	HUB_SCREEN_CAR_REPAIR_CAREER_ONLY_TOTAL_REPAIR_MARKERS	你需要维修的是一辆完全损坏的赛车。^你必须使用一枚完全维修标志。
0	AUTO	ONLINE_ROOM_STATUS_RACE_IN_PROGRESS	赛车进行中
0	AUTO	FE_POSTRACE_TABLE_HEADER_FINAL	决赛
0	AUTO	HUD_DRIFT_NICE_DRIFT	漂亮的漂移
0	AUTO	FE_HUB_DIALOG_CONFIRM_REPAIR_NOMONEY	你没有足够的钱来维修损伤。
0	AUTO	HUD_NICE_WHEELIE	漂亮抬轮！
0	AUTO	HUB_QUIT	退出
0	AUTO	HUB_RACE	赛事
0	AUTO	HUD_PREPARE_TO_HEAT_TIRES1	准备好
0	AUTO	HUD_PREPARE_TO_HEAT_TIRES2	加热你的轮胎
0	AUTO	HUB_SCREEN_CAR_REPAIR_CAREER_ONLY_CASH	你试图在没有维修标志的情况下修理车辆。^你仍然可以花费现金进行维修。
0	AUTO	HUB_SCREEN_CAR_REPAIR_CAREER_ONLY_MARKERS	你试图在没有足够现金的情况下修理车辆。^你仍然可以使用可用的维修标志进行维修。
0	AUTO	FE_POSTRACE_ZERO_TO_SIXTY	0 到 60 时间
0	AUTO	HUB_RACE_MODE_PRACTICE	练习
0	AUTO	HUD_ROUND_MATCHUP	第{0:d}/{1:d}轮
0	AUTO	HUD_BURNOUT_GOOD	漂亮的烧胎！
0	AUTO	HUD_BURNOUT_WEAK	差劲的烧胎
0	AUTO	GAMEPLAY_DRAG_FALSESTART	抢跑！
0	AUTO	HUD_ONLINE_HURRY_UP	赶快！
0	AUTO	HUD_CHECKPOINT	检查点
0	AUTO	FE_HUB_DIALOG_CONFIRM_REPAIR_NOTOTALED	你无法在比赛日中维修一辆撞毁的赛车。
0	AUTO	HUD_REACHED_75_GRIP_BONUS	获得75%抓地奖励
0	AUTO	FE_POSTRACE_FINISH_TIME	完成时间:
0	AUTO	HUD_LAUNCHED_PERFECT	完美发车！
0	AUTO	PR_MATCHUP_CLASS_B_TITLE	B组结果
0	AUTO	HUD_NEXT_CHECKPOINT_MILES	下一检查点^{0:s}英里
0	AUTO	HUD_DRIFT_RACE_OVER	比赛结束！
0	AUTO	DIALOG_MSG_CONFIRM_RESTART_RACE	你确定想重新开始这场比赛吗？
