#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Chinese_Trad_Frontend.bin
#	File created on: 2025-05-24 11:10:10
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	FE_STATS_TOTAL_REPAIR_COST	總修理費用
0	AUTO	MODE_ALL	所有車輛
0	AUTO	CUST_VINYL_MOVE_LAYER	圖層上移/下移
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	CUST_SLOT_ENGINE_BLOCK	引擎缸體
0	AUTO	CAR_SELECT_MUSTANGGT	四代mustang。搭載了4.6L V8引擎，只要提到雙門^跑車，大部分的人都會聯想到這部車。
0	AUTO	CUST_CAT_SPEED_INTERNALS	這項升級以更堅固、更耐久的零件取代你現有的引擎內部^組件，讓你的引擎能夠輸出更大的動力，以及承受更高的^轉速。
0	AUTO	CUST_VISUAL_DECALS	貼紙
0	AUTO	CUST_CUSTOMIZE	改裝藍圖
0	AUTO	CODE_ENTRY_VALID	恭喜！你輸入的代碼已被接受，你的獎勵已經解開。
0	AUTO	CUST_SLOT_BRAKE_CALIPERS	煞車卡箝
0	AUTO	FE_MARKERMAN_EXIT_CONFIRM	你的購物車內有尚未購買的標誌。仍舊要離開嗎？
0	AUTO	CUST_SLOT_ANTI_ROLL_BARS	防傾桿
0	AUTO	CUST_QUICK_HANDLING_D3	這項升級整合了較硬的懸吊零件使車輛非常適合直線行駛。^
0	AUTO	CUST_QUICK_HANDLING_G3	這項升級整合了較硬的懸吊零件，使車輛非常適合過彎與^直線行駛。
0	AUTO	CUST_QUICK_HANDLING_S3	這項升級整合了較硬的懸吊零件，使車輛非常適合過彎與^直線行駛。
0	AUTO	CUST_REGION_REAR_TIRE	後胎
0	AUTO	FE_STATS_BEST_SECTOR	最佳區段
0	AUTO	CL_FREE_CAR_MARKER	免費車輛標誌
0	AUTO	RACEDAY_DEFINE_RACE_EVENTS_TITLE	定義賽事
