#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Chinese_Trad_InGame.bin
#	File created on: 2025-05-24 11:10:27
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUB_REPAIR_EXITHUB	離開競速日
0	AUTO	HUD_BURNOUT_INCREDIBLE	驚人的燒胎！
0	AUTO	HUD_DRIFT_DOMINATING	稱霸！
0	AUTO	HUD_DRIFT_KEEP_MOVING	繼續前進！
0	AUTO	HUD_DRIFT_DRIFT_ENDED	甩尾結束
0	AUTO	HUD_LOST_TRACTION	打滑！
0	AUTO	HUB_REPAIR_SCREEN_STATUS_REPAIRED	已修復
0	AUTO	FE_POSTRACE_CLASS_B_HEADER	B組
0	AUTO	HUD_MATCHUP	配對車手
0	AUTO	HUD_ENGINE_BLOWN	引擎燒毀！
0	AUTO	HUB_SCREEN_CAR_REPAIR_USE_MARKER	使用標誌修理
0	AUTO	FE_POSTRACE_TOTAL_SPEED	速度加總
0	AUTO	HUB_SPLITSCREEN_EVENT_NOCARS_BOTH	雙方玩家都沒有能夠參與此賽事的車輛
0	AUTO	HUB_MARKERSELECT_BONUS	獎勵
0	AUTO	FE_POSTRACE_TABLE_HEADER_BEST_WHEELIE	最佳抬輪
0	AUTO	HUB_MARKERSELECT_PARTS	零件
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	完美進入！
0	AUTO	HUD_DRIFT_FOLLOWER	你是追隨者
0	AUTO	HUD_DAMAGE_HEAVY	嚴重損壞！
0	AUTO	HUD_DAMAGE_LIGHT	輕微損壞
0	AUTO	HUB_SPLITSCREEN_EVENT_PLAYED	你已經參與過該賽事
0	AUTO	HUD_DRIFT_POINTS_EARNED	獲得分數
0	AUTO	ON_HIDE_SETTINGS	隱藏設定
0	AUTO	HUD_TOTALLED	車輛全毀！
0	AUTO	DRAG_RESULTS_DISPLAY_FORMAT	{0:s} @ {1:s}
0	AUTO	HUB_MARKERSELECT_WONCONGRATS	恭喜，你贏得了車手中心！^請從底下的選項中挑選你的獎勵
0	AUTO	FE_POSTRACE_ZERO_TO_HUNDRED	0至100 時間
0	AUTO	HUB_SHADOW_LOCAL	我的鬼影車
0	AUTO	HUD_DRAG_TIME	直線加速時間
0	AUTO	FE_POSTRACE_WHEELIE_BONUS	抬輪距離獎勵
0	AUTO	HUB_ONLINE_LEADER	主導者
0	AUTO	HUB_MARKERSELECT_CONGRATS_PART_2	恭喜，你贏得了階級{0:d}{1:s} ，^可供{2:s}使用。
0	AUTO	FE_POSTRACE_BEST_WHEELIE	最佳抬輪：
0	AUTO	FE_HUB_DIALOG_DAMAGED_CAR_FOR_EVENT_CONFIRM	你嘗試駕駛一輛損壞的車輛參與賽事，你確定要繼續嗎？
0	AUTO	HUD_DRAG_EIGHTH_MILE	1/8英哩時間：
0	AUTO	FE_POSTRACE_CLASS_A_HEADER	A組
0	AUTO	HUD_SECTOR_CLAIMED	^破了區段記錄！^+{1:f.0} 分
0	AUTO	HUD_DISTANCE_REMAINING	剩餘距離：
0	AUTO	HUB_SCREEN_P1	P１
0	AUTO	HUB_SCREEN_P2	P２
