#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Czech_InGame.bin
#	File created on: 2025-05-23 18:34:34
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUD_STYLE_POINT_GRINDING	BROUŠENÍ LAKU: {0:d}
0	AUTO	HUD_STYLE_POINT_COP_TAKEOUT	VYŘAZENÍ POLDY: {0:d}
0	AUTO	HUD_STYLE_POINT_PURSUIT_BREAKER	BARIKÁDA PRONÁSLEDOVÁNÍ: {0:d}
0	AUTO	HUD_SHOWROOM1	Prodejna pouličních dílů v Palm Harboru
0	AUTO	HUD_SHOWROOM2	Prodejna aut řady 3 v Palm Harboru
0	AUTO	HUD_SHOWROOM3	Prodejna se závodními díly v Sunset Hills
0	AUTO	HUD_SHOWROOM4	Prodejna aut řady 2 v Sunset Hills
0	AUTO	HUD_SHOWROOM5	Prodejna profesionálních dílů v Port Crescentu
0	AUTO	HUD_SHOWROOM6	Prodejna aut řady 1 v Port Crescentu
0	AUTO	HUD_CIVIC_COP_IMMOBILIZED	Civilní jednotka vyřazena\nZpůsobená škoda: {0:d} $
0	AUTO	T_Credits	
0	AUTO	SPOILER_2CF	Gentera Style 113 CF
0	AUTO	SPOILER_5CF	Gentera Style 112 CF
0	AUTO	SPOILER_8CF	Gentera Style 114 CF
0	AUTO	SPOILER_9CF	Gentera Style 109 CF
0	AUTO	HUD_STYLE_POINT_180_REVERSE	OTOČKA NA ZPÁTEČKU: {0:d}
0	AUTO	HUD_STYLE_POINT_360_REVERSE	ZPĚTNÁ OTOČKA O 360°: {0:d}
0	AUTO	HUD_STYLE_POINT_540_REVERSE	ZPĚTNÁ OTOČKA O 540°: {0:d}
0	AUTO	HUD_COPS	POLICIE
0	AUTO	HUD_STYLE_POINT_720_REVERSE	ZPĚTNÁ OTOČKA O  720°: {0:d}
0	AUTO	HUD_BUSTED	JSTE ZADRŽENI!
0	AUTO	HUD_FEDERAL_COP_IMMOBILIZED	FEDERÁLNÍ JEDNOTKA VYŘAZENA\nZPŮSOBENÁ ŠKODA: {0:d} $
0	AUTO	HUD_STYLE_POINT_DRAFT	DRAFTOVÁNÍ: {0:d}
0	AUTO	HUD_STYLE_POINT_DRIFT	SMYK: {0:d}
0	AUTO	COMMON_X_METERS_SHORT_INT	{0:d} m
0	AUTO	COMMON_PERCENT	{0:d} %
0	AUTO	HUD_STYLE_POINT_POWERSLIDE	ŘÍZENÝ SMYK: {0:d}
0	AUTO	HUD_STYLE_POINT_BONUS_START	BONUS ZA START: {0:d}
0	AUTO	SPOILER_11CF	Gentera Style 115 CF
0	AUTO	SPOILER_12CF	Gentera Style 118 CF
0	AUTO	SPOILER_13CF	Gentera Evo CF
0	AUTO	HUD_STYLE_POINT_NEAR_MISS_MULT	TĚSNÉ MINUTÍ x{0:d}: {1:d}
0	AUTO	HUD_COOLDOWN	COOLDOWN
0	AUTO	HUD_GO	TEĎ!
0	AUTO	HUD_STYLE_POINT_TOP_SPEED	MAX. RYCHLOST: {0:d}
0	AUTO	HUD_POSITION	{0:d} / {1:d}
0	AUTO	COMMON_NEG	-{0:d}
0	AUTO	COMMON_POS	+{0:d}
0	AUTO	DIALOG_MSG_CONFIRM_EXIT_TO_FREEROAM	Opravdu chcete skončit?\nVšechny změny budou ztraceny.
0	AUTO	HUD_TARGET_ACHIEVED	Cíl splněn! Pro dokončení závodu musíte uniknout
0	AUTO	HUD_STYLE_POINT_360_REVERSE_BURNOUT	ZPĚTNÁ OTOČKA S HRABÁNÍM O 360°: {0:d}
0	AUTO	HUD_STYLE_POINT_180	OTOČKA O 180°: {0:d}
0	AUTO	HUD_STYLE_POINT_360	OTOČKA 360°: {0:d}
0	AUTO	HUD_STYLE_POINT_540	OTOČKA O 540°: {0:d}
0	AUTO	HUD_STYLE_POINT_720	OTOČKA O 720°: {0:d}
0	AUTO	HOOD_1CF	Araxis Sport CF
0	AUTO	HOOD_2CF	Araxis Sweeper CF
0	AUTO	HOOD_3CF	Araxis Blitz CF
0	AUTO	HOOD_4CF	Araxis Impact CF
0	AUTO	HOOD_5CF	Formula CF
0	AUTO	HOOD_6CF	Beast CF
0	AUTO	HOOD_7CF	Blister CF
0	AUTO	HOOD_8CF	Shaker CF
0	AUTO	HUD_STYLE_POINT_CLOSE_CALL	TĚSNÉ MINUTÍ: {0:d}
0	AUTO	COMMON_RETURN_TO_EVENT	Vrátit se do závodu
0	AUTO	HUD_STYLE_POINT_180_BURNOUT	OTOČKA O 180° S HRABÁNÍM: {0:d}
0	AUTO	HUD_STYLE_POINT_360_BURNOUT	OTOČKA S HRABÁNÍM O 360°: {0:d}
0	AUTO	HUD_LAP	KOLO
0	AUTO	COMMON_PURSUIT_ONLY	Jen pronásledování
0	AUTO	HUD_EVADE	UNIKNOUT
0	AUTO	HUD_TIMER	ČAS
0	AUTO	HUD_STYLE_POINT_CLEAN_SECTION	ČISTÝ ÚSEK: {0:d}
0	AUTO	HUD_STYLE_POINT_COUNTING	POČÍTÁNÍ BODŮ: {0:d}
0	AUTO	HUD_STYLE_POINT_NOS_DRIFT	NITRO DRIFT: {0:d}
0	AUTO	HUD_STYLE_POINT_CLEAN_SECTION_MULT	ČISTÝ ÚSEK x{0:d}: {1:d}
0	AUTO	HUD_CTS_CURRENT_OVER_TOTAL	${0:d} z ${1:d}
0	AUTO	HUD_TACH_ABBREV_NEUTRAL	N
0	AUTO	HUD_ROBBERS	ZLODĚJI
0	AUTO	HUD_STYLE_POINT_BURNOUT	HRABÁNÍ: {0:d}
0	AUTO	HUD_STYLE_POINT_RUBOUT	VYŘAZEN: {0:d}
0	AUTO	HUD_LEVEL_UP	ZVÝŠENÍ ÚROVNĚ: {0:d}
0	AUTO	HUD_STYLE_POINT_PASSING	OBJÍŽDĚNÍ: {0:d}
0	AUTO	HUD_STYLE_POINT_WINNER	Vítěz závodu: {0:d}
0	AUTO	HUD_STATE_COP_IMMOBILIZED	STÁTNÍ JEDNOTKA VYŘAZENA\nZPŮSOBENÁ ŠKODA: {0:d} $
0	AUTO	HUD_STYLE_POINT_RANKING_1	1. MÍSTO: {0:d}
