#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Danish_Frontend.bin
#	File created on: 2025-05-23 18:34:45
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	WM_STATS_ROAD_BLOCKS_DODGED_1_PURSUIT	Vejspærringer undgået (Enkelt politijagt)
0	AUTO	_MC_CONFIRMTOO_MANY_SAVED_GAMES_TO_CREATE	Der er for mange til at kunne gemme
0	AUTO	VINYL_PART_DOD_VIP_STOCK	Standardgrafik
0	AUTO	VINYL_PART_MIT_EVOX_2TONE1	To nuancer 1
0	AUTO	VINYL_PART_MIT_EVOX_2TONE2	To nuancer 2
0	AUTO	VINYL_PART_MIT_EVOX_2TONE3	To nuancer 3
0	AUTO	WM_REGIONSUMMARY_TOGGLE_JOBS	Job
0	AUTO	POSTRACE_NOSHOPS_MESSAGE_GAME_OVER	Din sidste bil er blevet beslaglagt. Du har kontanter nok, men ingen forretninger, hvor du kan købe en ny bil. Næste gang skal du nok finde forretningerne først!
0	AUTO	WM_WANTED	Efterlyst
0	AUTO	VINYL_PART_CFC_FACE_CRAZY2	EYE Kon - Loco 2
0	AUTO	CUST_VINYL_LOCKED	Denne vinyl er låst. Du kan låse op for den ved at finde forretningen, hvor den sælges.
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	РУССКИЙ
0	AUTO	VINYL_PART_KOE_CCX_2TONE1	To nuancer 1
0	AUTO	VINYL_PART_KOE_CCX_2TONE2	To nuancer 2
0	AUTO	VINYL_PART_KOE_CCX_2TONE3	To nuancer 3
0	AUTO	VINYL_PART_NIS_SYL_STRIPE	Unik stribe
0	AUTO	WM_STATS_TOTAL_STYLE_POINTS	Stilpoint i alt
0	AUTO	VINYL_PART_AFTERMARKET_KICKER	Kicker
0	AUTO	VINYL_PART_AFTERMARKET_FBRAKES	Fastbrakes
0	AUTO	POSTRACE_MESSAGE_AUDITION_FAILED	Du nåede ikke at komme ind i byen.
0	AUTO	VINYL_PART_CFC_BANDAGES_01	EYE Kon - Bandager
0	AUTO	VINYL_PART_CFC_BANDAGES_02	EYE Kon - Bandager 2
0	AUTO	WHL_ENK_WRC_00	Enkei WRC Tarmac
0	AUTO	CAREER_FLASHER_DOMINATION	Vilde præstationer
0	AUTO	CUST_VINYLS_COLOUR_TITLE	VINYLMALING
0	AUTO	SPOILER_1	Gentera Style 204
0	AUTO	SPOILER_2	Gentera Style 113
0	AUTO	SPOILER_3	Gentera Style 302
0	AUTO	SPOILER_4	Gentera Style 304
0	AUTO	SPOILER_5	Gentera Style 112
0	AUTO	SPOILER_6	Gentera Style 205
0	AUTO	SPOILER_7	Gentera Style 305
0	AUTO	SPOILER_8	Gentera Style 114
0	AUTO	SPOILER_9	Gentera Style 109
0	AUTO	VINYL_PART_DOD_CHA71_STRIPE	Unik stribe
0	AUTO	WHL_WEL_KRU_00	Weld Kruiser
0	AUTO	WM_STATS_CAREER_COMPLETE	Karrieren fuldført
0	AUTO	POSTRACE_IMPOUNDED	Beslaglagt!
0	AUTO	COMMON_CHANGE_CAR	SKIFT BIL
0	AUTO	WM_LEGEND_EVENT	Løb
0	AUTO	WHL_WEL_LEG_00	Weld Legacy
0	AUTO	VINYL_PART_GR_BLUEFLAME	Grizzly - Blå flammer
0	AUTO	WHL_HRE_541_00	HRE 541R
0	AUTO	WHL_HRE_549_00	HRE 549R
0	AUTO	WHL_HRE_597_00	HRE 597R
0	AUTO	VINYL_PART_DOD_CHR_STOCK	Standardgrafik
0	AUTO	POSTRACE_LBL_YOUR_TIME	Din tid
0	AUTO	ONLINE_TOS	Vilkår og Betingelser
0	AUTO	WHL_IFO_MAR_00	IForged Marquis
0	AUTO	VINYL_PART_AFTERMARKET_INNOVATE	Innovate Motorsports
0	AUTO	VINYL_PART_AFTERMARKET_AUTOMETER	Auto Meter
0	AUTO	VINYL_PART_2T_997GT3RS	To nuancer 9
0	AUTO	CUST_PEFORM_CURRENTLEVEL	Nuværende niveau:
0	AUTO	VINYL_PART_AFTERMARKET_AUTOPOWER	Autopower
0	AUTO	COMMON_GAME_NAME	Need for Speed™ Undercover
0	AUTO	VINYL_PART_NAT_NATIVE_BIRD	Vild fugl
0	AUTO	VINYL_PART_AC_CURL_SKULL	Atomic Cadaver - Skævt kranie
0	AUTO	VINYL_PART_CAD_CTS_STRIPE	Unik stribe
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	VINYL_PART_AEM_BLACKBOX	Black Box
0	AUTO	POSTRACE_GAME_OVER	Spillet er slut
0	AUTO	ON_COMMON_NUMBER_OF_PLAYERS	Spillere online
0	AUTO	VINYL_PART_AFTERMARKET_SPEARCO	Spearco
