#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Danish_Global.bin
#	File created on: 2025-05-23 18:34:51
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*JUSTÉR VINYL*
0	AUTO	CARNAME_MUSTANG03_SHORT	'03 Mustang GT
0	AUTO	PART_PERF_NITROUS_1	Dry Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_2	Nitrous Purge Kit
0	AUTO	PART_PERF_NITROUS_3	10 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_4	Wet Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_5	Nitrous Bottle Heater
0	AUTO	PART_PERF_NITROUS_6	15 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_7	Direct Port Nitrous Kit
0	AUTO	PART_PERF_NITROUS_8	Nitrous Pressure Controller
0	AUTO	PART_PERF_NITROUS_9	20 lb Nitrous Bottle
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	InTrax Suspension
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240SX (S13)
0	AUTO	CARNAME_CHEVROLET_CORVETTE	CHEVROLET CORVETTE C6
0	AUTO	ON_LOGIN_PASSWORD	Kodeord
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	GNS.-LÆNGDE
0	AUTO	TIP_DESC_NITROUSDRIFT	For at lave en drift skal du trække hurtigt i håndbremsen, når du befinder dig i et sving.\n\nNår du vil lave en nitro-drift, skal du begynde på samme måde som ved en almindeligt drift. Når bilen begynder at svinge ud, skal du aktivere din nitro og sikre dig, at du drejer kontra!
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	TIP_DESC_INTHEZONEMULTIPLIER	Stilmåleren har en numerisk point-fordobler til stilpoint. Den starter på x1 og kan gå op til x5. Jo højere din fordobler, jo hurtigere laver du point. Fordobleren nulstilles, når et nyt løb starter.
0	AUTO	HUD_CANYON_COLLISION_PENALTY	SAMMENSTØD: %$d POINT
0	AUTO	TIP_DESC_NITROUSOXIDE	Ingen bil kommer rigtigt i gang uden nitro, så sørg for at købe en pakke, når du har låst op for det. Du vil hurtigt blive afhængig af den. Byg farten op. Tag skridtet videre med nitro.\n\nNitro-måleren er placeret til højre på instrumentbrættet ved siden af speedometeret. Du trykker på nitro-knappen for at aktivere den. Hold knappen nede, hvis du vil fortsætte med at bruge nitroen. Slip knappen, når du vil stoppe. Når den er blevet aktiveret, vil den skulle oplade, og der vil gå et stykke tid, før du kan bruge den igen. Du oplader nitro-måleren ved at køre stærkt og lave vilde moves, der også giver dig stilpoint.
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	Corvette
0	AUTO	DEMO_CUSTOMIZATION_SELL	Autosculpt™ giver dig muligheden for at fremstille dine egne dele og tilpasse din bil specielt til dig.\nDu kan ændre på fælge, spoilere, luftindtag, kølerhjelme og karrosserier og skabe lige præcis de dele, du måtte ønske. Desuden kan du få personlige vinyler, ekstra ydelsesdele eller en specialtilpasset lakering og lave helt din egen stil til dig og dit slæng - hvad enten I kører i Tuner-, Muskel- eller Eksotiske biler.
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	Zoom
0	AUTO	STAT_NUM_TIMES_RACED	Antal gange spillet
0	AUTO	CARNAME_BMWM3_SHORT	M3 E46
0	AUTO	HUD_YOUR_TIME	DIN TID:
0	AUTO	PART_SPOILER_0	STANDARD
0	AUTO	PART_SPOILER_1	Jorgen
0	AUTO	PART_SPOILER_2	Rocker 5
0	AUTO	PART_SPOILER_3	Airforce
0	AUTO	PART_SPOILER_4	Arrow
0	AUTO	PART_SPOILER_5	Barracuda
0	AUTO	PART_SPOILER_6	Wildfire
