#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Danish_InGame.bin
#	File created on: 2025-05-23 18:34:56
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUD_STYLE_POINT_GRINDING	I KVÆRNEN: {0:d}
0	AUTO	HUD_STYLE_POINT_COP_TAKEOUT	POLITI USKADELIGGJORT: {0:d}
0	AUTO	HUD_STYLE_POINT_PURSUIT_BREAKER	FÆLDE: {0:d}
0	AUTO	HUD_SHOWROOM1	Forretning med street-bildele i Palm Harbor
0	AUTO	HUD_SHOWROOM2	Palm Harbors bilforretning - Niveau 3
0	AUTO	HUD_SHOWROOM3	Forretning med bildele i Sunset Hills
0	AUTO	HUD_SHOWROOM4	Sunset Hills' bilforretning - Niveau 2
0	AUTO	HUD_SHOWROOM5	Forretning med pro-bildele i Port Crescent
0	AUTO	HUD_SHOWROOM6	Port Crescents bilforretning - Niveau 1
0	AUTO	HUD_CIVIC_COP_IMMOBILIZED	Lokal politienhed uskadeliggjort\nOmkostninger for staten: {0:d} $
0	AUTO	T_Credits	
0	AUTO	SPOILER_2CF	Gentera Style 113 CF
0	AUTO	SPOILER_5CF	Gentera Style 112 CF
0	AUTO	SPOILER_8CF	Gentera Style 114 CF
0	AUTO	SPOILER_9CF	Gentera Style 109 CF
0	AUTO	HUD_STYLE_POINT_180_REVERSE	POLITIVENDING: {0:d}
0	AUTO	HUD_STYLE_POINT_360_REVERSE	BAGLÆNS 360'ER: {0:d}
0	AUTO	HUD_STYLE_POINT_540_REVERSE	BAGLÆNS 540-VENDING: {0:d}
0	AUTO	HUD_COPS	POLITI
0	AUTO	HUD_STYLE_POINT_720_REVERSE	BAGLÆNS 720-VENDING: {0:d}
0	AUTO	HUD_BUSTED	FANGET!
0	AUTO	HUD_FEDERAL_COP_IMMOBILIZED	FORBUNDSENHED USKADELIGGJORT\nOMKOST. FOR STAT: {0:d} $
0	AUTO	HUD_STYLE_POINT_DRAFT	SLIPSTRØM: {0:d}
0	AUTO	HUD_STYLE_POINT_DRIFT	DRIFT: {0:d}
0	AUTO	COMMON_X_METERS_SHORT_INT	{0:d} m
0	AUTO	COMMON_PERCENT	{0:d} %
0	AUTO	HUD_STYLE_POINT_POWERSLIDE	POWERSLIDE: {0:d}
0	AUTO	HUD_STYLE_POINT_BONUS_START	STARTBONUS: {0:d}
0	AUTO	SPOILER_11CF	Gentera Style 115 CF
0	AUTO	SPOILER_12CF	Gentera Style 118 CF
0	AUTO	SPOILER_13CF	Gentera Evo CF
0	AUTO	HUD_STYLE_POINT_NEAR_MISS_MULT	TÆT PÅ x{0:d}: {1:d}
0	AUTO	HUD_COOLDOWN	LAV PROFIL
0	AUTO	HUD_GO	KØR!
0	AUTO	HUD_STYLE_POINT_TOP_SPEED	TOPHASTIGHED: {0:d}
0	AUTO	HUD_POSITION	{0:d}/{1:d}
0	AUTO	COMMON_NEG	-{0:d}
0	AUTO	COMMON_POS	+{0:d}
0	AUTO	DIALOG_MSG_CONFIRM_EXIT_TO_FREEROAM	Er du sikker på, at du vil afslutte?\nAlle ændringer vil gå tabt.
0	AUTO	HUD_TARGET_ACHIEVED	Opgaven er klaret! Slip væk for at gennemføre
0	AUTO	HUD_STYLE_POINT_360_REVERSE_BURNOUT	BAGLÆNS DONUT: {0:d}
0	AUTO	HUD_STYLE_POINT_180	180-VENDING: {0:d}
0	AUTO	HUD_STYLE_POINT_360	360'ER: {0:d}
0	AUTO	HUD_STYLE_POINT_540	540-VENDING: {0:d}
0	AUTO	HUD_STYLE_POINT_720	720-VENDING: {0:d}
0	AUTO	HOOD_1CF	Araxis Sport CF
0	AUTO	HOOD_2CF	Araxis Sweeper CF
0	AUTO	HOOD_3CF	Araxis Blitz CF
0	AUTO	HOOD_4CF	Araxis Impact CF
0	AUTO	HOOD_5CF	Formula CF
0	AUTO	HOOD_6CF	Beast CF
0	AUTO	HOOD_7CF	Blister CF
0	AUTO	HOOD_8CF	Shaker CF
0	AUTO	HUD_STYLE_POINT_CLOSE_CALL	LIGE VED: {0:d}
0	AUTO	COMMON_RETURN_TO_EVENT	Vend tilbage til løbet
0	AUTO	HUD_STYLE_POINT_180_BURNOUT	180-BURNOUT: {0:d}
0	AUTO	HUD_STYLE_POINT_360_BURNOUT	DONUT: {0:d}
0	AUTO	HUD_LAP	OMGANG
0	AUTO	COMMON_PURSUIT_ONLY	Kun politijagt
0	AUTO	HUD_EVADE	SLIP VÆK
0	AUTO	HUD_TIMER	TID
0	AUTO	HUD_STYLE_POINT_CLEAN_SECTION	FEJLFRI SEKTION: {0:d}
0	AUTO	HUD_STYLE_POINT_COUNTING	POINTTÆLLER: {0:d}
0	AUTO	HUD_STYLE_POINT_NOS_DRIFT	NITRO-DRIFT: {0:d}
0	AUTO	HUD_STYLE_POINT_CLEAN_SECTION_MULT	FEJLFRI SEKTION x {0:d}: {1:d}
0	AUTO	HUD_CTS_CURRENT_OVER_TOTAL	{0:d} $ / {1:d} $
0	AUTO	HUD_TACH_ABBREV_NEUTRAL	F
0	AUTO	HUD_ROBBERS	RØVERE
0	AUTO	HUD_STYLE_POINT_BURNOUT	BURNOUT: {0:d}
0	AUTO	HUD_STYLE_POINT_RUBOUT	ELIMINERING:  {0:d}
0	AUTO	HUD_LEVEL_UP	INSTRUMENTBRÆTNIVEAU OP: {0:d}
0	AUTO	HUD_STYLE_POINT_PASSING	OVERHALING: {0:d}
0	AUTO	HUD_STYLE_POINT_WINNER	Vinder af løbet: {0:d}
0	AUTO	HUD_STATE_COP_IMMOBILIZED	STATSENHED USKADELIGGJORT\nOMKOST. FOR STAT: {0:d} $
0	AUTO	HUD_STYLE_POINT_RANKING_1	1.-plads: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_2	2.-plads: {0:d}
