#	Labrune - D:\Games\NFS Undercover\LANGUAGES\German_Frontend.bin
#	File created on: 2025-05-23 18:36:30
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	WM_STATS_ROAD_BLOCKS_DODGED_1_PURSUIT	Straßensperren umfahren (1 Verfolgung)
0	AUTO	_MC_CONFIRMTOO_MANY_SAVED_GAMES_TO_CREATE	Anzahl zu groß, Speichern nicht möglich
0	AUTO	VINYL_PART_DOD_VIP_STOCK	Serien-Grafik
0	AUTO	VINYL_PART_MIT_EVOX_2TONE1	Zweifarbig 1
0	AUTO	VINYL_PART_MIT_EVOX_2TONE2	Zweifarbig 2
0	AUTO	VINYL_PART_MIT_EVOX_2TONE3	Zweifarbig 3
0	AUTO	WM_REGIONSUMMARY_TOGGLE_JOBS	Jobs
0	AUTO	POSTRACE_NOSHOPS_MESSAGE_GAME_OVER	Dein letzter Wagen wurde eingezogen. Du hast das Geld, aber keinen Shop, um einen neuen Wagen zu kaufen. Such das nächste Mal nach den Auto-Shops.
0	AUTO	WM_WANTED	Wanted
0	AUTO	VINYL_PART_CFC_FACE_CRAZY2	EYE Kon Crazy 2
0	AUTO	CUST_VINYL_LOCKED	Dieses Vinyl ist gesperrt! Schalte es frei, indem du den entsprechenden Showroom findest
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	РУССКИЙ
0	AUTO	VINYL_PART_KOE_CCX_2TONE1	Zweifarbig 1
0	AUTO	VINYL_PART_KOE_CCX_2TONE2	Zweifarbig 2
0	AUTO	VINYL_PART_KOE_CCX_2TONE3	Zweifarbig 3
0	AUTO	VINYL_PART_NIS_SYL_STRIPE	Unikat Streifen
0	AUTO	WM_STATS_TOTAL_STYLE_POINTS	Zonen-Punkte gesamt
0	AUTO	VINYL_PART_AFTERMARKET_KICKER	Kicker
0	AUTO	VINYL_PART_AFTERMARKET_FBRAKES	Fastbrakes
0	AUTO	POSTRACE_MESSAGE_AUDITION_FAILED	Du hast es nicht bis in die Stadt geschafft.
0	AUTO	VINYL_PART_CFC_BANDAGES_01	EYE Kon Bandagen
0	AUTO	VINYL_PART_CFC_BANDAGES_02	EYE Kon Bandagen 2
0	AUTO	WHL_ENK_WRC_00	Enkei WRC Tarmac
0	AUTO	CAREER_FLASHER_DOMINATION	Dominanz
0	AUTO	CUST_VINYLS_COLOUR_TITLE	VINYL-FARBE
0	AUTO	SPOILER_1	Gentera Style 204
0	AUTO	SPOILER_2	Gentera Style 113
0	AUTO	SPOILER_3	Gentera Style 302
0	AUTO	SPOILER_4	Gentera Style 304
0	AUTO	SPOILER_5	Gentera Style 112
0	AUTO	SPOILER_6	Gentera Style 205
0	AUTO	SPOILER_7	Gentera Style 305
0	AUTO	SPOILER_8	Gentera Style 114
0	AUTO	SPOILER_9	Gentera Style 109
0	AUTO	VINYL_PART_DOD_CHA71_STRIPE	Unikat Streifen
0	AUTO	WHL_WEL_KRU_00	Weld Kruiser
0	AUTO	WM_STATS_CAREER_COMPLETE	Karriere abgeschlossen
0	AUTO	POSTRACE_IMPOUNDED	Eingezogen!
0	AUTO	COMMON_CHANGE_CAR	WAGEN  WECHSELN
0	AUTO	WM_LEGEND_EVENT	Event
0	AUTO	WHL_WEL_LEG_00	Weld Legacy
0	AUTO	VINYL_PART_GR_BLUEFLAME	Grizzly Blaue Flammen
0	AUTO	WHL_HRE_541_00	HRE 541R
0	AUTO	WHL_HRE_549_00	HRE 549R
0	AUTO	WHL_HRE_597_00	HRE 597R
0	AUTO	VINYL_PART_DOD_CHR_STOCK	Serien-Grafik
0	AUTO	POSTRACE_LBL_YOUR_TIME	Deine Zeit
0	AUTO	ONLINE_TOS	Nutzungsbedingungen
0	AUTO	WHL_IFO_MAR_00	IForged Marquis
0	AUTO	VINYL_PART_AFTERMARKET_INNOVATE	Innovate Motorsports
0	AUTO	VINYL_PART_AFTERMARKET_AUTOMETER	Auto Meter
0	AUTO	VINYL_PART_2T_997GT3RS	Zweifarbig 9
0	AUTO	CUST_PEFORM_CURRENTLEVEL	Aktuelle Stufe:
