#	Labrune - D:\Games\NFS Undercover\LANGUAGES\German_Global.bin
#	File created on: 2025-05-23 18:36:36
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*VINYL-UMFORMUNG*
0	AUTO	CARNAME_MUSTANG03_SHORT	'03 Mustang GT
0	AUTO	PART_PERF_NITROUS_1	Dry Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_2	Nitrous Purge Kit
0	AUTO	PART_PERF_NITROUS_3	10 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_4	Wet Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_5	Nitrous Bottle Heater
0	AUTO	PART_PERF_NITROUS_6	15 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_7	Direct Port Nitrous Kit
0	AUTO	PART_PERF_NITROUS_8	Nitrous Pressure Controller
0	AUTO	PART_PERF_NITROUS_9	20 lb Nitrous Bottle
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	InTrax Suspension
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240SX (S13)
0	AUTO	CARNAME_CHEVROLET_CORVETTE	CHEVROLET CORVETTE C6
0	AUTO	ON_LOGIN_PASSWORD	Passwort
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	DURCHSCHN. LÄNGE
0	AUTO	TIP_DESC_NITROUSDRIFT	Um einen Drift hinzulegen, tippe in der Kurve die Handbremse an.\n\nFür einen Nitro-Drift fährst du die Kurve genauso wie bei einem normalen Drift. Wenn der Wagen anfängt, sich in den Drift zu drehen, aktiviere dein Nitro und achte darauf, gegenzulenken.
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	TIP_DESC_INTHEZONEMULTIPLIER	Die 'In-the-Zone-Anzeige' besitzt einen numerischen Multiplikator für Zonen-Punkte. Der In-the-Zone-Multiplikator beginnt bei x1 und kann bis auf x5 steigen. Je höher der In-the-Zone-Multiplikator, desto schneller generierst du Zonen-Punkte. Der Multiplikator wird bei jedem Start eines Events zurückgesetzt.
0	AUTO	HUD_CANYON_COLLISION_PENALTY	KOLLISION %$d PKTE.
0	AUTO	TIP_DESC_NITROUSOXIDE	Keiner der Wagen besitzt serienmäßig ein Nitro-System. Vergiss deshalb nicht, ein Nitro-Paket in deinen Wagen einzubauen, sobald du Nitro freigeschaltet hast. Nitro für Temposchübe einzusetzen, wird schon bald das Normalste der Welt sein. Fahr mit mehr Speed. Fahr mit Nitro.\n\nDie Nitro-Anzeige befindet sich rechts in den Instrumenten, neben dem Tacho. Drücke zum Aktivieren die Nitro-Taste. Halte die Nitro-Taste gedrückt, um den Nitroschub aufrechtzuerhalten. Lass die Nitro-Taste los, wenn der Temposchub enden soll. Nach dem Aktivieren gibt es eine Aufladeverzögerung, bevor du das Nitro wieder aktivieren kannst. Lade deine Nitro-Anzeige auf, indem du schnell fährst und stylische Manöver hinlegst, für die du auch Zonen-Punkte bekommst.
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	Corvette
0	AUTO	DEMO_CUSTOMIZATION_SELL	Mit Autosculpt™ kannst du eigene Teile herstellen\nund damit deinen Wagen individuell gestalten.\nModifiziere Karosserie-Kits, Felgen, Motorhauben, Spoiler\nund Dachspoiler nach deinen Vorstellungen.\nAber das ist noch nicht alles.\nIndividuelle Lackierungen, Vinyls, Decals und Leistungstuningteile geben deiner Tuner-, Muscle Car- oder Exoten-Crew eine einzigartige Identität.
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	Zoom
0	AUTO	STAT_NUM_TIMES_RACED	Anzahl Spiele
0	AUTO	CARNAME_BMWM3_SHORT	M3 E46
0	AUTO	HUD_YOUR_TIME	DEINE ZEIT:
0	AUTO	PART_SPOILER_0	SERIE
0	AUTO	PART_SPOILER_1	Jorgen
0	AUTO	PART_SPOILER_2	Rocker 5
0	AUTO	PART_SPOILER_3	Airforce
0	AUTO	PART_SPOILER_4	Arrow
0	AUTO	PART_SPOILER_5	Barracuda
0	AUTO	PART_SPOILER_6	Wildfire
0	AUTO	PART_SPOILER_7	Ripper
0	AUTO	PART_SPOILER_8	Reaper
0	AUTO	PART_SPOILER_9	Borra
0	AUTO	CAREER_EVENT_CTS_10	Richte 10.000 $ Sachschaden an
0	AUTO	CAREER_EVENT_CTS_12	Richte 12.500 $ Sachschaden an
0	AUTO	CAREER_EVENT_CTS_15	Richte 15.000 $ Sachschaden an
0	AUTO	CAREER_EVENT_CTS_20	Richte 20.000 $ Sachschaden an
0	AUTO	CAREER_EVENT_CTS_25	Richte 25.000 $ Sachschaden an
0	AUTO	CAREER_EVENT_CTS_30	Richte 30.000 $ Sachschaden an
0	AUTO	CAREER_EVENT_CTS_40	Richte 40.000 $ Sachschaden an
0	AUTO	CAREER_EVENT_CTS_50	Richte 50.000 $ Sachschaden an
0	AUTO	CAREER_EVENT_CTS_75	Richte 75.000 $ Sachschaden an
0	AUTO	PAUSE_OPTION_CAR_DAMAGE	Wagenschaden
0	AUTO	CAREER_EVENT_HIGHWAY_BATTLE_METRIC	Führe mit 300 m Vorsprung, um zu gewinnen
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Versteck
0	AUTO	CARNAME_ACURA_NSX	ACURA NSX
0	AUTO	CARNAME_ACURA_RSX	ACURA RSX
0	AUTO	CUST_NEED_XBOX_LIVE_PROFILE	
0	AUTO	ON_GAME_ROOM_START_RACE_NOW_VOTE	Rennstart-Abstimmung: {0:d} von {1:d}
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	Clutch Masters
0	AUTO	ON_ERROR_CONFIRM_LEAVE_GAME	Möchtest du diesen Renntag verlassen? Alle Verbindungen mit dieser Spielergruppe gehen verloren.
0	AUTO	TIP_SUBJ_AUTOSCULPT	Autosculpt™
0	AUTO	CARNAME_997GT3RS_SHORT	911 GT3 RS
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	Kaizer
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	Motion Blur\n
0	AUTO	CARNAME_VEYRON_SHORT	Veyron
