#	Labrune - D:\Games\NFS Undercover\LANGUAGES\German_InGame.bin
#	File created on: 2025-05-23 18:36:42
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUD_STYLE_POINT_GRINDING	GRINDEN: {0:d}
0	AUTO	HUD_STYLE_POINT_COP_TAKEOUT	COPS AUSSCHALTEN: {0:d}
0	AUTO	HUD_STYLE_POINT_PURSUIT_BREAKER	VERFOLGUNGS-STOPPER: {0:d}
0	AUTO	HUD_SHOWROOM1	Palm Harbor Street-Teile-Shop
0	AUTO	HUD_SHOWROOM2	Palm Harbor Stufe-3-Autohändler
0	AUTO	HUD_SHOWROOM3	Sunset Hills Race-Teile-Shop
0	AUTO	HUD_SHOWROOM4	Sunset Hills Stufe-2-Autohändler
0	AUTO	HUD_SHOWROOM5	Port Crescent Pro-Teile-Shop
0	AUTO	HUD_SHOWROOM6	Port Crescent Stufe-1-Autohändler
0	AUTO	HUD_CIVIC_COP_IMMOBILIZED	Zivilstreife ausgeschaltet\nSachschaden: {0:d} $
0	AUTO	T_Credits	
0	AUTO	SPOILER_2CF	Gentera Style 113 CF
0	AUTO	SPOILER_5CF	Gentera Style 112 CF
0	AUTO	SPOILER_8CF	Gentera Style 114 CF
0	AUTO	SPOILER_9CF	Gentera Style 109 CF
0	AUTO	HUD_STYLE_POINT_180_REVERSE	J-TURN: {0:d}
0	AUTO	HUD_STYLE_POINT_360_REVERSE	360-WENDE: {0:d}
0	AUTO	HUD_STYLE_POINT_540_REVERSE	540ER RÜCKWÄRTS: {0:d}
0	AUTO	HUD_COPS	COPS
0	AUTO	HUD_STYLE_POINT_720_REVERSE	720ER RÜCKWÄRTS: {0:d}
0	AUTO	HUD_BUSTED	ERWISCHT!
0	AUTO	HUD_FEDERAL_COP_IMMOBILIZED	BUNDESEINHEIT AUSGESCHALTET\nSACHSCHADEN: {0:d} $
0	AUTO	HUD_STYLE_POINT_DRAFT	WINDSCHATTEN: {0:d}
0	AUTO	HUD_STYLE_POINT_DRIFT	DRIFT: {0:d}
0	AUTO	COMMON_X_METERS_SHORT_INT	{0:d} m
0	AUTO	COMMON_PERCENT	{0:d} %
0	AUTO	HUD_STYLE_POINT_POWERSLIDE	POWERSLIDE: {0:d}
0	AUTO	HUD_STYLE_POINT_BONUS_START	BONUS-START: {0:d}
0	AUTO	SPOILER_11CF	Gentera Style 115 CF
0	AUTO	SPOILER_12CF	Gentera Style 118 CF
0	AUTO	SPOILER_13CF	Gentera Evo CF
0	AUTO	HUD_STYLE_POINT_NEAR_MISS_MULT	KNAPP VORBEI x {0:d}: {1:d}
0	AUTO	HUD_COOLDOWN	FLUCHT
0	AUTO	HUD_GO	LOS!
0	AUTO	HUD_STYLE_POINT_TOP_SPEED	HÖCHSTGESCHWINDIGKEIT: {0:d}
0	AUTO	HUD_POSITION	{0:d}/{1:d}
0	AUTO	COMMON_NEG	-{0:d}
0	AUTO	COMMON_POS	+{0:d}
0	AUTO	DIALOG_MSG_CONFIRM_EXIT_TO_FREEROAM	Möchtest du wirklich beenden?\nAlle Änderungen gehen verloren.
0	AUTO	HUD_TARGET_ACHIEVED	Aufgabe erfüllt! Flüchte bis ins Ziel
0	AUTO	HUD_STYLE_POINT_360_REVERSE_BURNOUT	DONUT RÜCKWÄRTS: {0:d}
0	AUTO	HUD_STYLE_POINT_180	180ER-DREHUNG: {0:d}
0	AUTO	HUD_STYLE_POINT_360	360-DREHUNG: {0:d}
0	AUTO	HUD_STYLE_POINT_540	540ER DREHUNG: {0:d}
0	AUTO	HUD_STYLE_POINT_720	720ER DREHUNG: {0:d}
0	AUTO	HOOD_1CF	Araxis Sport CF
0	AUTO	HOOD_2CF	Araxis Sweeper CF
0	AUTO	HOOD_3CF	Araxis Blitz CF
0	AUTO	HOOD_4CF	Araxis Impact CF
0	AUTO	HOOD_5CF	Formula CF
0	AUTO	HOOD_6CF	Beast CF
0	AUTO	HOOD_7CF	Blister CF
0	AUTO	HOOD_8CF	Shaker CF
0	AUTO	HUD_STYLE_POINT_CLOSE_CALL	KNAPPE SACHE: {0:d}
0	AUTO	COMMON_RETURN_TO_EVENT	Zurück zum Event
0	AUTO	HUD_STYLE_POINT_180_BURNOUT	180ER BURNOUT: {0:d}
0	AUTO	HUD_STYLE_POINT_360_BURNOUT	DONUT: {0:d}
0	AUTO	HUD_LAP	RUNDE
0	AUTO	COMMON_PURSUIT_ONLY	Nur Verfolgung
0	AUTO	HUD_EVADE	FLUCHT
0	AUTO	HUD_TIMER	ZEIT
0	AUTO	HUD_STYLE_POINT_CLEAN_SECTION	SAUBERER ABSCHNITT: {0:d}
0	AUTO	HUD_STYLE_POINT_COUNTING	PUNKTE ZÄHLEN: {0:d}
0	AUTO	HUD_STYLE_POINT_NOS_DRIFT	NITRO-DRIFT: {0:d}
0	AUTO	HUD_STYLE_POINT_CLEAN_SECTION_MULT	SAUBERER ABSCHNITT x{0:d}: {1:d}
0	AUTO	HUD_CTS_CURRENT_OVER_TOTAL	{0:d} $ / {1:d} $
0	AUTO	HUD_TACH_ABBREV_NEUTRAL	N
0	AUTO	HUD_ROBBERS	RÄUBER
0	AUTO	HUD_STYLE_POINT_BURNOUT	BURNOUT: {0:d}
0	AUTO	HUD_STYLE_POINT_RUBOUT	AUSGESCHALTET: {0:d}
0	AUTO	HUD_LEVEL_UP	NÄCHSTE INSTRUMENTEN-STUFE: {0:d}
0	AUTO	HUD_STYLE_POINT_PASSING	ÜBERHOLEN: {0:d}
0	AUTO	HUD_STYLE_POINT_WINNER	Rennsieger: {0:d}
0	AUTO	HUD_STATE_COP_IMMOBILIZED	STAATSEINHEIT AUSGESCHALTET\nSACHSCHADEN: {0:d} $
0	AUTO	HUD_STYLE_POINT_RANKING_1	1. PLATZ: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_2	2. PLATZ: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_3	3. PLATZ: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_4	4. PLATZ: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_5	5. PLATZ: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_6	6. PLATZ: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_7	7. PLATZ: {0:d}
0	AUTO	HUD_STYLE_POINT_NEAR_MISS	KNAPP VORBEI: {0:d}
0	AUTO	HUD_SUV_COP_IMMOBILIZED	SUV-EINHEIT AUSGESCHALTET\nSACHSCHADEN: {0:d} $
0	AUTO	HUD_SUPER_STATE_COP_IMMOBILIZED	SUPER-STAATSEINHEIT AUSGESCHALTET\nSACHSCHADEN: {0:d} $
0	AUTO	HUD_MULTIPLIER	x
0	AUTO	HUD_TACH_ABBREV_REVERSE	R
0	AUTO	HUD_STYLE_POINT_AIR_JUMP	SPRUNG: {0:d}
0	AUTO	IN_GAME_TEMP	Temp
0	AUTO	HUD_COP_TAKEOUT	COPS AUSGESCHALTET
0	AUTO	HUD_STYLE_POINT_PENALTY_COUNT	ANZAHL STRAFEN: {0:d}
0	AUTO	COMMON_X_METERS_SHORT_STRING	{0:s} m
0	AUTO	HUD_STYLE_POINT_180_REVERSE_BURNOUT	180ER BURNOUT RÜCKWÄRTS: {0:d}
0	AUTO	HUD_STYLE_POINT_TRADE_PAINT	KONTAKT: {0:d}
0	AUTO	COMMON_X_FEET_SHORT_STRING	{0:s} ft
0	AUTO	HUD_STYLE_POINT_FIRST_POS	Erster Platz: {0:d}
0	AUTO	HUD_STYLE_POINT_REVERSE_BURNOUT	RÜCKWÄRTS-BURNOUT: {0:d}
