#	Labrune - D:\Games\NFS Undercover\LANGUAGES\English_Frontend.bin
#	File created on: 2025-05-23 18:35:22
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	WM_STATS_ROAD_BLOCKS_DODGED_1_PURSUIT	Roadblocks Dodged (1 pursuit)
0	AUTO	_MC_CONFIRMTOO_MANY_SAVED_GAMES_TO_CREATE	Too Many To Save
0	AUTO	VINYL_PART_DOD_VIP_STOCK	Stock Graphics
0	AUTO	VINYL_PART_MIT_EVOX_2TONE1	Two Tone 1
0	AUTO	VINYL_PART_MIT_EVOX_2TONE2	Two Tone 2
0	AUTO	VINYL_PART_MIT_EVOX_2TONE3	Two Tone 3
0	AUTO	WM_REGIONSUMMARY_TOGGLE_JOBS	Jobs
0	AUTO	POSTRACE_NOSHOPS_MESSAGE_GAME_OVER	Your last car has been impounded. You have the cash, but no shops to buy a new ride. Next time find the Car Shops.
0	AUTO	WM_WANTED	Wanted
0	AUTO	VINYL_PART_CFC_FACE_CRAZY2	EYE Kon Crazy 2
0	AUTO	CUST_VINYL_LOCKED	This vinyl is locked! Unlock it by discovering its showroom.
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	РУССКИЙ
0	AUTO	VINYL_PART_KOE_CCX_2TONE1	Two Tone 1
0	AUTO	VINYL_PART_KOE_CCX_2TONE2	Two Tone 2
0	AUTO	VINYL_PART_KOE_CCX_2TONE3	Two Tone 3
0	AUTO	VINYL_PART_NIS_SYL_STRIPE	Unique Stripe
0	AUTO	WM_STATS_TOTAL_STYLE_POINTS	Total Zone Points
0	AUTO	VINYL_PART_AFTERMARKET_KICKER	Kicker
0	AUTO	VINYL_PART_AFTERMARKET_FBRAKES	Fastbrakes
0	AUTO	POSTRACE_MESSAGE_AUDITION_FAILED	You failed to make it to the city.
0	AUTO	VINYL_PART_CFC_BANDAGES_01	EYE Kon Bandages
0	AUTO	VINYL_PART_CFC_BANDAGES_02	EYE Kon Bandages 2
0	AUTO	WHL_ENK_WRC_00	Enkei WRC Tarmac
0	AUTO	CAREER_FLASHER_DOMINATION	Domination
0	AUTO	CUST_VINYLS_COLOUR_TITLE	Vinyl Paint
0	AUTO	SPOILER_1	Gentera Style 204
0	AUTO	SPOILER_2	Gentera Style 113
0	AUTO	SPOILER_3	Gentera Style 302
0	AUTO	SPOILER_4	Gentera Style 304
0	AUTO	SPOILER_5	Gentera Style 112
0	AUTO	SPOILER_6	Gentera Style 205
0	AUTO	SPOILER_7	Gentera Style 305
0	AUTO	SPOILER_8	Gentera Style 114
0	AUTO	SPOILER_9	Gentera Style 109
0	AUTO	VINYL_PART_DOD_CHA71_STRIPE	Unique Stripe
0	AUTO	WHL_WEL_KRU_00	Weld Kruiser
0	AUTO	WM_STATS_CAREER_COMPLETE	Career Complete
0	AUTO	POSTRACE_IMPOUNDED	Impounded!
0	AUTO	COMMON_CHANGE_CAR	CHANGE CAR
0	AUTO	WM_LEGEND_EVENT	Event
0	AUTO	WHL_WEL_LEG_00	Weld Legacy
0	AUTO	VINYL_PART_GR_BLUEFLAME	Grizzly Blue Flames
