#	Labrune - D:\Games\NFS Undercover\LANGUAGES\English_Global.bin
#	File created on: 2025-05-23 18:35:33
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	Vinyl Transform
0	AUTO	CARNAME_MUSTANG03_SHORT	'03 Mustang GT
0	AUTO	PART_PERF_NITROUS_1	Dry Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_2	Nitrous Purge Kit
0	AUTO	PART_PERF_NITROUS_3	10 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_4	Wet Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_5	Nitrous Bottle Heater
0	AUTO	PART_PERF_NITROUS_6	15 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_7	Direct Port Nitrous Kit
0	AUTO	PART_PERF_NITROUS_8	Nitrous Pressure Controller
0	AUTO	PART_PERF_NITROUS_9	20 lb Nitrous Bottle
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	InTrax Suspension
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240SX (S13)
0	AUTO	CARNAME_CHEVROLET_CORVETTE	CHEVROLET CORVETTE C6
0	AUTO	ON_LOGIN_PASSWORD	Password
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	AVG LENGTH
0	AUTO	TIP_DESC_NITROUSDRIFT	To achieve a Drift, tap Handbrake while going around a corner.\n\nTo achieve a Nitrous Drift, enter a turn the same as you would with a Drift.  As the car starts to rotate into the Drift, activate your Nitrous and make sure you are countersteering.
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	TIP_DESC_INTHEZONEMULTIPLIER	The 'In The Zone' Meter has a numeric multiplier for Zone Points.  The 'In The Zone' Multiplier starts at x1 and can increase to x5.  The higher the 'In The Zone' Multiplier, the faster you generate Zone Points.  The Multiplier resets at the start of any event.
0	AUTO	HUD_CANYON_COLLISION_PENALTY	COLLISION %$d PTS
