#	Labrune - D:\Games\NFS Undercover\LANGUAGES\English_InGame.bin
#	File created on: 2025-05-23 18:35:42
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUD_STYLE_POINT_GRINDING	GRINDING: {0:d}
0	AUTO	HUD_STYLE_POINT_COP_TAKEOUT	COP TAKE OUT: {0:d}
0	AUTO	HUD_STYLE_POINT_PURSUIT_BREAKER	PURSUIT BREAKER: {0:d}
0	AUTO	HUD_SHOWROOM1	Palm Harbor Street Parts Shop
0	AUTO	HUD_SHOWROOM2	Palm Harbor Tier 3 Car Shop
0	AUTO	HUD_SHOWROOM3	Sunset Hills Race Parts Shop
0	AUTO	HUD_SHOWROOM4	Sunset Hills Tier 2 Car Shop
0	AUTO	HUD_SHOWROOM5	Port Crescent Pro Parts Shop
0	AUTO	HUD_SHOWROOM6	Port Crescent Tier 1 Car Shop
0	AUTO	HUD_CIVIC_COP_IMMOBILIZED	Civic Unit Disabled\nCost to State: ${0:d}
0	AUTO	T_Credits	
0	AUTO	SPOILER_2CF	Gentera Style 113 CF
0	AUTO	SPOILER_5CF	Gentera Style 112 CF
0	AUTO	SPOILER_8CF	Gentera Style 114 CF
0	AUTO	SPOILER_9CF	Gentera Style 109 CF
0	AUTO	HUD_STYLE_POINT_180_REVERSE	J-TURN: {0:d}
0	AUTO	HUD_STYLE_POINT_360_REVERSE	REVERSE 360: {0:d}
0	AUTO	HUD_STYLE_POINT_540_REVERSE	REVERSE 540: {0:d}
0	AUTO	HUD_COPS	COPS
0	AUTO	HUD_STYLE_POINT_720_REVERSE	REVERSE 720: {0:d}
0	AUTO	HUD_BUSTED	BUSTED!
0	AUTO	HUD_FEDERAL_COP_IMMOBILIZED	FEDERAL UNIT DISABLED\nCOST TO STATE: ${0:d}
0	AUTO	HUD_STYLE_POINT_DRAFT	DRAFT: {0:d}
0	AUTO	HUD_STYLE_POINT_DRIFT	DRIFT: {0:d}
0	AUTO	COMMON_X_METERS_SHORT_INT	{0:d} m
0	AUTO	COMMON_PERCENT	{0:d}%
0	AUTO	HUD_STYLE_POINT_POWERSLIDE	POWER SLIDE: {0:d}
0	AUTO	HUD_STYLE_POINT_BONUS_START	BONUS START: {0:d}
0	AUTO	SPOILER_11CF	Gentera Style 115 CF
0	AUTO	SPOILER_12CF	Gentera Style 118 CF
0	AUTO	SPOILER_13CF	Gentera Evo CF
0	AUTO	HUD_STYLE_POINT_NEAR_MISS_MULT	NEAR MISS x{0:d}: {1:d}
0	AUTO	HUD_COOLDOWN	COOLDOWN
0	AUTO	HUD_GO	GO!
0	AUTO	HUD_STYLE_POINT_TOP_SPEED	TOP SPEED: {0:d}
0	AUTO	HUD_POSITION	{0:d}/{1:d}
0	AUTO	COMMON_NEG	-{0:d}
0	AUTO	COMMON_POS	+{0:d}
0	AUTO	DIALOG_MSG_CONFIRM_EXIT_TO_FREEROAM	Are you sure you want to exit?\nAll changes will be lost.
0	AUTO	HUD_TARGET_ACHIEVED	Target Achieved! Evade to Finish
0	AUTO	HUD_STYLE_POINT_360_REVERSE_BURNOUT	REVERSE 360 BURNOUT: {0:d}
0	AUTO	HUD_STYLE_POINT_180	180 TURN: {0:d}
0	AUTO	HUD_STYLE_POINT_360	TURN 360: {0:d}
0	AUTO	HUD_STYLE_POINT_540	TURN 540: {0:d}
0	AUTO	HUD_STYLE_POINT_720	TURN 720: {0:d}
0	AUTO	HOOD_1CF	Araxis Sport CF
0	AUTO	HOOD_2CF	Araxis Sweeper CF
0	AUTO	HOOD_3CF	Araxis Blitz CF
0	AUTO	HOOD_4CF	Araxis Impact CF
0	AUTO	HOOD_5CF	Formula CF
0	AUTO	HOOD_6CF	Beast CF
0	AUTO	HOOD_7CF	Blister CF
0	AUTO	HOOD_8CF	Shaker CF
0	AUTO	HUD_STYLE_POINT_CLOSE_CALL	CLOSE CALL: {0:d}
0	AUTO	COMMON_RETURN_TO_EVENT	Return To Event
0	AUTO	HUD_STYLE_POINT_180_BURNOUT	180 BURNOUT: {0:d}
0	AUTO	HUD_STYLE_POINT_360_BURNOUT	360 BURNOUT: {0:d}
0	AUTO	HUD_LAP	LAP
0	AUTO	COMMON_PURSUIT_ONLY	Pursuit Only
0	AUTO	HUD_EVADE	EVADE
0	AUTO	HUD_TIMER	TIME
0	AUTO	HUD_STYLE_POINT_CLEAN_SECTION	CLEAN SECTION: {0:d}
0	AUTO	HUD_STYLE_POINT_COUNTING	POINTS COUNTING: {0:d}
0	AUTO	HUD_STYLE_POINT_NOS_DRIFT	NITROUS DRIFT: {0:d}
