#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Spanish_Global.bin
#	File created on: 2025-05-23 18:41:18
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	Transformar vinilo
0	AUTO	CARNAME_MUSTANG03_SHORT	'03 Mustang GT
0	AUTO	PART_PERF_NITROUS_1	Dry Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_2	Nitrous Purge Kit
0	AUTO	PART_PERF_NITROUS_3	10 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_4	Wet Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_5	Nitrous Bottle Heater
0	AUTO	PART_PERF_NITROUS_6	15 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_7	Direct Port Nitrous Kit
0	AUTO	PART_PERF_NITROUS_8	Nitrous Pressure Controller
0	AUTO	PART_PERF_NITROUS_9	20 lb Nitrous Bottle
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	InTrax Suspension
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240SX (S13)
0	AUTO	CARNAME_CHEVROLET_CORVETTE	CHEVROLET CORVETTE C6
0	AUTO	ON_LOGIN_PASSWORD	Contraseña
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	LONGITUD MEDIA
0	AUTO	TIP_DESC_NITROUSDRIFT	Para realizar un derrape, pulsa el freno de mano cuando tomes una curva.\n\nPara hacer un derrape con nitroso, toma una curva como lo harías con un derrape normal, y cuando el coche comience a derrapar, activa el nitroso y no te olvides de hacer contravolante.
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	TIP_DESC_INTHEZONEMULTIPLIER	El indicador de trazada perfecta tiene un multiplicador numérico para los puntos de trazada. El multiplicador de trazada perfecta comienza x1 y puede aumentar a x5. Cuanto más alto sea el multiplicador de trazada perfecta, más rápido se generarán los puntos de trazada perfecta. Al inicio de cada prueba el multiplicador vuelve a cero.
0	AUTO	HUD_CANYON_COLLISION_PENALTY	COLISIÓN %$d PTS
0	AUTO	TIP_DESC_NITROUSOXIDE	Los coches no empiezan con el nitroso, así que no olvides añadir un kit de óxido nitroso al coche en cuanto lo desbloquees. Pronto los impulsos de velocidad con nitroso serán el pan de cada día. Gana velocidad, activa el nitroso.\n \nEl indicador de nitroso se encuentra en la parte derecha del salpicadero, junto al indicador de velocidad. Pulsa el botón de nitroso para activarlo y mantenlo pulsado para conservar la inyección. Suéltalo cuando quieras que finalice el impulso de velocidad. Una vez activado, es necesario esperar un tiempo de recarga para poder volver a activarlo. Para recargarlo, conduce rápido y realiza maniobras espectaculares que aumenten los puntos de trazada perfecta.
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	Corvette
0	AUTO	DEMO_CUSTOMIZATION_SELL	Autosculpt™ te permite fabricar tus propias piezas para personalizar tu buga.\nAhora puedes modificar los kits de carrocería, las ruedas, capós, alerones y tomas de aire para crear exactamente las piezas que quieras.\nLa personalización no termina aquí. Puedes hacer graffitis en la carrocería, añadir vinilos y pegatinas personalizadas e instalar piezas de rendimiento para crear tu propia y exclusiva identidad de equipo tuner, muscle o exótico.
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	Zoom
0	AUTO	STAT_NUM_TIMES_RACED	Número de carreras
0	AUTO	CARNAME_BMWM3_SHORT	M3 E46
0	AUTO	HUD_YOUR_TIME	TU TIEMPO:
0	AUTO	PART_SPOILER_0	DE SERIE
0	AUTO	PART_SPOILER_1	Jorgen
0	AUTO	PART_SPOILER_2	Rocker 5
0	AUTO	PART_SPOILER_3	Airforce
0	AUTO	PART_SPOILER_4	Arrow
0	AUTO	PART_SPOILER_5	Barracuda
0	AUTO	PART_SPOILER_6	Wildfire
0	AUTO	PART_SPOILER_7	Ripper
0	AUTO	PART_SPOILER_8	Reaper
0	AUTO	PART_SPOILER_9	Borra
0	AUTO	CAREER_EVENT_CTS_10	Provoca 10.000 $ de coste para el estado
0	AUTO	CAREER_EVENT_CTS_12	Provoca 12.500 $ de coste para el estado
0	AUTO	CAREER_EVENT_CTS_15	Provoca 15.000 $ de coste para el estado
0	AUTO	CAREER_EVENT_CTS_20	Provoca 20.000 $ de coste para el estado
0	AUTO	CAREER_EVENT_CTS_25	Provoca 25.000 $ de coste para el estado
0	AUTO	CAREER_EVENT_CTS_30	Provoca 30.000 $ de coste para el estado
0	AUTO	CAREER_EVENT_CTS_40	Provoca 40.000 $ de coste para el estado
0	AUTO	CAREER_EVENT_CTS_50	Provoca 50.000 $ de coste para el estado
0	AUTO	CAREER_EVENT_CTS_75	Provoca 75.000 $ de coste para el estado
0	AUTO	PAUSE_OPTION_CAR_DAMAGE	Daños en el coche
0	AUTO	CAREER_EVENT_HIGHWAY_BATTLE_METRIC	Adelanta a tu rival 300 metros para ganar
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Escondrijo
0	AUTO	CARNAME_ACURA_NSX	ACURA NSX
0	AUTO	CARNAME_ACURA_RSX	ACURA RSX
0	AUTO	CUST_NEED_XBOX_LIVE_PROFILE	
0	AUTO	ON_GAME_ROOM_START_RACE_NOW_VOTE	Votación de Correr ahora: {0:d} de {1:d}
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	Clutch Masters
0	AUTO	ON_ERROR_CONFIRM_LEAVE_GAME	¿Seguro que quieres abandonar esta partida? Finalizará tu conexión con este grupo de jugadores.
0	AUTO	TIP_SUBJ_AUTOSCULPT	Autosculpt™
0	AUTO	CARNAME_997GT3RS_SHORT	911 GT3 RS
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	Kaizer
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	Motion Blur\n
0	AUTO	CARNAME_VEYRON_SHORT	Veyron
0	AUTO	TIP_SUBJ_SPIKESTRIPS	Bandas de clavos
0	AUTO	ON_ERROR_EMAIL_PASSWORD_FAILED	¡No se ha podido enviar la contraseña a la dirección de correo electrónico asociada al nombre de usuario!
0	AUTO	HUD_WRONG_WAY	¡SENTIDO CONTRARIO!
0	AUTO	VINYL_PART_AFTERMARKET_CASTROLSYNTEC	Castrol Syntec
0	AUTO	CAREER_FLASHER_R_ZACK_JOB	Acepta el trabajo de Zack
0	AUTO	WHL_ENK_WDM_00	Enkei WDM
0	AUTO	ON_LOGIN_AUTOLOGIN_TOGGLE	Activado inicio de sesión automático
0	AUTO	ON_RACE_IN_PROGRESS_CAR_SELECT	Carrera en marcha...
0	AUTO	CUST_VINYL_MIRROR	Espejo
0	AUTO	ON_CR_HUD_GET_TO_THE_DROPOFF	Ve al punto de recogida
0	AUTO	HUD_SHIFT_PERFECT	¡CAMBIO PERFECTO!
0	AUTO	COMMON_DRAG_COEFFICIENT	{0:f.2} ca
0	AUTO	DEMO_CONFIRM_QUIT	¿Seguro que quieres abandonar la carrera?\nEl progreso en la carrera se perderá por completo.
0	AUTO	TIP_DESC_BURNOUT	Para quemar rueda, haz girar el eje de tracción más de dos segundos en parado.
0	AUTO	MISSION_WARN_RACE_HECTOR	¡Hector casi ha llegado!
0	AUTO	CARNAME_S2000_SHORT	S2000
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	CAREER_EVENT_ESCAPE	¡Despista a la policía!
0	AUTO	CUST_ROTATECAMERA	ROTAR CÁMARA
0	AUTO	DEMO_CIRCUIT_RACE	Carrera de circuito.
0	AUTO	VINYL_PART_NF_HUNGARY	Hungría
0	AUTO	HUD_DRIFT_KEEP_MOVING	¡SIGUE ADELANTE!
0	AUTO	ON_GAMETYPE_RANKED	IGUALADA
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	HITO CONSEGUIDO
0	AUTO	OPTION_INTERFACE_TRANSMISSION	Transmisión
0	AUTO	OPTION_AUDIO_MUSIC	Música
0	AUTO	TIP_SUBJ_DAMAGEMETER	Indicador de daños
0	AUTO	CAREER_FLASHER_ZONE_MULTIPLIER	Multiplicador de trazada
0	AUTO	VINYL_PART_AFTERMARKET_LUNATI	Lunati
