#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Spanish_InGame.bin
#	File created on: 2025-05-23 18:41:22
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUD_STYLE_POINT_GRINDING	MACHACAMIENTO: {0:d}
0	AUTO	HUD_STYLE_POINT_COP_TAKEOUT	ELIMINACIÓN POLICIAL: {0:d}
0	AUTO	HUD_STYLE_POINT_PURSUIT_BREAKER	PAUSA DE PERSECUCIÓN: {0:d}
0	AUTO	HUD_SHOWROOM1	Tienda de piezas urbanas de Palm Harbor
0	AUTO	HUD_SHOWROOM2	Concesionario de nivel 3 de Palm Harbor
0	AUTO	HUD_SHOWROOM3	Tienda de piezas urbanas de Sunset Hills
0	AUTO	HUD_SHOWROOM4	Concesionario de nivel 2 de Sunset Hills
0	AUTO	HUD_SHOWROOM5	Tienda de piezas de competición de Port Crescent
0	AUTO	HUD_SHOWROOM6	Concesionario de nivel 1 de Port Crescent
0	AUTO	HUD_CIVIC_COP_IMMOBILIZED	Unidad civil inutilizada\nCoste para el estado: {0:d} $
0	AUTO	T_Credits	
0	AUTO	SPOILER_2CF	Gentera Style 113 CF
0	AUTO	SPOILER_5CF	Gentera Style 112 CF
0	AUTO	SPOILER_8CF	Gentera Style 114 CF
0	AUTO	SPOILER_9CF	Gentera Style 109 CF
0	AUTO	HUD_STYLE_POINT_180_REVERSE	GIRO EN J: {0:d}
0	AUTO	HUD_STYLE_POINT_360_REVERSE	MARCHA ATRÁS 360º: {0:d}
0	AUTO	HUD_STYLE_POINT_540_REVERSE	MARCHA ATRÁS 540º: {0:d}
0	AUTO	HUD_COPS	POLIS
0	AUTO	HUD_STYLE_POINT_720_REVERSE	MARCHA ATRÁS 720º: {0:d}
0	AUTO	HUD_BUSTED	¡ARRESTADO!
0	AUTO	HUD_FEDERAL_COP_IMMOBILIZED	UNIDAD FEDERAL INUTILIZADA\nCOSTE PARA EL ESTADO: {0:d} $
0	AUTO	HUD_STYLE_POINT_DRAFT	REBUFO: {0:d}
0	AUTO	HUD_STYLE_POINT_DRIFT	DERRAPE: {0:d}
0	AUTO	COMMON_X_METERS_SHORT_INT	{0:d} m
0	AUTO	COMMON_PERCENT	{0:d}%
0	AUTO	HUD_STYLE_POINT_POWERSLIDE	GRAN DERRAPE: {0:d}
0	AUTO	HUD_STYLE_POINT_BONUS_START	ARRANQUE CON BONIFICACIÓN: {0:d}
0	AUTO	SPOILER_11CF	Gentera Style 115 CF
0	AUTO	SPOILER_12CF	Gentera Style 118 CF
0	AUTO	SPOILER_13CF	Gentera Evo CF
0	AUTO	HUD_STYLE_POINT_NEAR_MISS_MULT	ROCES x{0:d}: {1:d}
0	AUTO	HUD_COOLDOWN	ZONA SEGURA
0	AUTO	HUD_GO	¡VAMOS!
0	AUTO	HUD_STYLE_POINT_TOP_SPEED	VELOCIDAD MÁXIMA: {0:d}
0	AUTO	HUD_POSITION	{0:d}/{1:d}
0	AUTO	COMMON_NEG	-{0:d}
0	AUTO	COMMON_POS	+{0:d}
0	AUTO	DIALOG_MSG_CONFIRM_EXIT_TO_FREEROAM	¿Seguro que quieres salir?\nLos cambios se perderán por completo.
0	AUTO	HUD_TARGET_ACHIEVED	¡Objetivo conseguido! Huye hasta la meta
0	AUTO	HUD_STYLE_POINT_360_REVERSE_BURNOUT	CERO MARCHA ATRÁS DE 360º: {0:d}
0	AUTO	HUD_STYLE_POINT_180	GIRO DE 180º: {0:d}
0	AUTO	HUD_STYLE_POINT_360	GIRO DE 360º: {0:d}
0	AUTO	HUD_STYLE_POINT_540	GIRO DE 540º: {0:d}
0	AUTO	HUD_STYLE_POINT_720	GIRO DE 720º: {0:d}
0	AUTO	HOOD_1CF	Araxis Sport CF
0	AUTO	HOOD_2CF	Araxis Sweeper CF
0	AUTO	HOOD_3CF	Araxis Blitz CF
0	AUTO	HOOD_4CF	Araxis Impact CF
0	AUTO	HOOD_5CF	Formula CF
0	AUTO	HOOD_6CF	Beast CF
0	AUTO	HOOD_7CF	Blister CF
0	AUTO	HOOD_8CF	Shaker CF
0	AUTO	HUD_STYLE_POINT_CLOSE_CALL	POR UN PELO: {0:d}
0	AUTO	COMMON_RETURN_TO_EVENT	Volver a prueba
0	AUTO	HUD_STYLE_POINT_180_BURNOUT	QUEMAR RUEDA 180º: {0:d}
0	AUTO	HUD_STYLE_POINT_360_BURNOUT	CERO DE 360º: {0:d}
0	AUTO	HUD_LAP	VUELTA
0	AUTO	COMMON_PURSUIT_ONLY	Solo persecución
0	AUTO	HUD_EVADE	EVADIDO
0	AUTO	HUD_TIMER	TIEMPO
0	AUTO	HUD_STYLE_POINT_CLEAN_SECTION	SECCIÓN COMPLETA: {0:d}
0	AUTO	HUD_STYLE_POINT_COUNTING	PUNTOS DE ESTILO: {0:d}
0	AUTO	HUD_STYLE_POINT_NOS_DRIFT	DERRAPE CON NITROSO: {0:d}
0	AUTO	HUD_STYLE_POINT_CLEAN_SECTION_MULT	SECCIÓN COMPLETA x{0:d}: {1:d}
0	AUTO	HUD_CTS_CURRENT_OVER_TOTAL	{0:d} $/ {1:d} $
0	AUTO	HUD_TACH_ABBREV_NEUTRAL	N
0	AUTO	HUD_ROBBERS	LADRONES
0	AUTO	HUD_STYLE_POINT_BURNOUT	QUEMAR RUEDA: {0:d}
0	AUTO	HUD_STYLE_POINT_RUBOUT	EMBESTIDA: {0:d}
0	AUTO	HUD_LEVEL_UP	AUMENTO DE NIVEL DE SALPICADERO: {0:d}
0	AUTO	HUD_STYLE_POINT_PASSING	ADELANTAMIENTO: {0:d}
0	AUTO	HUD_STYLE_POINT_WINNER	Ganador de la carrera: {0:d}
0	AUTO	HUD_STATE_COP_IMMOBILIZED	UNIDAD ESTATAL INUTILIZADA\nCOSTE PARA EL ESTADO: {0:d} $
0	AUTO	HUD_STYLE_POINT_RANKING_1	1ª POSICIÓN: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_2	2ª POSICIÓN: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_3	3ª POSICIÓN: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_4	4ª POSICIÓN: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_5	5ª POSICIÓN: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_6	6ª POSICIÓN: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_7	7ª POSICIÓN: {0:d}
0	AUTO	HUD_STYLE_POINT_NEAR_MISS	ROCES: {0:d}
0	AUTO	HUD_SUV_COP_IMMOBILIZED	UNIDAD TODOTERRENO INUTILIZADA\nCOSTE PARA EL ESTADO: {0:d} $
0	AUTO	HUD_SUPER_STATE_COP_IMMOBILIZED	UNIDAD SUPERESTATAL INUTILIZADA\nCOSTE PARA EL ESTADO: {0:d} $
0	AUTO	HUD_MULTIPLIER	x
0	AUTO	HUD_TACH_ABBREV_REVERSE	R
0	AUTO	HUD_STYLE_POINT_AIR_JUMP	SALTO: {0:d}
0	AUTO	IN_GAME_TEMP	Temp
0	AUTO	HUD_COP_TAKEOUT	POLICÍAS ELIMINADOS
0	AUTO	HUD_STYLE_POINT_PENALTY_COUNT	CUENTA DE PENALIZACIÓN: {0:d}
0	AUTO	COMMON_X_METERS_SHORT_STRING	{0:s} m
0	AUTO	HUD_STYLE_POINT_180_REVERSE_BURNOUT	QUEMAR RUEDA MARCHA ATRÁS 180º: {0:d}
0	AUTO	HUD_STYLE_POINT_TRADE_PAINT	COLISIÓN: {0:d}
0	AUTO	COMMON_X_FEET_SHORT_STRING	{0:s} ps
0	AUTO	HUD_STYLE_POINT_FIRST_POS	Primera posición: {0:d}
0	AUTO	HUD_STYLE_POINT_REVERSE_BURNOUT	QUEMAR RUEDA MARCHA ATRÁS: {0:d}
