#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Finnish_Frontend.bin
#	File created on: 2025-05-23 18:35:53
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	WM_STATS_ROAD_BLOCKS_DODGED_1_PURSUIT	Vältetyt tiesulut yhdessä takaa-ajossa
0	AUTO	_MC_CONFIRMTOO_MANY_SAVED_GAMES_TO_CREATE	Pelitallennuksia on liikaa
0	AUTO	VINYL_PART_DOD_VIP_STOCK	Peruskuviointi
0	AUTO	VINYL_PART_MIT_EVOX_2TONE1	Kaksivärinen 1
0	AUTO	VINYL_PART_MIT_EVOX_2TONE2	Kaksivärinen 2
0	AUTO	VINYL_PART_MIT_EVOX_2TONE3	Kaksivärinen 3
0	AUTO	WM_REGIONSUMMARY_TOGGLE_JOBS	Keikat
0	AUTO	POSTRACE_NOSHOPS_MESSAGE_GAME_OVER	Viimeinen kärrysi on takavarikoitu. Sinulla on käteistä, mutta ei hajuakaan kauppojen sijainnista. Etsi ensi kerralla ainakin yksi kaupoista, ennen kuin käy huonosti.
0	AUTO	WM_WANTED	Kyttien kauhu
0	AUTO	VINYL_PART_CFC_FACE_CRAZY2	EYE Kon: Kaheli 2
0	AUTO	CUST_VINYL_LOCKED	Tämä tarra on lukittu! Avaa tarra etsimällä sen näyttelytila.
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	РУССКИЙ
0	AUTO	VINYL_PART_KOE_CCX_2TONE1	Kaksivärinen 1
0	AUTO	VINYL_PART_KOE_CCX_2TONE2	Kaksivärinen 2
0	AUTO	VINYL_PART_KOE_CCX_2TONE3	Kaksivärinen 3
0	AUTO	VINYL_PART_NIS_SYL_STRIPE	Erikoisraita
0	AUTO	WM_STATS_TOTAL_STYLE_POINTS	Tyylipisteet yhteensä
0	AUTO	VINYL_PART_AFTERMARKET_KICKER	Kicker
0	AUTO	VINYL_PART_AFTERMARKET_FBRAKES	Fastbrakes
0	AUTO	POSTRACE_MESSAGE_AUDITION_FAILED	Et selviytynyt kaupunkiin asti.
0	AUTO	VINYL_PART_CFC_BANDAGES_01	EYE Kon: Siteet 1
0	AUTO	VINYL_PART_CFC_BANDAGES_02	EYE Kon: Siteet 2
0	AUTO	WHL_ENK_WRC_00	Enkei WRC Tarmac
0	AUTO	CAREER_FLASHER_DOMINATION	Hallinta
0	AUTO	CUST_VINYLS_COLOUR_TITLE	Tarran väri
0	AUTO	SPOILER_1	Gentera Style 204
0	AUTO	SPOILER_2	Gentera Style 113
0	AUTO	SPOILER_3	Gentera Style 302
0	AUTO	SPOILER_4	Gentera Style 304
0	AUTO	SPOILER_5	Gentera Style 112
0	AUTO	SPOILER_6	Gentera Style 205
0	AUTO	SPOILER_7	Gentera Style 305
0	AUTO	SPOILER_8	Gentera Style 114
0	AUTO	SPOILER_9	Gentera Style 109
0	AUTO	VINYL_PART_DOD_CHA71_STRIPE	Erikoisraita
0	AUTO	WHL_WEL_KRU_00	Weld Kruiser
0	AUTO	WM_STATS_CAREER_COMPLETE	Urasta suoritettu
