#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Finnish_Global.bin
#	File created on: 2025-05-23 18:35:59
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	Muokkaa tarraa
0	AUTO	CARNAME_MUSTANG03_SHORT	'03 Mustang GT
0	AUTO	PART_PERF_NITROUS_1	Dry Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_2	Nitrous Purge Kit
0	AUTO	PART_PERF_NITROUS_3	10 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_4	Wet Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_5	Nitrous Bottle Heater
0	AUTO	PART_PERF_NITROUS_6	15 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_7	Direct Port Nitrous Kit
0	AUTO	PART_PERF_NITROUS_8	Nitrous Pressure Controller
0	AUTO	PART_PERF_NITROUS_9	20 lb Nitrous Bottle
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	InTrax Suspension
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240SX (S13)
0	AUTO	CARNAME_CHEVROLET_CORVETTE	CHEVROLET CORVETTE C6
0	AUTO	ON_LOGIN_PASSWORD	Salasana
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	DRIFTIN KESKIPITUUS
0	AUTO	TIP_DESC_NITROUSDRIFT	Voit driftata napauttamalla mutkassa käsijarrua.\n\nIlokaasudriftin voit aloittaa ajamalla mutkaan samalla tavalla kuin normaalistikin driftatessa. Kun auto kääntyy driftiin, käytä ilokaasua ja ohjaa pois mutkasta.
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	TIP_DESC_INTHEZONEMULTIPLIER	Tyylimittari näyttää tyylipisteiden kertoimen. Tyylikerroin alkaa yhdestä ja voi kohota jopa viiteen. Mitä korkeampi kerroin, sitä enemmän keräät tyylipisteitä. Kerroin kuitenkin nollataan jokaisen kisan alussa.
0	AUTO	HUD_CANYON_COLLISION_PENALTY	KOLARI: %$d P
0	AUTO	TIP_DESC_NITROUSOXIDE	Ilokaasujärjestelmä ei kuulu autojen tehdasvarustukseen, joten muista ostaa autoon ilokaasupaketti heti, kun se on mahdollista. Ilokaasun avulla pääset nimittäin tykittämään entistäkin lujempaa. Kerää vauhtia ja ota kaikki irti ilokaasusta.\n\nIlokaasumittari on mittaristossa nopeusmittarin oikealla puolella. Käytä ilokaasua painamalla ilokaasunäppäintä. Ilokaasu virtaa niin pitkään kuin pidät ilokaasunäppäintä alhaalla. Kun olet tykittänyt tarpeeksi, vapauta ilokaasunäppäin. Kun ilokaasu on käytetty loppuun, säiliö pitää ladata, ennen kuin ilokaasua voidaan käyttää uudelleen. Voit täyttää ilokaasusäiliötä ajamalla nopeasti ja keräämällä tyylipisteitä näyttävillä liikkeillä.
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	Corvette
0	AUTO	DEMO_CUSTOMIZATION_SELL	Autosculpt™-toiminnon avulla voit luoda omia osia, joilla voit kohentaa kärryäsi.\nVoit muokata korisarjoja, vanteita, konepeltejä, spoilereita sekä kattoskuuppeja ja luoda juuri sellaisen katutykin kuin haluat.\nEikä siinä vielä kaikki: vedä kärrysi pintaan haluamasi väri, lisää näyttäviä teippauksia ja pulttaa kiinni tehokkaita viritysosia, niin käsissäsi on pian rassi, joka kertoo kaikille, millainen juuri sinun sakkisi tyyli on.
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	Tarkastele
0	AUTO	STAT_NUM_TIMES_RACED	Pelikertoja
0	AUTO	CARNAME_BMWM3_SHORT	M3 E46
0	AUTO	HUD_YOUR_TIME	AIKA:
0	AUTO	PART_SPOILER_0	PERUSMALLI
0	AUTO	PART_SPOILER_1	Autobahn
0	AUTO	PART_SPOILER_2	Rokkari
0	AUTO	PART_SPOILER_3	Ikarus
0	AUTO	PART_SPOILER_4	Salama
0	AUTO	PART_SPOILER_5	Barrakuda
0	AUTO	PART_SPOILER_6	Sukkula
0	AUTO	PART_SPOILER_7	Pyöveli
0	AUTO	PART_SPOILER_8	Viikate
0	AUTO	PART_SPOILER_9	Viima
0	AUTO	CAREER_EVENT_CTS_10	Aiheuta osavaltiolle kuluja 10 000 $
0	AUTO	CAREER_EVENT_CTS_12	Aiheuta osavaltiolle kuluja 12 500 $
0	AUTO	CAREER_EVENT_CTS_15	Aiheuta osavaltiolle kuluja 15 000 $
0	AUTO	CAREER_EVENT_CTS_20	Aiheuta osavaltiolle kuluja 20 000 $
0	AUTO	CAREER_EVENT_CTS_25	Aiheuta osavaltiolle kuluja 25 000 $
0	AUTO	CAREER_EVENT_CTS_30	Aiheuta osavaltiolle kuluja 30 000 $
0	AUTO	CAREER_EVENT_CTS_40	Aiheuta osavaltiolle kuluja 40 000 $
0	AUTO	CAREER_EVENT_CTS_50	Aiheuta osavaltiolle kuluja 50 000 $
0	AUTO	CAREER_EVENT_CTS_75	Aiheuta osavaltiolle kuluja 75 000 $
0	AUTO	PAUSE_OPTION_CAR_DAMAGE	Auton vauriot
0	AUTO	CAREER_EVENT_HIGHWAY_BATTLE_METRIC	Kerää 300 metriä etumatkaa, niin voitat
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Piilopaikka
0	AUTO	CARNAME_ACURA_NSX	ACURA NSX
0	AUTO	CARNAME_ACURA_RSX	ACURA RSX
0	AUTO	CUST_NEED_XBOX_LIVE_PROFILE	
0	AUTO	ON_GAME_ROOM_START_RACE_NOW_VOTE	Valmiina aloittamaan: {0:d}/{1:d}
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	Clutch Masters
0	AUTO	ON_ERROR_CONFIRM_LEAVE_GAME	Haluatko varmasti poistua pelistä? Yhteys tähän pelaajaryhmään katkaistaan.
0	AUTO	TIP_SUBJ_AUTOSCULPT	Autosculpt™
0	AUTO	CARNAME_997GT3RS_SHORT	911 GT3 RS
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	Kaizer
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	Liikesumennus
0	AUTO	CARNAME_VEYRON_SHORT	Veyron
0	AUTO	TIP_SUBJ_SPIKESTRIPS	Piikkimatot
0	AUTO	ON_ERROR_EMAIL_PASSWORD_FAILED	Salasanaa ei voitu lähettää ilmoittamaasi sähköpostiosoitteeseen.
0	AUTO	HUD_WRONG_WAY	VÄÄRÄ SUUNTA!
0	AUTO	VINYL_PART_AFTERMARKET_CASTROLSYNTEC	Castrol Syntec
0	AUTO	CAREER_FLASHER_R_ZACK_JOB	Hoida Zackin keikka
0	AUTO	WHL_ENK_WDM_00	Enkei WDM
0	AUTO	ON_LOGIN_AUTOLOGIN_TOGGLE	Automaattinen sisäänkirjautuminen päällä
0	AUTO	ON_RACE_IN_PROGRESS_CAR_SELECT	Kisa on käynnissä...
0	AUTO	CUST_VINYL_MIRROR	Peilaus
0	AUTO	ON_CR_HUD_GET_TO_THE_DROPOFF	Aja toimituspaikkaan!
0	AUTO	HUD_SHIFT_PERFECT	TÄYDELLINEN VAIHTO!
0	AUTO	COMMON_DRAG_COEFFICIENT	{0:f.2} Cd
0	AUTO	DEMO_CONFIRM_QUIT	Haluatko varmasti lopettaa kisan?\nTällöin menetät nykyisen pelitilanteesi.
0	AUTO	TIP_DESC_BURNOUT	Voit polttaa kumia sudittamalla vetäviä pyöriä yli kahden sekunnin ajan paikallaan ollessasi.
0	AUTO	MISSION_WARN_RACE_HECTOR	Hector on pian perillä!
0	AUTO	CARNAME_S2000_SHORT	S2000
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	CAREER_EVENT_ESCAPE	Karista kytät!
0	AUTO	CUST_ROTATECAMERA	KÄÄNNÄ KUVAKULMAA
0	AUTO	DEMO_CIRCUIT_RACE	Ratakisa
0	AUTO	VINYL_PART_NF_HUNGARY	Unkari
0	AUTO	HUD_DRIFT_KEEP_MOVING	PYSY LIIKKEELLÄ!
0	AUTO	ON_GAMETYPE_RANKED	ARVOKISA
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	VIRSTANPYLVÄS SAAVUTETTU
0	AUTO	OPTION_INTERFACE_TRANSMISSION	Vaihteisto
0	AUTO	OPTION_AUDIO_MUSIC	Musiikki
0	AUTO	TIP_SUBJ_DAMAGEMETER	Vauriomittari
0	AUTO	CAREER_FLASHER_ZONE_MULTIPLIER	Tyylikerroin
0	AUTO	VINYL_PART_AFTERMARKET_LUNATI	Lunati
