#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Finnish_InGame.bin
#	File created on: 2025-05-23 18:36:04
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUD_STYLE_POINT_GRINDING	HÖYLÄYS: {0:d}
0	AUTO	HUD_STYLE_POINT_COP_TAKEOUT	ROMUTETTU POLIISIAUTO: {0:d}
0	AUTO	HUD_STYLE_POINT_PURSUIT_BREAKER	JAHTIHIDASTE: {0:d}
0	AUTO	HUD_SHOWROOM1	Palm Harborin katuosien kauppa
0	AUTO	HUD_SHOWROOM2	Palm Harborin 3. tason autokauppa
0	AUTO	HUD_SHOWROOM3	Sunset Hillsin sporttiosien kauppa
0	AUTO	HUD_SHOWROOM4	Sunset Hillsin 2. tason autokauppa
0	AUTO	HUD_SHOWROOM5	Port Crescentin kilpaosien kauppa
0	AUTO	HUD_SHOWROOM6	Port Crescentin 1. tason autokauppa
0	AUTO	HUD_CIVIC_COP_IMMOBILIZED	Poliisin partioauto\nOsavaltion kulut: {0:d} $
0	AUTO	T_Credits	
0	AUTO	SPOILER_2CF	Gentera Style 113 CF
0	AUTO	SPOILER_5CF	Gentera Style 112 CF
0	AUTO	SPOILER_8CF	Gentera Style 114 CF
0	AUTO	SPOILER_9CF	Gentera Style 109 CF
0	AUTO	HUD_STYLE_POINT_180_REVERSE	PAKKIKÄÄNNÖS: {0:d}
0	AUTO	HUD_STYLE_POINT_360_REVERSE	360° PAKKIKÄÄNNÖS: {0:d}
0	AUTO	HUD_STYLE_POINT_540_REVERSE	540° PYÖRÄHDYS PAKILLA: {0:d}
0	AUTO	HUD_COPS	KYTÄT
0	AUTO	HUD_STYLE_POINT_720_REVERSE	720° PYÖRÄHDYS PAKILLA: {0:d}
0	AUTO	HUD_BUSTED	PIDÄTETTY!
0	AUTO	HUD_FEDERAL_COP_IMMOBILIZED	LIITTOVALTION POLIISIAUTO\nOSAVALTION KULUT: ${0:d}
0	AUTO	HUD_STYLE_POINT_DRAFT	IMUTTELU: {0:d}
0	AUTO	HUD_STYLE_POINT_DRIFT	DRIFTI: {0:d}
0	AUTO	COMMON_X_METERS_SHORT_INT	{0:d} m
0	AUTO	COMMON_PERCENT	{0:d} %
0	AUTO	HUD_STYLE_POINT_POWERSLIDE	SIVULUISU: {0:d}
0	AUTO	HUD_STYLE_POINT_BONUS_START	LÄHTÖBONUS: {0:d}
0	AUTO	SPOILER_11CF	Gentera Style 115 CF
0	AUTO	SPOILER_12CF	Gentera Style 118 CF
0	AUTO	SPOILER_13CF	Gentera Evo CF
0	AUTO	HUD_STYLE_POINT_NEAR_MISS_MULT	HIVUTTELU x{0:d}: {1:d}
0	AUTO	HUD_COOLDOWN	TAKAA-AJO HIIPUU
0	AUTO	HUD_GO	ANNA MENNÄ!
0	AUTO	HUD_STYLE_POINT_TOP_SPEED	HUIPPUNOPEUS: {0:d}
0	AUTO	HUD_POSITION	{0:d}/{1:d}
0	AUTO	COMMON_NEG	-{0:d}
0	AUTO	COMMON_POS	+{0:d}
0	AUTO	DIALOG_MSG_CONFIRM_EXIT_TO_FREEROAM	Haluatko varmasti lopettaa?\nMenetät tällöin pelitilanteesi.
0	AUTO	HUD_TARGET_ACHIEVED	Tavoite saavutettu! Pakene nyt
0	AUTO	HUD_STYLE_POINT_360_REVERSE_BURNOUT	360° KUMINPOLTTO PAKILLA: {0:d}
0	AUTO	HUD_STYLE_POINT_180	180° KÄÄNNÖS: {0:d}
0	AUTO	HUD_STYLE_POINT_360	360° KÄÄNNÖS: {0:d}
0	AUTO	HUD_STYLE_POINT_540	540° PYÖRÄHDYS: {0:d}
0	AUTO	HUD_STYLE_POINT_720	720° PYÖRÄHDYS: {0:d}
0	AUTO	HOOD_1CF	Araxis Sport CF
0	AUTO	HOOD_2CF	Araxis Sweeper CF
0	AUTO	HOOD_3CF	Araxis Blitz CF
0	AUTO	HOOD_4CF	Araxis Impact CF
0	AUTO	HOOD_5CF	Formula CF
0	AUTO	HOOD_6CF	Beast CF
0	AUTO	HOOD_7CF	Blister CF
0	AUTO	HOOD_8CF	Shaker CF
0	AUTO	HUD_STYLE_POINT_CLOSE_CALL	TÄPÄRÄ TILANNE: {0:d}
0	AUTO	COMMON_RETURN_TO_EVENT	Palaa kisaan
0	AUTO	HUD_STYLE_POINT_180_BURNOUT	180° PYÖRÄHDYS: {0:d}
0	AUTO	HUD_STYLE_POINT_360_BURNOUT	360° KUMINPOLTTO: {0:d}
0	AUTO	HUD_LAP	KIERROS
