#	Labrune - D:\Games\NFS Undercover\LANGUAGES\French_Frontend.bin
#	File created on: 2025-05-23 18:36:12
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	WM_STATS_ROAD_BLOCKS_DODGED_1_PURSUIT	Barrages évités (1 poursuite)
0	AUTO	_MC_CONFIRMTOO_MANY_SAVED_GAMES_TO_CREATE	Trop de données à sauvegarder
0	AUTO	VINYL_PART_DOD_VIP_STOCK	Style d'origine
0	AUTO	VINYL_PART_MIT_EVOX_2TONE1	Deux tons 1
0	AUTO	VINYL_PART_MIT_EVOX_2TONE2	Deux tons 2
0	AUTO	VINYL_PART_MIT_EVOX_2TONE3	Deux tons 3
0	AUTO	WM_REGIONSUMMARY_TOGGLE_JOBS	Missions
0	AUTO	POSTRACE_NOSHOPS_MESSAGE_GAME_OVER	Votre dernière voiture a été confisquée. Vous auriez de quoi en acheter une, mais aucune concession automobile n'est disponible. La prochaine fois, trouvez-les.
0	AUTO	WM_WANTED	Traque
0	AUTO	VINYL_PART_CFC_FACE_CRAZY2	EYE Kon Fou 2
0	AUTO	CUST_VINYL_LOCKED	Ce vinyl est bloqué ! Débloquez-le en trouvant sa vitrine.
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	РУССКИЙ
0	AUTO	VINYL_PART_KOE_CCX_2TONE1	Deux tons 1
0	AUTO	VINYL_PART_KOE_CCX_2TONE2	Deux tons 2
0	AUTO	VINYL_PART_KOE_CCX_2TONE3	Deux tons 3
0	AUTO	VINYL_PART_NIS_SYL_STRIPE	Bande déco
0	AUTO	WM_STATS_TOTAL_STYLE_POINTS	Total de Points de zone
0	AUTO	VINYL_PART_AFTERMARKET_KICKER	Kicker
0	AUTO	VINYL_PART_AFTERMARKET_FBRAKES	Fastbrakes
0	AUTO	POSTRACE_MESSAGE_AUDITION_FAILED	Vous n'avez pas rejoint la ville.
0	AUTO	VINYL_PART_CFC_BANDAGES_01	EYE Kon Bandages
0	AUTO	VINYL_PART_CFC_BANDAGES_02	EYE Kon Bandages 2
0	AUTO	WHL_ENK_WRC_00	Enkei WRC Tarmac
0	AUTO	CAREER_FLASHER_DOMINATION	Domination
