#	Labrune - D:\Games\NFS Undercover\LANGUAGES\French_Global.bin
#	File created on: 2025-05-23 18:36:17
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	Transformation vinyle
0	AUTO	CARNAME_MUSTANG03_SHORT	'03 Mustang GT
0	AUTO	PART_PERF_NITROUS_1	Dry Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_2	Nitrous Purge Kit
0	AUTO	PART_PERF_NITROUS_3	10 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_4	Wet Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_5	Nitrous Bottle Heater
0	AUTO	PART_PERF_NITROUS_6	15 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_7	Direct Port Nitrous Kit
0	AUTO	PART_PERF_NITROUS_8	Nitrous Pressure Controller
0	AUTO	PART_PERF_NITROUS_9	20 lb Nitrous Bottle
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	InTrax Suspension
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240SX (S13)
0	AUTO	CARNAME_CHEVROLET_CORVETTE	CHEVROLET CORVETTE C6
0	AUTO	ON_LOGIN_PASSWORD	Mot de passe
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	DISTANCE MOYENNE
0	AUTO	TIP_DESC_NITROUSDRIFT	Pour réussir un drift, actionnez le frein à main pendant un virage.\n\nPour un drift nitro, faites de même, à la nuance près qu'il faudra activer la nitro en contrebraquant dès que la voiture partira en drift.
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	TIP_DESC_INTHEZONEMULTIPLIER	La jauge "Zone Perfection" possède un coefficient multiplicateur qui peut aller de 1 en début d'épreuve, à 5 au maximum. Plus le Coefficient de "Zone Perfection" est fort, plus vous gagnez de Points de zone. Le Coefficient revient à 1 au début de chaque épreuve.
0	AUTO	HUD_CANYON_COLLISION_PENALTY	COLLISION %$d PTS
