#	Labrune - D:\Games\NFS Undercover\LANGUAGES\French_InGame.bin
#	File created on: 2025-05-23 18:36:21
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUD_STYLE_POINT_GRINDING	COUDE A COUDE : {0:d}
0	AUTO	HUD_STYLE_POINT_COP_TAKEOUT	POLICE K.O. : {0:d}
0	AUTO	HUD_STYLE_POINT_PURSUIT_BREAKER	STOP-POURSUITE : {0:d}
0	AUTO	HUD_SHOWROOM1	Boutique de pièces "Tourisme" de Palm Harbor
0	AUTO	HUD_SHOWROOM2	Concession de Classe 3 de Palm Harbor
0	AUTO	HUD_SHOWROOM3	Boutique de pièces "Course" de Sunset Hills
0	AUTO	HUD_SHOWROOM4	Concession de Classe 2 de Sunset Hills
0	AUTO	HUD_SHOWROOM5	Boutique de pièces "Pro" de Port Crescent
0	AUTO	HUD_SHOWROOM6	Concession de Classe 1 de Port Crescent
0	AUTO	HUD_CIVIC_COP_IMMOBILIZED	Unité municipale neutralisée\nCoût pour l'Etat : {0:d} $
0	AUTO	T_Credits	
0	AUTO	SPOILER_2CF	Gentera Style 113 CF
0	AUTO	SPOILER_5CF	Gentera Style 112 CF
0	AUTO	SPOILER_8CF	Gentera Style 114 CF
0	AUTO	SPOILER_9CF	Gentera Style 109 CF
0	AUTO	HUD_STYLE_POINT_180_REVERSE	180° INVERSE : {0:d}
0	AUTO	HUD_STYLE_POINT_360_REVERSE	360° INVERSE : {0:d}
0	AUTO	HUD_STYLE_POINT_540_REVERSE	540° INVERSE : {0:d}
0	AUTO	HUD_COPS	FLICS
0	AUTO	HUD_STYLE_POINT_720_REVERSE	720° INVERSE : {0:d}
0	AUTO	HUD_BUSTED	ARRESTATION !
0	AUTO	HUD_FEDERAL_COP_IMMOBILIZED	UNITE FEDERALE NEUTRALISEE\nCOUT POUR L'ETAT : {0:d} $
0	AUTO	HUD_STYLE_POINT_DRAFT	ASPIRATION : {0:d}
0	AUTO	HUD_STYLE_POINT_DRIFT	DRIFT : {0:d}
0	AUTO	COMMON_X_METERS_SHORT_INT	{0:d} m
0	AUTO	COMMON_PERCENT	{0:d} %
0	AUTO	HUD_STYLE_POINT_POWERSLIDE	LONGUE GLISSADE : {0:d}
0	AUTO	HUD_STYLE_POINT_BONUS_START	BON DEPART : {0:d}
0	AUTO	SPOILER_11CF	Gentera Style 115 CF
0	AUTO	SPOILER_12CF	Gentera Style 118 CF
0	AUTO	SPOILER_13CF	Gentera Evo CF
0	AUTO	HUD_STYLE_POINT_NEAR_MISS_MULT	COLLISION EVITEE x{0:d} : {1:d}
0	AUTO	HUD_COOLDOWN	HORS DE PORTEE
0	AUTO	HUD_GO	ALLEZ !
0	AUTO	HUD_STYLE_POINT_TOP_SPEED	VITESSE MAXI : {0:d}
0	AUTO	HUD_POSITION	{0:d}/{1:d}
0	AUTO	COMMON_NEG	-{0:d}
0	AUTO	COMMON_POS	+{0:d}
0	AUTO	DIALOG_MSG_CONFIRM_EXIT_TO_FREEROAM	Quitter ?\nTous les changements seront perdus.
0	AUTO	HUD_TARGET_ACHIEVED	Cible atteinte ! Evadez-vous !
0	AUTO	HUD_STYLE_POINT_360_REVERSE_BURNOUT	DERAPAGE 360° INVERSE : {0:d}
0	AUTO	HUD_STYLE_POINT_180	180° NORMAL : {0:d}
0	AUTO	HUD_STYLE_POINT_360	360° NORMAL : {0:d}
0	AUTO	HUD_STYLE_POINT_540	540° : {0:d}
0	AUTO	HUD_STYLE_POINT_720	720° : {0:d}
0	AUTO	HOOD_1CF	Araxis Sport CF
0	AUTO	HOOD_2CF	Araxis Sweeper CF
0	AUTO	HOOD_3CF	Araxis Blitz CF
0	AUTO	HOOD_4CF	Araxis Impact CF
0	AUTO	HOOD_5CF	Formula CF
0	AUTO	HOOD_6CF	Beast CF
0	AUTO	HOOD_7CF	Blister CF
0	AUTO	HOOD_8CF	Shaker CF
0	AUTO	HUD_STYLE_POINT_CLOSE_CALL	ESQUIVE : {0:d}
0	AUTO	COMMON_RETURN_TO_EVENT	Revenir à l'épreuve
0	AUTO	HUD_STYLE_POINT_180_BURNOUT	DERAPAGE 180° : {0:d}
0	AUTO	HUD_STYLE_POINT_360_BURNOUT	DERAPAGE 360° : {0:d}
0	AUTO	HUD_LAP	TOUR
0	AUTO	COMMON_PURSUIT_ONLY	Poursuite uniquement
0	AUTO	HUD_EVADE	S'ECHAPPER
0	AUTO	HUD_TIMER	TEMPS
0	AUTO	HUD_STYLE_POINT_CLEAN_SECTION	SEGMENT SANS FAUTE : {0:d}
0	AUTO	HUD_STYLE_POINT_COUNTING	DECOMPTE DE POINTS : {0:d}
0	AUTO	HUD_STYLE_POINT_NOS_DRIFT	DRIFT NITRO : {0:d}
0	AUTO	HUD_STYLE_POINT_CLEAN_SECTION_MULT	SECTEUR SANS FAUTE x{0:d} : {1:d}
0	AUTO	HUD_CTS_CURRENT_OVER_TOTAL	{0:d} $ / {1:d} $
0	AUTO	HUD_TACH_ABBREV_NEUTRAL	N
0	AUTO	HUD_ROBBERS	VOLEURS
0	AUTO	HUD_STYLE_POINT_BURNOUT	BURN : {0:d}
0	AUTO	HUD_STYLE_POINT_RUBOUT	COLLISION : {0:d}
0	AUTO	HUD_LEVEL_UP	TABLEAU DE BORD : NIVEAU {0:d}
0	AUTO	HUD_STYLE_POINT_PASSING	DEPASSEMENT : {0:d}
0	AUTO	HUD_STYLE_POINT_WINNER	Vainqueur : {0:d}
0	AUTO	HUD_STATE_COP_IMMOBILIZED	UNITE D'ETAT NEUTRALISEE\nCOUT POUR L'ETAT : {0:d} $
0	AUTO	HUD_STYLE_POINT_RANKING_1	1e PLACE : {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_2	2e PLACE : {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_3	3e PLACE : {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_4	4e PLACE : {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_5	5e PLACE : {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_6	6e PLACE : {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_7	7e PLACE : {0:d}
0	AUTO	HUD_STYLE_POINT_NEAR_MISS	COLLISION EVITEE : {0:d}
0	AUTO	HUD_SUV_COP_IMMOBILIZED	UNITE SUV NEUTRALISEE\nCOUT POUR L'ETAT : {0:d} $
0	AUTO	HUD_SUPER_STATE_COP_IMMOBILIZED	UNITE INTER-ETATS NEUTRALISEE\nCOUT POUR L'ETAT : {0:d} $
0	AUTO	HUD_MULTIPLIER	x
0	AUTO	HUD_TACH_ABBREV_REVERSE	R
0	AUTO	HUD_STYLE_POINT_AIR_JUMP	SAUT : {0:d}
0	AUTO	IN_GAME_TEMP	Temp
0	AUTO	HUD_COP_TAKEOUT	FLICS K.O.
0	AUTO	HUD_STYLE_POINT_PENALTY_COUNT	PENALITE : {0:d}
0	AUTO	COMMON_X_METERS_SHORT_STRING	{0:s} m
0	AUTO	HUD_STYLE_POINT_180_REVERSE_BURNOUT	DERAPAGE 180° INVERSE : {0:d}
0	AUTO	HUD_STYLE_POINT_TRADE_PAINT	SANS PITIE : {0:d}
0	AUTO	COMMON_X_FEET_SHORT_STRING	{0:s} ft
0	AUTO	HUD_STYLE_POINT_FIRST_POS	Première position : {0:d}
0	AUTO	HUD_STYLE_POINT_REVERSE_BURNOUT	BURN INVERSE : {0:d}
