#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Hungarian_Frontend.bin
#	File created on: 2025-05-23 18:36:50
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	WM_STATS_ROAD_BLOCKS_DODGED_1_PURSUIT	Legtöbb elkerült úttorlasz (1 üldözés)
0	AUTO	_MC_CONFIRMTOO_MANY_SAVED_GAMES_TO_CREATE	Túl sok mentett állás
0	AUTO	VINYL_PART_DOD_VIP_STOCK	Széria grafika
0	AUTO	VINYL_PART_MIT_EVOX_2TONE1	Kéttónusú 1
0	AUTO	VINYL_PART_MIT_EVOX_2TONE2	Kéttónusú 2
0	AUTO	VINYL_PART_MIT_EVOX_2TONE3	Kéttónusú 3
0	AUTO	WM_REGIONSUMMARY_TOGGLE_JOBS	Munkák
0	AUTO	POSTRACE_NOSHOPS_MESSAGE_GAME_OVER	Lefoglalták az utolsó autódat is. Pénzed az van, de nem tudsz hol autót venni. Legközelebb keresd meg az autókereskedéseket!
0	AUTO	WM_WANTED	Körözés
0	AUTO	VINYL_PART_CFC_FACE_CRAZY2	EYE KON őrült 2
0	AUTO	CUST_VINYL_LOCKED	Ez a fólia zárolva van! Bemutatóterme felfedezésével elérhetővé teheted.
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	РУССКИЙ
0	AUTO	VINYL_PART_KOE_CCX_2TONE1	Kéttónusú 1
0	AUTO	VINYL_PART_KOE_CCX_2TONE2	Kéttónusú 2
0	AUTO	VINYL_PART_KOE_CCX_2TONE3	Kéttónusú 3
0	AUTO	VINYL_PART_NIS_SYL_STRIPE	Egyedi csík
0	AUTO	WM_STATS_TOTAL_STYLE_POINTS	Összes zónapont
0	AUTO	VINYL_PART_AFTERMARKET_KICKER	Kicker
0	AUTO	VINYL_PART_AFTERMARKET_FBRAKES	Fastbrakes
0	AUTO	POSTRACE_MESSAGE_AUDITION_FAILED	Nem jutottál el a belvárosba.
0	AUTO	VINYL_PART_CFC_BANDAGES_01	EYE KON tapaszok
0	AUTO	VINYL_PART_CFC_BANDAGES_02	EYE KON tapaszok 2
0	AUTO	WHL_ENK_WRC_00	Enkei WRC Tarmac
0	AUTO	CAREER_FLASHER_DOMINATION	Uralkodás
0	AUTO	CUST_VINYLS_COLOUR_TITLE	Fólia festése
0	AUTO	SPOILER_1	Gentera Style 204
0	AUTO	SPOILER_2	Gentera Style 113
0	AUTO	SPOILER_3	Gentera Style 302
0	AUTO	SPOILER_4	Gentera Style 304
0	AUTO	SPOILER_5	Gentera Style 112
0	AUTO	SPOILER_6	Gentera Style 205
0	AUTO	SPOILER_7	Gentera Style 305
0	AUTO	SPOILER_8	Gentera Style 114
0	AUTO	SPOILER_9	Gentera Style 109
0	AUTO	VINYL_PART_DOD_CHA71_STRIPE	Egyedi csík
0	AUTO	WHL_WEL_KRU_00	Weld Kruiser
0	AUTO	WM_STATS_CAREER_COMPLETE	Karrier teljesítve
0	AUTO	POSTRACE_IMPOUNDED	Lefoglalva!
0	AUTO	COMMON_CHANGE_CAR	AUTÓVÁLTÁS
0	AUTO	WM_LEGEND_EVENT	Esemény
0	AUTO	WHL_WEL_LEG_00	Weld Legacy
0	AUTO	VINYL_PART_GR_BLUEFLAME	Grizzly kék lángok
0	AUTO	WHL_HRE_541_00	HRE 541R
0	AUTO	WHL_HRE_549_00	HRE 549R
0	AUTO	WHL_HRE_597_00	HRE 597R
