#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Hungarian_InGame.bin
#	File created on: 2025-05-23 18:37:02
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUD_STYLE_POINT_GRINDING	ZÚZÁS: {0:d}
0	AUTO	HUD_STYLE_POINT_COP_TAKEOUT	ZSARU KIIKTATÁS: {0:d}
0	AUTO	HUD_STYLE_POINT_PURSUIT_BREAKER	ÜLDÖZŐCSAPDA: {0:d}
0	AUTO	HUD_SHOWROOM1	Palm Harbor utcai szintű alkatrészbolt
0	AUTO	HUD_SHOWROOM2	Palm Harbor 3. szintű autókereskedés
0	AUTO	HUD_SHOWROOM3	Sunset Hills versenyalkatrész-bolt
0	AUTO	HUD_SHOWROOM4	Sunset Hills 2. szintű autókereskedés
0	AUTO	HUD_SHOWROOM5	Port Crescent profi alkatrészbolt
0	AUTO	HUD_SHOWROOM6	Port Crescent 1. szintű autókereskedés
0	AUTO	HUD_CIVIC_COP_IMMOBILIZED	Városi egység kiiktatva\nOkozott kár: {0:d} $
0	AUTO	T_Credits	
0	AUTO	SPOILER_2CF	Gentera Style 113 CF
0	AUTO	SPOILER_5CF	Gentera Style 112 CF
0	AUTO	SPOILER_8CF	Gentera Style 114 CF
0	AUTO	SPOILER_9CF	Gentera Style 109 CF
0	AUTO	HUD_STYLE_POINT_180_REVERSE	J-FORDULÓ: {0:d}
0	AUTO	HUD_STYLE_POINT_360_REVERSE	TELJES FORDULAT TOLATÁSBÓL: {0:d}
0	AUTO	HUD_STYLE_POINT_540_REVERSE	HÁTRAMENET 540: {0:d}
0	AUTO	HUD_COPS	ZSARUK
0	AUTO	HUD_STYLE_POINT_720_REVERSE	HÁTRAMENET 720: {0:d}
0	AUTO	HUD_BUSTED	ELKAPTAK!
0	AUTO	HUD_FEDERAL_COP_IMMOBILIZED	SZÖVETSÉGI EGYSÉG KIIKTATVA\nOKOZOTT KÁR: {0:d} $
0	AUTO	HUD_STYLE_POINT_DRAFT	SZÉLÁRNYÉK: {0:d}
0	AUTO	HUD_STYLE_POINT_DRIFT	DRIFT: {0:d}
0	AUTO	COMMON_X_METERS_SHORT_INT	{0:d} m
0	AUTO	COMMON_PERCENT	{0:d} %
0	AUTO	HUD_STYLE_POINT_POWERSLIDE	DRIFTELÉS: {0:d}
0	AUTO	HUD_STYLE_POINT_BONUS_START	JUTALOM START: {0:d}
0	AUTO	SPOILER_11CF	Gentera Style 115 CF
0	AUTO	SPOILER_12CF	Gentera Style 118 CF
0	AUTO	SPOILER_13CF	Gentera Evo CF
0	AUTO	HUD_STYLE_POINT_NEAR_MISS_MULT	NEM SOKON MÚLT x{0:d}: {1:d}
0	AUTO	HUD_COOLDOWN	ZSARUK LERÁZÁSA
0	AUTO	HUD_GO	RAJT!
0	AUTO	HUD_STYLE_POINT_TOP_SPEED	VÉGSEBESSÉG: {0:d}
0	AUTO	HUD_POSITION	{0:d} / {1:d}
0	AUTO	COMMON_NEG	-{0:d}
0	AUTO	COMMON_POS	+{0:d}
0	AUTO	DIALOG_MSG_CONFIRM_EXIT_TO_FREEROAM	Biztosan kilépsz?\nMinden változtatás elvész.
0	AUTO	HUD_TARGET_ACHIEVED	Cél elérve! Szökj meg a befejezéshez.
0	AUTO	HUD_STYLE_POINT_360_REVERSE_BURNOUT	HÁTRA 360 KIPÖRGETÉS: {0:d}
0	AUTO	HUD_STYLE_POINT_180	FÉLFORDULAT: {0:d}
0	AUTO	HUD_STYLE_POINT_360	TELJES FORDULAT: {0:d}
0	AUTO	HUD_STYLE_POINT_540	FORDULÓ 540: {0:d}
0	AUTO	HUD_STYLE_POINT_720	FORDULÓ 720: {0:d}
0	AUTO	HOOD_1CF	Araxis Sport CF
0	AUTO	HOOD_2CF	Araxis Sweeper CF
0	AUTO	HOOD_3CF	Araxis Blitz CF
0	AUTO	HOOD_4CF	Araxis Impact CF
0	AUTO	HOOD_5CF	Formula CF
0	AUTO	HOOD_6CF	Beast CF
0	AUTO	HOOD_7CF	Blister CF
0	AUTO	HOOD_8CF	Shaker CF
0	AUTO	HUD_STYLE_POINT_CLOSE_CALL	MELEG HELYZET: {0:d}
0	AUTO	COMMON_RETURN_TO_EVENT	Vissza a versenyhez
0	AUTO	HUD_STYLE_POINT_180_BURNOUT	180 KIPÖRGETÉS: {0:d}
0	AUTO	HUD_STYLE_POINT_360_BURNOUT	360 KIPÖRGETÉS: {0:d}
0	AUTO	HUD_LAP	KÖR
0	AUTO	COMMON_PURSUIT_ONLY	Csak üldözés
0	AUTO	HUD_EVADE	SZÖKÉS
0	AUTO	HUD_TIMER	IDŐ
0	AUTO	HUD_STYLE_POINT_CLEAN_SECTION	TISZTA SZAKASZ: {0:d}
0	AUTO	HUD_STYLE_POINT_COUNTING	PONTSZÁMLÁLÁS: {0:d}
0	AUTO	HUD_STYLE_POINT_NOS_DRIFT	NITRÓS DRIFT: {0:d}
0	AUTO	HUD_STYLE_POINT_CLEAN_SECTION_MULT	TISZTA SZAKASZ x{0:d}: {1:d}
0	AUTO	HUD_CTS_CURRENT_OVER_TOTAL	{0:d} $ / {1:d} $
0	AUTO	HUD_TACH_ABBREV_NEUTRAL	N
0	AUTO	HUD_ROBBERS	RABLÓK
0	AUTO	HUD_STYLE_POINT_BURNOUT	KIPÖRGETÉS: {0:d}
0	AUTO	HUD_STYLE_POINT_RUBOUT	KIÜTÉS: {0:d}
0	AUTO	HUD_LEVEL_UP	MŰSZERFAL SZINTLÉPÉS: {0:d}
0	AUTO	HUD_STYLE_POINT_PASSING	ELŐZÉS: {0:d}
0	AUTO	HUD_STYLE_POINT_WINNER	Futamgyőztes: {0:d}
0	AUTO	HUD_STATE_COP_IMMOBILIZED	ÁLLAMI EGYSÉG KIIKTATVA\nOKOZOTT KÁR: {0:d} $
0	AUTO	HUD_STYLE_POINT_RANKING_1	1. HELY: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_2	2. HELY: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_3	3. HELY: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_4	4. HELY: {0:d}
