#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Italian_Frontend.bin
#	File created on: 2025-05-23 18:37:12
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	WM_STATS_ROAD_BLOCKS_DODGED_1_PURSUIT	Posti blocco evitati (singolo inseguimento)
0	AUTO	_MC_CONFIRMTOO_MANY_SAVED_GAMES_TO_CREATE	Numero in eccesso per salvare
0	AUTO	VINYL_PART_DOD_VIP_STOCK	Grafica di serie
0	AUTO	VINYL_PART_MIT_EVOX_2TONE1	Due Toni 1
0	AUTO	VINYL_PART_MIT_EVOX_2TONE2	Due Toni 2
0	AUTO	VINYL_PART_MIT_EVOX_2TONE3	Due Toni 3
0	AUTO	WM_REGIONSUMMARY_TOGGLE_JOBS	Lavori
0	AUTO	POSTRACE_NOSHOPS_MESSAGE_GAME_OVER	La tua ultima auto è stata sequestrata. Hai il denaro, ma nessun negozio per comprare una nuova auto. La prossima volta trova i negozi!
0	AUTO	WM_WANTED	Ricercato
0	AUTO	VINYL_PART_CFC_FACE_CRAZY2	EYE Kon Folle 2
0	AUTO	CUST_VINYL_LOCKED	Questa aerografia è bloccata! Sbloccala scoprendo il relativo showroom.
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	РУССКИЙ
0	AUTO	VINYL_PART_KOE_CCX_2TONE1	Due Toni 1
0	AUTO	VINYL_PART_KOE_CCX_2TONE2	Due Toni 2
0	AUTO	VINYL_PART_KOE_CCX_2TONE3	Due Toni 3
0	AUTO	VINYL_PART_NIS_SYL_STRIPE	Banda unica
0	AUTO	WM_STATS_TOTAL_STYLE_POINTS	Totale Punti Zona
0	AUTO	VINYL_PART_AFTERMARKET_KICKER	Kicker
0	AUTO	VINYL_PART_AFTERMARKET_FBRAKES	Fastbrakes
0	AUTO	POSTRACE_MESSAGE_AUDITION_FAILED	Non sei riuscito a raggiungere la città.
0	AUTO	VINYL_PART_CFC_BANDAGES_01	EYE Kon Bende
0	AUTO	VINYL_PART_CFC_BANDAGES_02	EYE Kon Bende 2
0	AUTO	WHL_ENK_WRC_00	Enkei WRC Tarmac
0	AUTO	CAREER_FLASHER_DOMINATION	Dominazione
0	AUTO	CUST_VINYLS_COLOUR_TITLE	VERNICE VINILICA
0	AUTO	SPOILER_1	Gentera Style 204
0	AUTO	SPOILER_2	Gentera Style 113
0	AUTO	SPOILER_3	Gentera Style 302
0	AUTO	SPOILER_4	Gentera Style 304
0	AUTO	SPOILER_5	Gentera Style 112
0	AUTO	SPOILER_6	Gentera Style 205
0	AUTO	SPOILER_7	Gentera Style 305
0	AUTO	SPOILER_8	Gentera Style 114
