#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Italian_Global.bin
#	File created on: 2025-05-23 18:37:17
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*TRASFORMAZIONE AEROGRAFIA*
0	AUTO	CARNAME_MUSTANG03_SHORT	'03 Mustang GT
0	AUTO	PART_PERF_NITROUS_1	Dry Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_2	Nitrous Purge Kit
0	AUTO	PART_PERF_NITROUS_3	10 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_4	Wet Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_5	Nitrous Bottle Heater
0	AUTO	PART_PERF_NITROUS_6	15 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_7	Direct Port Nitrous Kit
0	AUTO	PART_PERF_NITROUS_8	Nitrous Pressure Controller
0	AUTO	PART_PERF_NITROUS_9	20 lb Nitrous Bottle
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	InTrax Suspension
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240SX (S13)
0	AUTO	CARNAME_CHEVROLET_CORVETTE	CHEVROLET CORVETTE C6
0	AUTO	ON_LOGIN_PASSWORD	Password
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	LUNGHEZZA MEDIA
0	AUTO	TIP_DESC_NITROUSDRIFT	Per eseguire una derapata, tira leggermente il freno a mano mentre effettui una svolta ad angolo.\n\nPer una derapata N2O, comincia a sterzare come per una normale derapata. Quando l'auto comincia il movimento della derapata, attiva la N2O e ricordati di controsterzare.
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	TIP_DESC_INTHEZONEMULTIPLIER	L'indicatore 'Nella Zona' presenta un moltiplicatore numerico per i Punti Zona, che parte da x1 e può aumentare fino a x5. Più alto è il moltiplicatore 'Nella Zona', più velocemente generi Punti Zona. Il moltiplicatore si resetta all'inizio di ciascun evento.
0	AUTO	HUD_CANYON_COLLISION_PENALTY	COLLISIONE %$d PTI
0	AUTO	TIP_DESC_NITROUSOXIDE	Nessuna auto parte già equipaggiata con la N2O, perciò non dimenticarti di aggiungere un pacchetto di N2O al tuo veicolo una volta sbloccato. Molto presto ti diventerà naturale utilizzarla per le accelerazioni. Costruisci la tua velocità. Cavalca la tua N2O.\n \nL'indicatore di N2O è situato sulla destra del cruscotto, vicino al tachimetro. Premi il tasto della N2O per attivarla. Tienilo premuto per mantenerne il flusso. Rilascialo quando desideri terminare la propulsione. Dopo averla attivata, è necessario un periodo di ricarica prima che la N2O possa essere nuovamente utilizzata. Per ricaricare l'indicatore di N2O, guida a tutta velocità ed esegui manovre eleganti che aumentano i tuoi Punti Zona.
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	Corvette
0	AUTO	DEMO_CUSTOMIZATION_SELL	Autosculpt™ ti permette di personalizzare la tua auto fabbricando i tuoi pezzi di ricambio. Puoi modificare kit carrozzeria, cerchioni, cofano, alettoni e prese d'aria per creare esattamente l'effetto che desideri. La personalizzazione non si ferma qui. Puoi scegliere vernici personalizzate, aggiungere decorazioni e aerografie e installare altri pezzi di ricambio fino a creare una modificata, una muscle o un'importata dall'identità unica.
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	Zoom
0	AUTO	STAT_NUM_TIMES_RACED	Gare effettuate
0	AUTO	CARNAME_BMWM3_SHORT	M3 E46
0	AUTO	HUD_YOUR_TIME	IL TUO TEMPO:
0	AUTO	PART_SPOILER_0	SERIE
0	AUTO	PART_SPOILER_1	Jorgen
0	AUTO	PART_SPOILER_2	Rocker 5
0	AUTO	PART_SPOILER_3	Airforce
0	AUTO	PART_SPOILER_4	Arrow
0	AUTO	PART_SPOILER_5	Barracuda
0	AUTO	PART_SPOILER_6	Wildfire
0	AUTO	PART_SPOILER_7	Ripper
0	AUTO	PART_SPOILER_8	Reaper
0	AUTO	PART_SPOILER_9	Borra
0	AUTO	CAREER_EVENT_CTS_10	Causa $10000 di danni totali
0	AUTO	CAREER_EVENT_CTS_12	Causa $12000 di danni totali
0	AUTO	CAREER_EVENT_CTS_15	Causa $15000 di danni totali
0	AUTO	CAREER_EVENT_CTS_20	Causa $20000 di danni totali
0	AUTO	CAREER_EVENT_CTS_25	Causa $25000 di danni totali
0	AUTO	CAREER_EVENT_CTS_30	Causa $30000 di danni totali
0	AUTO	CAREER_EVENT_CTS_40	Causa $40000 di danni totali
0	AUTO	CAREER_EVENT_CTS_50	Causa $50000 di danni totali
0	AUTO	CAREER_EVENT_CTS_75	Causa $75000 di danni totali
0	AUTO	PAUSE_OPTION_CAR_DAMAGE	Danni auto
0	AUTO	CAREER_EVENT_HIGHWAY_BATTLE_METRIC	Domina di 300 metri per vincere
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Nascondiglio
0	AUTO	CARNAME_ACURA_NSX	ACURA NSX
0	AUTO	CARNAME_ACURA_RSX	ACURA RSX
0	AUTO	CUST_NEED_XBOX_LIVE_PROFILE	
0	AUTO	ON_GAME_ROOM_START_RACE_NOW_VOTE	Voto di gara: {0:d} di {1:d}
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	Clutch Masters
0	AUTO	ON_ERROR_CONFIRM_LEAVE_GAME	Sei sicuro di voler uscire dalla partita? Ogni connessione a questo gruppo di giocatori sarà interrotta.
0	AUTO	TIP_SUBJ_AUTOSCULPT	Autosculpt™
0	AUTO	CARNAME_997GT3RS_SHORT	911 GT3 RS
