#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Italian_InGame.bin
#	File created on: 2025-05-23 18:37:22
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUD_STYLE_POINT_GRINDING	GRIND: {0:d}
0	AUTO	HUD_STYLE_POINT_COP_TAKEOUT	ELIMINAZIONE POLIZIA: {0:d}
0	AUTO	HUD_STYLE_POINT_PURSUIT_BREAKER	SPEZZA INSEGUIMENTO: {0:d}
0	AUTO	HUD_SHOWROOM1	Negozio ricambi da strada Palm Harbor
0	AUTO	HUD_SHOWROOM2	Officina livello 3 Palm Harbor
0	AUTO	HUD_SHOWROOM3	Negozio ricambi da gara Sunset Hills
0	AUTO	HUD_SHOWROOM4	Officina livello 2 Sunset Hills
0	AUTO	HUD_SHOWROOM5	Negozio ricambi pro Port Crescent
0	AUTO	HUD_SHOWROOM6	Officina livello 1 Port Crescent
0	AUTO	HUD_CIVIC_COP_IMMOBILIZED	Unità cittadina neutralizzata\nDanni totali: {0:d}$
0	AUTO	T_Credits	
0	AUTO	SPOILER_2CF	Gentera Style 113 CF
0	AUTO	SPOILER_5CF	Gentera Style 112 CF
0	AUTO	SPOILER_8CF	Gentera Style 114 CF
0	AUTO	SPOILER_9CF	Gentera Style 109 CF
0	AUTO	HUD_STYLE_POINT_180_REVERSE	INVERSIONE A J: {0:d}
0	AUTO	HUD_STYLE_POINT_360_REVERSE	RETROMARCIA 360: {0:d}
0	AUTO	HUD_STYLE_POINT_540_REVERSE	RETROMARCIA 540°: {0:d}
0	AUTO	HUD_COPS	POLIZIOTTI
0	AUTO	HUD_STYLE_POINT_720_REVERSE	RETROMARCIA 720°: {0:d}
0	AUTO	HUD_BUSTED	CATTURATO!
0	AUTO	HUD_FEDERAL_COP_IMMOBILIZED	UNITÀ FEDERALE NEUTRALIZZATA\nDANNI TOTALI: {0:d}$
0	AUTO	HUD_STYLE_POINT_DRAFT	SCIA: {0:d}
0	AUTO	HUD_STYLE_POINT_DRIFT	DERAPATA: {0:d}
0	AUTO	COMMON_X_METERS_SHORT_INT	{0:d} m
0	AUTO	COMMON_PERCENT	{0:d} %
0	AUTO	HUD_STYLE_POINT_POWERSLIDE	DERAPATA DI POTENZA: {0:d}
0	AUTO	HUD_STYLE_POINT_BONUS_START	PARTENZA BONUS: {0:d}
0	AUTO	SPOILER_11CF	Gentera Style 115 CF
0	AUTO	SPOILER_12CF	Gentera Style 118 CF
0	AUTO	SPOILER_13CF	Gentera Evo CF
0	AUTO	HUD_STYLE_POINT_NEAR_MISS_MULT	PER UN PELO x{0:d}: {1:d}
0	AUTO	HUD_COOLDOWN	EVASIONE
0	AUTO	HUD_GO	VIA!
0	AUTO	HUD_STYLE_POINT_TOP_SPEED	VELOCITÀ MASSIMA: {0:d}
0	AUTO	HUD_POSITION	{0:d} / {1:d}
0	AUTO	COMMON_NEG	-{0:d}
0	AUTO	COMMON_POS	+{0:d}
0	AUTO	DIALOG_MSG_CONFIRM_EXIT_TO_FREEROAM	Sei sicuro di voler uscire?\nTutte le modifiche andranno perse.\n
0	AUTO	HUD_TARGET_ACHIEVED	Obiettivo completato! Fuggi per finire
