#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Dutch_Frontend.bin
#	File created on: 2025-05-23 18:35:04
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	WM_STATS_ROAD_BLOCKS_DODGED_1_PURSUIT	Ontweken wegversperringen (1 achtervolging)
0	AUTO	_MC_CONFIRMTOO_MANY_SAVED_GAMES_TO_CREATE	Te veel om op te slaan
0	AUTO	VINYL_PART_DOD_VIP_STOCK	Standaard afbeeldingen
0	AUTO	VINYL_PART_MIT_EVOX_2TONE1	Tweekleurig 1
0	AUTO	VINYL_PART_MIT_EVOX_2TONE2	Tweekleurig 2
0	AUTO	VINYL_PART_MIT_EVOX_2TONE3	Tweekleurig 3
0	AUTO	WM_REGIONSUMMARY_TOGGLE_JOBS	Klussen
0	AUTO	POSTRACE_NOSHOPS_MESSAGE_GAME_OVER	Je laatste wagen is in beslag genomen. Je hebt geld, maar je hebt nog geen autodealers gevonden waar je een nieuwe wagen kunt kopen. Zoek de volgende keer naar de autodealers.
0	AUTO	WM_WANTED	Op de vlucht
0	AUTO	VINYL_PART_CFC_FACE_CRAZY2	EYE Kon Crazy 02
0	AUTO	CUST_VINYL_LOCKED	Deze sticker is nog niet beschikbaar. Vind de shop om dit onderdeel vrij te spelen.
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	РУССКИЙ
0	AUTO	VINYL_PART_KOE_CCX_2TONE1	Tweekleurig 1
0	AUTO	VINYL_PART_KOE_CCX_2TONE2	Tweekleurig 2
0	AUTO	VINYL_PART_KOE_CCX_2TONE3	Tweekleurig 3
0	AUTO	VINYL_PART_NIS_SYL_STRIPE	Strepen uniek
0	AUTO	WM_STATS_TOTAL_STYLE_POINTS	Totaal zone-punten
0	AUTO	VINYL_PART_AFTERMARKET_KICKER	Kicker
0	AUTO	VINYL_PART_AFTERMARKET_FBRAKES	Fastbrakes
0	AUTO	POSTRACE_MESSAGE_AUDITION_FAILED	Je hebt de stad niet gehaald.
0	AUTO	VINYL_PART_CFC_BANDAGES_01	EYE Kon Verband
0	AUTO	VINYL_PART_CFC_BANDAGES_02	EYE Kon Verband 02
0	AUTO	WHL_ENK_WRC_00	Enkei WRC Tarmac
0	AUTO	CAREER_FLASHER_DOMINATION	Domineren
0	AUTO	CUST_VINYLS_COLOUR_TITLE	Kleur sticker
