#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Dutch_Global.bin
#	File created on: 2025-05-23 18:35:10
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*STICKER AANPASSING*
0	AUTO	CARNAME_MUSTANG03_SHORT	'03 Mustang GT
0	AUTO	PART_PERF_NITROUS_1	Dry Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_2	Nitrous Purge Kit
0	AUTO	PART_PERF_NITROUS_3	10 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_4	Wet Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_5	Nitrous Bottle Heater
0	AUTO	PART_PERF_NITROUS_6	15 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_7	Direct Port Nitrous Kit
0	AUTO	PART_PERF_NITROUS_8	Nitrous Pressure Controller
0	AUTO	PART_PERF_NITROUS_9	20 lb Nitrous Bottle
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	InTrax Suspension
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240SX (S13)
0	AUTO	CARNAME_CHEVROLET_CORVETTE	CHEVROLET CORVETTE C6
0	AUTO	ON_LOGIN_PASSWORD	Wachtwoord
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	GEM. LENGTE
0	AUTO	TIP_DESC_NITROUSDRIFT	Om in een drift te komen, trek je kort de handrem aan terwijl je door de bocht gaat.\n\nBij een nitrodrift ga je op dezelfde manier de bocht in als bij een gewone drift. Zodra de wagen begint te driften, activeer je nitro en stuur je tegen.
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	TIP_DESC_INTHEZONEMULTIPLIER	De 'In de zone-meter' bevat een vermenigvuldiger voor zone-punten. De vermenigvuldiger begint bij x1 en kan oplopen tot x5. Hoe hoger de vermenigvuldiger, hoe sneller je zone-punten krijgt. De vermenigvuldiger wordt aan het begin van een evenement weer op x1 gezet.
0	AUTO	HUD_CANYON_COLLISION_PENALTY	BOTSING %$d PTN
