#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Norwegian_Frontend.bin
#	File created on: 2025-05-23 18:39:30
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	WM_STATS_ROAD_BLOCKS_DODGED_1_PURSUIT	Veisperringer unngått (1 biljakt)
0	AUTO	_MC_CONFIRMTOO_MANY_SAVED_GAMES_TO_CREATE	For mange til å lagre
0	AUTO	VINYL_PART_DOD_VIP_STOCK	Standardgrafikk
0	AUTO	VINYL_PART_MIT_EVOX_2TONE1	Two Tone 13WWW
0	AUTO	VINYL_PART_MIT_EVOX_2TONE2	Two Tone 23WWW
0	AUTO	VINYL_PART_MIT_EVOX_2TONE3	Two Tone 33WWW
0	AUTO	WM_REGIONSUMMARY_TOGGLE_JOBS	Jobber
0	AUTO	POSTRACE_NOSHOPS_MESSAGE_GAME_OVER	Din siste bil har blitt konfiskert. Du har pengene, men ingen butikk å gå til for å kjøpe en ny bil. Til neste gang må du finne bilforhandlerne.
0	AUTO	WM_WANTED	Ettersøkt
0	AUTO	VINYL_PART_CFC_FACE_CRAZY2	EYE Kon Crazy 2
0	AUTO	CUST_VINYL_LOCKED	Denne vinylen er låst! Frigjør den ved å finne ustillingslokalet til den.
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	РУССКИЙ
0	AUTO	VINYL_PART_KOE_CCX_2TONE1	Two Tone 13WWW
0	AUTO	VINYL_PART_KOE_CCX_2TONE2	Two Tone 23WWW
0	AUTO	VINYL_PART_KOE_CCX_2TONE3	Two Tone 33WWW
0	AUTO	VINYL_PART_NIS_SYL_STRIPE	Unik stripe
0	AUTO	WM_STATS_TOTAL_STYLE_POINTS	Sonepoeng totalt
0	AUTO	VINYL_PART_AFTERMARKET_KICKER	Kicker
0	AUTO	VINYL_PART_AFTERMARKET_FBRAKES	Fastbrakes
0	AUTO	POSTRACE_MESSAGE_AUDITION_FAILED	Du klarte ikke å komme deg til byen.
0	AUTO	VINYL_PART_CFC_BANDAGES_01	EYE Kon Bandages
0	AUTO	VINYL_PART_CFC_BANDAGES_02	EYE Kon Bandages 2
0	AUTO	WHL_ENK_WRC_00	Enkei WRC Tarmac
0	AUTO	CAREER_FLASHER_DOMINATION	Dominans
0	AUTO	CUST_VINYLS_COLOUR_TITLE	Vinyllakk
0	AUTO	SPOILER_1	Gentera Style 204
0	AUTO	SPOILER_2	Gentera Style 113
0	AUTO	SPOILER_3	Gentera Style 302
0	AUTO	SPOILER_4	Gentera Style 304
0	AUTO	SPOILER_5	Gentera Style 112
0	AUTO	SPOILER_6	Gentera Style 205
0	AUTO	SPOILER_7	Gentera Style 305
0	AUTO	SPOILER_8	Gentera Style 114
0	AUTO	SPOILER_9	Gentera Style 109
0	AUTO	VINYL_PART_DOD_CHA71_STRIPE	Unik stripe
0	AUTO	WHL_WEL_KRU_00	Weld Kruiser
0	AUTO	WM_STATS_CAREER_COMPLETE	Karriere fullført
0	AUTO	POSTRACE_IMPOUNDED	Konfiskert!
0	AUTO	COMMON_CHANGE_CAR	BYTT BIL
0	AUTO	WM_LEGEND_EVENT	Løp
0	AUTO	WHL_WEL_LEG_00	Weld Legacy
0	AUTO	VINYL_PART_GR_BLUEFLAME	Grizzly Blue Flames
0	AUTO	WHL_HRE_541_00	HRE 541R
0	AUTO	WHL_HRE_549_00	HRE 549R
0	AUTO	WHL_HRE_597_00	HRE 597R
0	AUTO	VINYL_PART_DOD_CHR_STOCK	Standardgrafikk
0	AUTO	POSTRACE_LBL_YOUR_TIME	Din tid
0	AUTO	ONLINE_TOS	Vilkår og betingelser
0	AUTO	WHL_IFO_MAR_00	IForged Marquis
0	AUTO	VINYL_PART_AFTERMARKET_INNOVATE	Innovate Motorsports
0	AUTO	VINYL_PART_AFTERMARKET_AUTOMETER	Auto Meter
0	AUTO	VINYL_PART_2T_997GT3RS	Tofarget 9
0	AUTO	CUST_PEFORM_CURRENTLEVEL	Gjeldende nivå:
